names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OB Eomes Ms4a15 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Hsp90aa1,3.8233922,2.2239263,0.00013162816582687806,0.056432464001023266,0.8823529411764706,0.7956222683957871,2.355697,1.1129375
Hsp90ab1,3.0371733,1.5378041,0.0023880818891791828,0.23678140355071822,0.8823529411764706,0.8093071576986458,2.002749,1.1654799
Mgat4c,2.9751604,1.6419672,0.0029283548098229814,0.26672845335574075,0.7647058823529411,0.7356165365049796,2.5018797,1.523971
Eomes,2.9297113,9.1443405,0.003392771143896682,0.2848867519890745,0.4117647058823529,0.0018628645124310382,0.6370911,0.0015732637
Igf1,2.912666,3.6582546,0.003583577054935819,0.2921077603633943,0.47058823529411764,0.08680232141577703,0.66160864,0.07165763
Calm2,2.8420627,1.2097226,0.004482267181579371,0.3186204210821103,0.9411764705882353,0.8572759188937451,2.0937176,1.4051654
Ndn,2.7467566,2.962521,0.006018778002082471,0.37011742121805585,0.5294117647058824,0.20624059611664397,0.88709116,0.168227
Rplp1,2.727831,1.7516793,0.006375230021614089,0.37240301109920526,0.7647058823529411,0.6538296195457477,1.6546173,0.81378937
Grik1,2.7262812,1.8952241,0.006405239855294565,0.3725298591163744,0.7058823529411765,0.4993193379666117,1.6494031,0.7561869
Tmem266,2.6730242,3.5523448,0.007517084027952975,0.39917796014050677,0.47058823529411764,0.16146019918320556,0.6976201,0.082504
2610307P16Rik,2.649585,3.8400626,0.008059069481418137,0.40857961691642514,0.4117647058823529,0.048004585512645984,0.49497554,0.04375037
Syp,2.603474,1.5844822,0.009228426614040499,0.432233575648132,0.7058823529411765,0.6280719352296339,1.3377627,0.66121364
Atp1b1,2.5681348,1.2882955,0.010224739558775408,0.45089989407891845,0.8235294117647058,0.8601776886150319,2.2469993,1.4959414
Msi2,2.4632905,1.6915673,0.013766831209787682,0.5150250480059174,0.6470588235294118,0.6531489575123594,1.6242408,0.81600505
Cpe,2.4408293,0.9482905,0.014653580244619881,0.5299349948491738,0.8823529411764706,0.8455971913735043,2.0676346,1.5214899
Katnal1,2.4380763,2.217436,0.014765662795514282,0.5319959268116408,0.5882352941176471,0.3812065630149746,0.85799766,0.25626498
Pcdh15,2.411583,1.418111,0.0158834354402789,0.5454984212031653,0.7647058823529411,0.7429246972845167,2.4678555,1.6174594
mt-Co3,2.3628092,1.4581125,0.01813700674961322,0.5740181052557212,0.7647058823529411,0.6079744930859067,1.4490608,0.78217375
Lhfp,2.3466215,3.6155992,0.01894449302208762,0.5880988771158171,0.47058823529411764,0.2640610446370997,1.4013838,0.22291003
Tmsb4x,2.3317575,1.4385841,0.019713448333646192,0.5971819128805785,0.8235294117647058,0.7215375797091066,1.8380791,1.0816678
Hexb,2.2842023,1.2274866,0.022359644211980025,0.6324989292704619,0.7647058823529411,0.6792648850039407,1.4562079,0.87750244
A330102I10Rik,2.245809,1.7702358,0.02471624057836403,0.6556025511753618,0.5882352941176471,0.4178190155477538,0.873005,0.34266335
Ctnna2,2.2219036,0.3529126,0.026289824262668127,0.6716979141917148,0.8235294117647058,0.8866160349645339,2.700636,2.4744525
Rab3b,2.1282976,2.85059,0.03331242860633375,0.7517985059754243,0.4117647058823529,0.16923407609085048,0.61628926,0.11165475
Deptor,2.1259806,3.1702123,0.03350487273396671,0.7536507026215313,0.4117647058823529,0.18234577631296123,0.75780654,0.118608944
Nav3,2.1120496,0.42250913,0.03468220071806384,0.7632638397786383,0.8823529411764706,0.8981514652145877,2.97332,2.6977108
6430710C18Rik,2.0849094,8.451436,0.03707751746345761,0.7900657369096796,0.29411764705882354,0.0027942967686465574,0.38845628,0.0013551614
Hspa8,2.078651,1.6556655,0.03764943734382543,0.7919218333139022,0.7058823529411765,0.6712760621910152,1.6450282,0.8446047
Olfm1,2.0781546,1.194616,0.03769512559763606,0.7919218333139022,0.7058823529411765,0.7481550476463423,1.6585054,1.0499388
Inpp4a,2.058326,1.3673882,0.039558842534358804,0.8064841418044166,0.6470588235294118,0.5512287740918536,0.9682255,0.49044433
Pde1c,2.0498562,1.9250517,0.04037847570257337,0.8127113424180873,0.5294117647058824,0.33492154474457264,0.9468117,0.34741122
Svil,1.9672023,2.3732505,0.049159892291007666,0.8877192915721613,0.4117647058823529,0.18882997778892313,0.66826177,0.16849512
Ankfy1,1.9587774,1.6973343,0.05013885476778396,0.8914077448748535,0.5882352941176471,0.5132191731747511,0.9902007,0.4198062
Csmd2,1.9575739,1.041205,0.050280031642390616,0.8915529254663055,0.5882352941176471,0.7257290248620764,1.7514268,1.1982659
Ahcyl1,1.8979982,1.3974996,0.057696320868201346,0.9433483089907619,0.6470588235294118,0.5967973060113205,1.0970844,0.5638565
Ckb,1.8833299,1.5179231,0.05965567073472019,0.9547039146169931,0.6470588235294118,0.5501182202479042,1.1865873,0.5848436
Shisa9,1.8730847,1.5101902,0.06105668921016964,0.9689013790076856,0.6470588235294118,0.6640395500465716,1.9122887,1.1069567
Ptgds,1.8592288,2.2307494,0.06299470914425619,0.9761636878351577,0.5294117647058824,0.3652647417066705,1.279866,0.44025728
Ube2h,1.8326154,1.0665741,0.06685979544489426,0.9991102738089142,0.6470588235294118,0.6503188364261661,1.121724,0.6873262
Ptprd,1.8249727,0.6140846,0.06800513452340541,0.9991102738089142,0.9411764705882353,0.9654653578849323,4.076889,3.660196
Insyn2a,1.8241453,3.0553713,0.06813010006951284,0.9991102738089142,0.35294117647058826,0.13724296052160206,0.49270496,0.07380346
Rtn1,1.81894,0.9528084,0.06892058394108996,0.9991102738089142,0.8823529411764706,0.9052805044063911,2.4334793,1.8519211
