names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MS-SF Bsx Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Aco2,3.3825827,4.328759,0.0007180763388969914,0.999480623131839,1.0,0.5155942278082143,2.4760861,0.4331824
Hsp90aa1,3.1953592,3.898684,0.0013965691651176935,0.999480623131839,1.0,0.7956457908117592,3.4498158,1.1133593
Mllt10,3.030833,2.1862178,0.002438800041545211,0.999480623131839,1.0,0.7904894904572636,2.4760861,1.2219657
Naaladl2,2.9952984,2.6074154,0.0027417642184702634,0.999480623131839,1.0,0.8629999641923587,3.2881467,1.6548868
Camk1d,2.9633298,2.319181,0.00304330434804247,0.999480623131839,1.0,0.9539871808643965,3.8502462,2.32419
Tmsb4x,2.8899658,3.2252321,0.0038528373117597547,0.999480623131839,1.0,0.7215597808572349,2.956852,1.0818596
Rtn1,2.7485714,1.6529489,0.005985560193364589,0.999480623131839,1.0,0.9052529809861425,2.8846972,1.8521273
Luzp2,2.7283235,3.0618417,0.006365715724142286,0.999480623131839,1.0,0.5591005120492714,2.6407883,0.9398978
Fkbp2,2.3542173,4.8410587,0.01856175496958133,0.999480623131839,0.75,0.2173165753571812,1.8022242,0.16267182
Dgki,2.3045123,1.8117192,0.02119390669168856,0.999480623131839,1.0,0.779245891073155,2.641716,1.5504698
Chrm3,2.1546218,2.0664892,0.031191447550764195,0.999480623131839,1.0,0.6606509829197551,2.4760861,1.2812029
Eid1,2.1239862,3.5213747,0.03367129215346052,0.999480623131839,0.75,0.4233179360475525,1.7740922,0.35507703
Vcp,2.1184359,3.8354182,0.034138167114747986,0.999480623131839,0.75,0.48805815160955346,2.1188595,0.41402882
Ncl,2.1170716,3.5648549,0.0342537732299925,0.999480623131839,0.75,0.41694417588713434,1.8180559,0.36187783
Akap10,2.1014128,3.3198395,0.03560474819511146,0.999480623131839,0.75,0.5478927203065134,1.9690616,0.4807496
Reln,2.0916455,3.402182,0.0364702491391614,0.999480623131839,0.75,0.2916174311598095,1.7740922,0.3804941
Dido1,2.0905602,3.1861691,0.0365675134644019,0.999480623131839,0.75,0.5219321803272818,1.7740922,0.43034717
Pkm,2.0821571,3.7288167,0.037328124417674004,0.999480623131839,0.75,0.46195438106491926,2.0364609,0.40718937
Kdm7a,2.0735059,3.1057026,0.03812521603236363,0.999480623131839,0.75,0.5799405593153579,2.0338862,0.57199484
Rps14,2.0723276,3.5160437,0.03823489237406336,0.999480623131839,0.75,0.4630286103054392,2.0338862,0.45788938
Cux1,2.0298784,2.86931,0.04236890668926357,0.999480623131839,0.75,0.5085759301034841,1.8180559,0.53423375
Mdh1,2.0083902,3.1399632,0.044601852742700294,0.999480623131839,0.75,0.4770652057148996,1.7740922,0.44166523
Tshz2,1.999708,3.0801861,0.045531804010135096,0.999480623131839,0.75,0.3972141655029183,2.0338862,0.5797351
Ppig,1.9951189,2.7032518,0.046029915580703344,0.999480623131839,0.75,0.5959107673577542,1.8022242,0.5751667
Mapk14,1.9928243,2.6866536,0.046280687487682326,0.999480623131839,0.75,0.6002076843198338,1.8022242,0.5802121
Aldoa,1.9895375,3.2836335,0.04664190456991434,0.999480623131839,0.75,0.4655709528413363,1.9663546,0.489186
Ranbp9,1.9886073,2.4487584,0.04674456557853653,0.999480623131839,0.75,0.6629068643248469,1.9532297,0.7459476
Frmpd4,1.9805453,1.535712,0.04764228487649037,0.999480623131839,1.0,0.8335660830021127,3.118778,2.134932
Atp2b2,1.9481734,2.5613782,0.05139421276644451,0.999480623131839,0.75,0.7195903605829485,2.3627186,0.9668762
Rpl38,1.9313364,2.9234197,0.05344147121780444,0.999480623131839,0.75,0.47950012532674474,1.7740922,0.49787602
Sparcl1,1.9163907,3.1975605,0.05531538271401728,0.999480623131839,0.75,0.5910051204927131,2.3521683,0.7112001
Ccdc85a,1.847709,2.077052,0.06464445400813641,0.999480623131839,0.75,0.6936656282450675,2.2539303,1.1053985
Abi2,1.8452594,1.5377123,0.06499981563992563,0.999480623131839,0.75,0.7556844630644179,1.925098,1.1042409
Usp9x,1.8365773,1.684432,0.06627232534901777,0.999480623131839,0.75,0.779138468149103,2.0185728,1.1088624
Bcas3,1.8295076,1.6379757,0.06732360952707812,0.999480623131839,0.75,0.7628459913345508,1.9532297,1.0798929
Aplp2,1.8242363,2.6700697,0.06811636124280628,0.999480623131839,0.75,0.6688867404304079,2.0645926,0.7329978
Psap,1.82312,2.6557512,0.06828521914003961,0.999480623131839,0.75,0.6246284957209869,1.9663546,0.6806021
Cltc,1.8159883,2.0999134,0.06937217362711304,0.999480623131839,0.75,0.6890464425108318,1.8022242,0.7798224
Atp2b1,1.8074921,1.249536,0.07068557178582746,0.999480623131839,1.0,0.8989866437497762,2.8049188,2.018873
Erbb4,1.7810117,2.010899,0.0749105331563611,0.999480623131839,1.0,0.7200200522791563,2.7912223,1.5678787
Basp1,1.745322,1.836725,0.08092882641796056,0.999480623131839,0.75,0.7501700862964157,1.9690616,1.0027033
Snrpn,1.7422523,2.079806,0.08146430624385598,0.999480623131839,0.75,0.7014716940595123,1.982758,0.9088336
Ppm1l,1.7344074,1.7605082,0.08284582506317854,0.999480623131839,0.75,0.675582769362982,1.8022242,0.91402906
Cst3,1.7234617,3.1572068,0.0848050614043021,0.999480623131839,0.75,0.5868514340960361,2.4890609,0.8058719
Erc2,1.7095393,1.1897563,0.087351092500925,0.999480623131839,1.0,0.8473520249221184,3.0693095,2.3024416
Olfm1,1.7010742,1.9305884,0.08892904163248452,0.999480623131839,0.75,0.7481290507394278,2.0898,1.0501603
Actb,1.6996789,2.6390073,0.0891913345191039,0.999480623131839,0.75,0.6836752963082322,2.2307453,0.8473977
Lars2,1.6620978,1.8216163,0.09649317094034104,0.999480623131839,0.75,0.7972571346725391,2.1832747,1.1718482
Ccser1,1.6477723,0.55627114,0.09939940734598955,0.999480623131839,0.75,0.8625702724961507,2.6128383,2.2611778
Cntnap2,1.6336639,1.3168596,0.10232945208703376,0.999480623131839,1.0,0.9143123142478605,3.6587756,2.783696
