names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_TRS-BAC Sln Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Postn,3.8698494,9.64986,0.00010890261737787241,0.24904130015885362,1.0,0.017653799326792237,2.274925,0.0108051
Ebf2,3.8692946,10.931525,0.00010915065475395988,0.24904130015885362,1.0,0.007770536417675285,2.4849496,0.0056166276
Ctxn3,3.8684626,9.642233,0.000109523710384427,0.24904130015885362,1.0,0.008773186278020482,1.667409,0.005364661
Grm8,3.8654673,4.953003,0.00011087669488908425,0.24904130015885362,1.0,0.5153620282174318,3.7502942,0.85053337
Ebf3,3.8514338,8.443323,0.00011742833924645748,0.24904130015885362,1.0,0.020339468595574017,2.1328292,0.021144839
Epha3,3.8479946,4.5879483,0.00011908868270867035,0.24904130015885362,1.0,0.5943207047196162,3.5369275,0.8701103
Calb2,3.843446,7.77033,0.00012131863749661086,0.24904130015885362,1.0,0.03448399341115806,1.941164,0.02696342
Asic2,3.8419485,3.921883,0.00012206146576218011,0.24904130015885362,1.0,0.7919501539783714,4.387862,1.8314748
Chrm2,3.8373446,6.17441,0.00012437191693964188,0.24904130015885362,1.0,0.17446107570006444,2.5658636,0.15384823
Klhl29,3.8141308,3.1682491,0.0001366630910272043,0.24904130015885362,1.0,0.6654372269569577,2.7420363,0.9612856
Sema3a,3.8097765,5.5179877,0.0001390924972074106,0.24904130015885362,1.0,0.22391319916923297,2.3131003,0.18125139
Mtcl1,3.80251,3.9725475,0.00014323747131735548,0.24904130015885362,1.0,0.40994055718685096,1.9279811,0.31793022
Rasal2,3.7915826,2.9249856,0.00014969032724833345,0.24904130015885362,1.0,0.8016543722695696,3.3091226,1.4976113
Msi2,3.7847044,4.4868045,0.00015389133660534483,0.24904130015885362,1.0,0.6530831483205615,3.3770783,0.8160387
Zbtb7c,3.7824857,5.5259566,0.00015527000622094536,0.24904130015885362,1.0,0.10979015970779918,1.5225995,0.07490942
Plcb4,3.761657,4.831035,0.0001687913428459169,0.24904130015885362,1.0,0.33126835207333666,2.4437318,0.31441203
Nr2f2,3.7480395,5.1337805,0.0001782222098114137,0.24904130015885362,1.0,0.16006588841939412,1.6087027,0.10780037
Ntm,3.7465973,3.2794697,0.00017924950866114565,0.24904130015885362,1.0,0.8152259543078135,4.1282563,1.9864081
Pcsk1,3.7424927,4.829043,0.00018220391756901998,0.24904130015885362,1.0,0.2334025639189286,1.7722858,0.158572
Pcp4,3.738166,5.067651,0.00018536754756892716,0.24904130015885362,1.0,0.3909976366110435,2.7704499,0.36897805
Snhg11,3.6866632,2.3904874,0.00022721389211457834,0.2792998022243074,1.0,0.8285468738809711,3.759931,2.1971931
Nbeal1,3.6850266,3.5321395,0.0002286786620370213,0.2792998022243074,1.0,0.6103631024851393,2.4170048,0.6327371
Dpysl5,3.6691072,3.6103196,0.0002433990966681779,0.28156005190110056,1.0,0.23762801690181193,1.0818325,0.14814001
Zfhx3,3.6389596,5.3019366,0.0002737416173858629,0.28156005190110056,1.0,0.25689321778987323,2.7315187,0.31035784
Ppp1r14c,3.6329968,3.4188964,0.0002801484995425808,0.28156005190110056,1.0,0.45548950798538995,1.7594478,0.3713294
Rbms3,3.6313326,4.2104306,0.00028196138743012087,0.28156005190110056,1.0,0.5114230466232185,2.9250395,0.66916066
Ank3,3.6232066,1.7231317,0.00029097331646749157,0.28156005190110056,1.0,0.8922509489364749,3.5804887,2.4482572
Dpysl3,3.6202667,3.558365,0.00029429955147911697,0.28156005190110056,1.0,0.3425839719258039,1.4550607,0.24593914
Eps8,3.58962,4.117876,0.00033116029903983136,0.28156005190110056,1.0,0.2601876387595789,1.7339337,0.23788716
Iqcj,3.5837681,3.5544713,0.00033867283792438785,0.28156005190110056,1.0,0.3796462078349925,1.806937,0.36003283
Rbms1,3.5837402,3.8140938,0.0003387088190220763,0.28156005190110056,1.0,0.39683449115519587,1.9538128,0.35804036
Zfhx4,3.5824091,3.8225584,0.00034044012366755456,0.28156005190110056,1.0,0.3136503616701282,1.7216667,0.28117988
Mtor,3.5783322,3.1674094,0.0003457938858480208,0.28156005190110056,1.0,0.4542361956599585,1.5225995,0.3357084
Kcnip2,3.5585296,3.1292534,0.00037293665528169987,0.28944759427000355,1.0,0.351715247439662,1.248861,0.25010663
Uqcr10,3.5517902,3.945314,0.00038261981167399343,0.28944759427000355,1.0,0.25008952230895937,1.5568143,0.21754368
Pbx1,3.5468256,2.255701,0.00038990242493469254,0.28944759427000355,1.0,0.8134713170522094,3.0343454,1.6377059
Ntng1,3.5410292,3.6320627,0.00039856944503126654,0.28944759427000355,1.0,0.5703287259184989,3.0012512,0.93271774
Kitl,3.5079143,3.47712,0.00045163463646326465,0.3111646841478954,1.0,0.28038387166081785,1.3514891,0.2288206
Ube2n,3.4897203,2.9038677,0.00048352615428754007,0.31774260748191896,1.0,0.4428489579603237,1.3864663,0.3371361
