names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CT SUB Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Rmst,23.11131,4.6726294,3.563615763256019e-118,9.575435555868924e-114,0.9449152542372882,0.2444484564000722,2.3385901,0.31281283
Hs3st4,22.719988,3.590352,2.842897039462777e-114,3.819432172518241e-110,0.9872881355932204,0.6019498104350965,3.2427683,1.1127551
Dpp10,21.61396,3.2107675,1.327588508624674e-103,1.189076774224833e-99,0.9745762711864406,0.8851056147319011,4.6607723,2.510451
Zfpm2,21.570765,2.9245346,3.380648679636608e-103,2.2709507505458913e-99,0.9745762711864406,0.6712402960823254,2.9910269,1.2499478
Etl4,21.361649,2.8393393,3.038909753246056e-101,1.6331101013944306e-97,0.9745762711864406,0.7104170427875067,3.2910376,1.5292726
Grm8,21.266598,3.2518797,2.314727857979518e-100,1.036612292398494e-96,0.9576271186440678,0.5116808088102546,2.5993626,0.8361545
Dlc1,20.588335,2.9223833,3.49165579348599e-94,1.340297016728122e-90,0.9364406779661016,0.5450442318107962,2.1593578,0.6987099
Cntnap4,19.81538,3.1603968,2.19342239670726e-87,7.367157474940509e-84,0.9279661016949152,0.346885719443943,1.7581751,0.4298808
Cdh18,19.608849,2.6835742,1.2994111750780623e-85,3.8794642527052814e-82,0.9576271186440678,0.5806463260516339,2.2502806,0.84224576
Lrrtm3,19.5443,2.4050734,4.612664541669466e-85,1.2394229623465853e-81,0.9491525423728814,0.6244448456400072,2.2746294,0.9734816
Grik3,19.346281,2.9091861,2.1909130371908205e-83,5.351803028119759e-80,0.8940677966101694,0.35746524643437444,1.4228054,0.35006875
Khdrbs2,18.775919,2.064262,1.18871263913941e-78,2.661725717806329e-75,0.9576271186440678,0.711464163206355,2.4588876,1.2687771
Foxp2,18.59514,3.3957474,3.517899774489953e-77,7.271228226195772e-74,0.8305084745762712,0.19700306914605525,1.2440963,0.21079601
Pbx1,18.419626,1.5985261,9.143152102625938e-76,1.7548321214111354e-72,0.9703389830508474,0.8121682614190288,2.597091,1.629784
ENSMUSG00000120124,17.964436,4.9956417,3.700226160485315e-72,6.628338462149362e-69,0.7245762711864406,0.07770355659866401,1.1728561,0.067598976
Adgrb3,17.954205,1.1697437,4.4491461730972094e-72,7.471784854445126e-69,0.9915254237288136,0.9356201480411627,4.0063357,3.2180257
Hs3st2,17.917189,3.2370975,8.659380656726336e-72,1.3686915190955096e-68,0.8008474576271186,0.21967864235421555,1.0248144,0.1735143
Garnl3,17.506126,2.2533994,1.2865546289249083e-68,1.920540159956238e-65,0.923728813559322,0.5176024553168442,1.6047527,0.60650736
Fut9,17.29207,1.7512677,5.3978026823766116e-67,7.633629372392607e-64,0.9576271186440678,0.7489077450803394,2.1785774,1.2020525
Galntl6,17.249037,2.4735458,1.1378116668842418e-66,1.5286499744589787e-63,0.9872881355932204,0.8121682614190288,3.5571666,1.9647515
Tle4,17.045832,2.1448517,3.7536498515871665e-65,4.8028843577212935e-62,0.9067796610169492,0.5806463260516339,1.6816609,0.6877065
Ptprd,16.763123,1.4009942,4.541383070817934e-63,5.54668014149445e-60,1.0,0.965156165372811,4.607235,3.652382
