names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CHOR NN (for_DEGs),mean_expr_Rest (for_DEGs)
Ttr,5.45826,11.087517,4.808234791958624e-08,0.0004636929648100029,1.0,0.05787758318111815,4.787795,0.053258378
Stk39,5.4548473,5.131557,4.9014963274135276e-08,0.0004636929648100029,1.0,0.6386948891515347,3.6192584,0.7108835
Enpp2,5.4451194,6.755012,5.1770706901005165e-08,0.0004636929648100029,1.0,0.4194692167185989,4.2991586,0.51432925
Prlr,4.8607106,6.8004174,1.169651971111452e-06,0.007586397783030075,0.9,0.08151570502489165,1.9348853,0.051777232
Sulf1,4.8233476,6.60276,1.41168548251397e-06,0.007586397783030075,0.9,0.16027362916800975,2.682366,0.13114394
Htr2c,4.7219486,7.6392484,2.3359584671364117e-06,0.01046120066865923,0.9,0.3454389169442355,4.6281347,0.41094038
Mitf,4.4186726,3.6031542,9.930895077808558e-06,0.01702603087735755,0.9,0.4836861143941836,2.1060507,0.4661078
Trpm3,4.4005504,5.161783,1.0797674802014438e-05,0.01702603087735755,0.9,0.6870814082590165,4.7223554,1.4141188
Fras1,4.37421,4.2387266,1.2187305851022111e-05,0.01702603087735755,0.9,0.40231367071379964,2.4762397,0.45563075
Otx2os1,4.364717,10.48962,1.2728730344997603e-05,0.01702603087735755,0.8,0.013967981089502524,2.5848105,0.008491457
Stxbp4,4.3611674,3.0496004,1.2937041043520524e-05,0.01702603087735755,0.9,0.4192543247018373,1.3946764,0.31217387
Clic6,4.346477,8.239362,1.3834146379599317e-05,0.01702603087735755,0.8,0.02227713907095018,1.6167862,0.0132698435
Baiap2l1,4.3390636,7.886278,1.4309122728426859e-05,0.01702603087735755,0.8,0.030263959027255472,1.5338378,0.015250837
Gmnc,4.3341208,8.022155,1.4634370769562277e-05,0.01702603087735755,0.8,0.039647577092511016,1.8575004,0.020588497
Mecom,4.3136644,7.3674726,1.6057050391269064e-05,0.01702603087735755,0.8,0.021775724365173166,1.6674321,0.02569798
Spag16,4.300504,7.5053697,1.7040989940271645e-05,0.01702603087735755,0.8,0.06013394935711472,2.224322,0.044390548
Rbm47,4.297288,6.8863993,1.7290070746789986e-05,0.01702603087735755,0.8,0.049246087174528136,2.0043516,0.05285444
Kl,4.2918353,6.6963034,1.7720236318077245e-05,0.01702603087735755,0.8,0.06450342036460012,1.544497,0.034923337
Pard3b,4.277008,3.6646779,1.8942210413213413e-05,0.01702603087735755,0.9,0.3274596182085169,1.8279282,0.34479043
Tead1,4.2595325,3.0515506,2.048547400178882e-05,0.01702603087735755,0.9,0.4442892446545611,1.7130371,0.43714285
Ifi27,4.251629,5.9778953,2.1222154626050616e-05,0.01702603087735755,0.8,0.061853085491207334,1.2826514,0.040518396
Adgrv1,4.2469215,6.249934,2.167278257428894e-05,0.01702603087735755,0.8,0.07180974893449375,1.7732598,0.062273134
Spef2,4.2468038,6.0864086,2.1684164138811485e-05,0.01702603087735755,0.8,0.09215285985458974,1.5822608,0.055334087
Frem1,4.2408414,6.167187,2.2268335417724443e-05,0.01702603087735755,0.8,0.078793739479245,1.7788938,0.06626428
Prdm16,4.239233,6.002731,2.242845475977872e-05,0.01702603087735755,0.8,0.06812076931342001,1.70388,0.067756824
Dab2,4.23333,5.8878236,2.302565429227069e-05,0.01702603087735755,0.8,0.05665986175280255,1.4080294,0.05083523
Strip2,4.223268,5.8273706,2.4078495472258537e-05,0.01702603087735755,0.8,0.1218079581676874,1.6527135,0.07170538
Dnah7b,4.1957903,5.631833,2.7192160067180227e-05,0.01739650811916983,0.8,0.10200207728949537,1.5011046,0.06795434
Msi2,4.172843,3.166082,3.0082196397278724e-05,0.018370650390792713,0.9,0.6530568389384335,2.5112627,0.81589013
Lrriq1,4.141423,5.381359,3.4515748246994696e-05,0.01934477602406702,0.8,0.20060169764693242,1.783654,0.112250686
Sntb1,4.127969,4.944617,3.65981988136278e-05,0.019812608097724758,0.8,0.09197378317395509,1.2959969,0.082689114
Vat1l,4.103982,5.1346817,4.0609916100271316e-05,0.020563226900415937,0.8,0.18505784176784498,1.7040367,0.12042838
Slc12a2,4.0999417,3.1180303,4.1325428084200244e-05,0.020563226900415937,0.9,0.5229397227892983,1.952678,0.52860224
Ap1s2,4.028021,4.3828797,5.6248372184360975e-05,0.025957056909631314,0.8,0.18298055227248308,1.3736705,0.13224654
Gm4876,3.9682796,4.355496,7.239337572333722e-05,0.028943070438424697,0.8,0.22982701192650692,1.7537544,0.20971006
Dnai4,3.9620035,3.9757183,7.432347823786022e-05,0.028943070438424697,0.8,0.33021739909029046,1.5208538,0.20481792
Plcl1,3.9361534,2.8693972,8.279803414723422e-05,0.030165484581981396,0.9,0.6861143941835894,2.9014633,1.210101
Glis3,3.920012,4.2472987,8.854457109326203e-05,0.031253289079583975,0.8,0.335016654131299,2.5425289,0.48037353
Cab39l,3.871156,3.8421314,0.00010832045108409927,0.03464964905511604,0.8,0.37273020307295585,1.6730992,0.26376772
Stard13,3.8532493,4.0918903,0.00011656060214994886,0.03641841139266426,0.8,0.34622685433902795,2.0517795,0.33483073
Nhsl2,3.8236532,4.045263,0.0001314887859331977,0.04022702914904256,0.8,0.49138641166147345,2.340996,0.45034045
