names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_SPVI-SPVC Tlx3 Ebf3 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Calm1,4.371082,3.4878232,1.2363250562749173e-05,0.09965090242595692,1.0,0.8370518927049386,3.4838777,1.3390634
Hspa8,3.5577354,3.6670172,0.00037406591845999857,0.11293428347213665,0.875,0.6712387637431508,2.8822217,0.8445083
Hsp90aa1,3.3149133,2.9356415,0.0009167155115597304,0.14301513313955785,0.875,0.7956523296207427,2.8117728,1.1132073
Aldoa,2.9385984,3.76375,0.0032970003424788,0.2139864715033946,0.75,0.4655302080721985,2.2580347,0.48889077
Mt3,2.7987685,3.3558242,0.005129790604438479,0.2364921376827645,0.75,0.5008416001146009,2.1968813,0.5772441
Canx,2.6899438,2.7880907,0.007146408048383172,0.27756424628605214,0.75,0.6536546932636178,2.0847244,0.70288825
Myo5a,2.656373,2.067511,0.00789861728381291,0.28922603977241773,0.75,0.757869856390789,2.2394443,1.0989956
Eef1b2,2.6240523,4.4099045,0.008689042245694369,0.29961555025512254,0.625,0.2047774236292662,1.6379837,0.17812893
Atp6v0c,2.5038912,2.6345303,0.012283579831534502,0.3481892975721227,0.75,0.6818035311392042,2.2778442,0.87962085
Tmsb4x,2.4546866,2.761208,0.01410074898652535,0.3679208664052996,0.75,0.7215915195358665,2.6544886,1.0816776
Uqcr11,2.4517703,3.9054496,0.014215541198994193,0.3685000427501408,0.625,0.29216058446442,1.7688476,0.28110865
Pebp1,2.4085078,3.8579354,0.016017884007495903,0.3897353869751496,0.625,0.3116069190273251,1.8019781,0.29942966
Actb,2.3941674,2.2419353,0.01665814411180067,0.39972011595278983,0.75,0.6836657952225764,1.9887978,0.8472688
Rps27,2.3753977,3.6863086,0.017530051075177515,0.40641283208802403,0.625,0.32002292017333384,1.7088999,0.30109555
Caly,2.3181896,3.6937225,0.020439020104979857,0.43646457866527755,0.625,0.36543351359094656,1.6977446,0.29624733
Cox6a1,2.315361,3.7823606,0.020593185723831276,0.43742205565165726,0.625,0.3759266554453318,1.900818,0.34616065
Hsp90ab1,2.3044193,2.375829,0.02119911845200791,0.44371097880695154,0.75,0.8093686208501952,2.52248,1.1656007
Gpm6b,2.227652,1.122095,0.02590372436719005,0.4874181188700256,0.75,0.832754360204849,2.1662169,1.5149474
Cmss1,2.2095182,1.5611829,0.027138612635991655,0.4998043327821081,0.75,0.841779178455037,2.2747173,1.3754182
Atp2b1,2.1857274,0.7156559,0.028835566584136777,0.5138294471654528,0.875,0.899007986247896,2.4615839,2.0188587
Stmn1,2.1552045,3.2299929,0.03114583090544035,0.5333897236642334,0.625,0.43559073165490814,1.7613424,0.4145844
Calm2,2.145447,1.5473723,0.03191712959193631,0.5394978238133828,0.75,0.8573577337678616,2.3019018,1.4053276
Plp1,2.1298347,2.2753172,0.03318525801585678,0.5514458150192157,0.75,0.7187623106399742,2.5173423,1.2101377
Alg11,2.1000576,5.096219,0.035723775171558794,0.5723898860225312,0.5,0.140672563836264,1.3292195,0.07808471
Atp1b1,2.0721443,1.3813436,0.03825199152877511,0.5876556766274815,0.75,0.8601869426637538,2.3051317,1.4961672
Rpl38,2.056839,3.1080513,0.03970171124771145,0.5963023930832905,0.625,0.47949718869748953,1.8810192,0.49766254
Cox7c,2.0494714,3.1361287,0.04041603236146215,0.6012081913149453,0.625,0.46327400350965153,1.8558128,0.47863334
Rps21,2.0446913,3.0466666,0.04088529582156347,0.6032882475153271,0.625,0.45983597750957994,1.8585399,0.5039555
Dnaja1,2.0256367,2.8931673,0.042802037308076336,0.6154801766660825,0.625,0.5055330730938653,1.6789412,0.46176544
Naaladl2,1.9804008,1.0274386,0.04765851556753947,0.6483971206581193,0.75,0.8630519643304803,2.2646875,1.6549462
Rtn1,1.9307137,0.8327308,0.053518471385842474,0.6822865497796906,0.75,0.905311033914694,2.3580582,1.8521303
Selenow,1.914948,2.8050349,0.05549913559790688,0.6965258166818112,0.625,0.5455001253446979,1.8261052,0.5570027
Ubl5,1.9130403,3.8751466,0.05574288950448887,0.6982010558003849,0.5,0.1995487590874906,1.325882,0.17266601
Ywhah,1.8780445,2.6406512,0.06037507943405195,0.7310441060193249,0.625,0.5777316190953694,1.8012233,0.59383965
Ubb,1.8500215,2.419217,0.06431045085521954,0.759682011802381,0.625,0.48264871253088854,1.6879759,0.6011448
