names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OB-STR-CTX Inh IMN (for_DEGs),mean_expr_Rest (for_DEGs)
Nfib,5.50881,1.0896165,3.612676359019308e-08,2.696461493523578e-06,0.7627118644067796,0.8185275545350172,2.361126,1.7069764
Sox6,4.72283,2.473989,2.3258525137912025e-06,9.469038946298427e-05,0.559322033898305,0.309199196326062,1.4685296,0.47105822
mt-Co1,4.6250987,2.0544708,3.744200161291468e-06,0.00014130148642401932,0.6440677966101694,0.5143871986222732,1.4910871,0.6035487
2610307P16Rik,4.513766,4.98122,6.368647022285052e-06,0.000216614614542784,0.3728813559322034,0.04753874856486797,0.86062443,0.042296417
Gm29260,4.4996476,5.583846,6.806626364254304e-06,0.0002291905393577859,0.3728813559322034,0.0523105625717566,1.2501935,0.050632644
Cst3,4.460888,1.9202721,8.162079067855564e-06,0.00026455375700033655,0.6779661016949152,0.5866819747416763,1.7358198,0.80414504
Ptprz1,4.3594794,2.0793111,1.303722004907005e-05,0.0003901003371030203,0.6440677966101694,0.5670565442020666,1.8699967,0.83233446
Chd7,4.2198043,2.4618573,2.4451432184176244e-05,0.000656353629159656,0.5084745762711864,0.32444747416762343,1.1640193,0.33635223
Pbx1,4.151078,0.8067012,3.3091270728801545e-05,0.0008317702941841885,0.6779661016949152,0.8137916188289323,2.1091099,1.6369588
Hsp90ab1,3.9880311,1.1739296,6.662393927318534e-05,0.0014471990689332984,0.7627118644067796,0.8094503444316877,1.7875421,1.1646737
Tmsb4x,3.762731,1.5333635,0.00016806788646170375,0.0030825830097105664,0.6949152542372882,0.7216561423650976,1.8919938,1.0804138
Msi2,3.713433,1.7177292,0.00020446654597466995,0.003645664293523146,0.6101694915254238,0.6532362227324914,1.637028,0.81475985
Nfia,3.6497254,1.2591131,0.00026252068385927826,0.004423779516433499,0.6440677966101694,0.7399181974741676,2.022551,1.3190194
Maml2,3.4981625,1.3971401,0.0004684757392572394,0.007028443949660537,0.6101694915254238,0.5418340987370838,1.4820306,0.8292603
Gad2,3.3862317,2.462385,0.0007085952894574434,0.009914984700844521,0.4067796610169492,0.2231630309988519,0.891657,0.23200971
Rps27a,3.361009,2.0778012,0.0007765832410521322,0.010654250489524114,0.5084745762711864,0.39667049368541907,1.0899026,0.3836197
Hspa8,3.3262255,1.4248978,0.0008803067451390281,0.011721428266543947,0.6440677966101694,0.6713547646383468,1.5167235,0.84367007
Sox2ot,3.2879508,1.8207489,0.0010091945123812545,0.013030781618300966,0.559322033898305,0.4665614236509759,1.6722301,0.799315
Mir100hg,3.2726362,0.8640256,0.0010654953997918453,0.01362496915740899,0.6440677966101694,0.7303386911595867,1.7119955,1.251149
Zbtb20,3.2344263,0.8416265,0.001218874344961207,0.015169594094074864,0.7457627118644068,0.8687930539609644,2.848958,2.31043
Hsp90aa1,3.0994062,1.0482465,0.0019390897575382977,0.021956739058177015,0.6779661016949152,0.7959242250287026,1.6530951,1.1125518
Prdm16,3.0775616,3.225967,0.002087017602647626,0.023317323485713807,0.288135593220339,0.06791762342135477,0.5023524,0.06742389
Calm2,3.033662,0.7176377,0.002416049215271794,0.026079667894631408,0.6949152542372882,0.8576707807118255,1.801043,1.4047474
Apoe,2.982877,1.9589959,0.002855527174168799,0.02985073926669735,0.4745762711864407,0.34669202066590127,1.1436576,0.43823406
Zeb1,2.9718294,1.250655,0.002960311198705054,0.030688102588427774,0.576271186440678,0.6955008610792193,1.6017165,0.9801537
Rpsa,2.8742113,1.9351848,0.004050379220704198,0.039290140671596314,0.4745762711864407,0.40230338691159584,1.0199832,0.3809372
Adgrv1,2.8667762,3.8565955,0.004146761929807091,0.04008039318486207,0.2711864406779661,0.07164896670493685,0.65282923,0.061636906
Egfr,2.8629456,3.0659575,0.004197228016075409,0.04045176355521744,0.3050847457627119,0.11847014925373134,0.78325456,0.13272275
Clasp2,2.852997,0.2913525,0.0043309035555891585,0.04145756271417196,0.711864406779661,0.8316590126291619,1.5847976,1.4276992
Slc1a3,2.8199108,1.8580502,0.00480370117920943,0.04484900996711514,0.4406779661016949,0.31493972445464985,1.0156968,0.3959873
Mob3b,2.7908573,2.605465,0.005256865504298739,0.04807759567750413,0.3220338983050847,0.14272388059701493,0.59102887,0.12435014
Meis2,2.7699177,1.9613944,0.005607045913086726,0.05059144515938224,0.4915254237288136,0.48991819747416765,1.5506479,0.6697847
mt-Co3,2.7658446,1.5712378,0.0056775592222570006,0.05112467034250858,0.576271186440678,0.6081371986222732,1.5079852,0.78104424
Ttc3,2.7463355,0.23901874,0.006026510563266425,0.053337397508224256,0.8305084745762712,0.8958811710677382,2.039262,1.896758
Dpysl3,2.7037938,1.9971316,0.006855283317492798,0.05913369590402295,0.423728813559322,0.3425301377726751,0.74610794,0.24509731
mt-Nd2,2.7010217,1.4874492,0.006912682628767394,0.059457036566894966,0.5084745762711864,0.4372129735935706,1.0078262,0.48269042
Map2,2.625725,0.1302601,0.0086464626194042,0.07063862893991817,0.6610169491525424,0.8412385189437428,1.8043437,1.7294784
Rplp1,2.5789163,1.2097747,0.009911082665169057,0.07848829685030727,0.6101694915254238,0.6539896670493686,1.3616935,0.8131424
Fth1,2.535049,1.4664224,0.011243158077100506,0.08668684577666876,0.576271186440678,0.5801162456946038,1.3835623,0.73317873
Rpl23,2.5190313,1.934732,0.011767821465660074,0.08995771345157501,0.423728813559322,0.3266719288174512,0.8784769,0.31341478
Gpm6b,2.4586694,0.36920992,0.013945294251142737,0.10253795749110568,0.6779661016949152,0.8330582663605052,1.719693,1.514701
Tox3,2.4138165,2.036058,0.01578641655542424,0.11308478081691531,0.3898305084745763,0.32003444316877155,0.8644603,0.28889707
Sncaip,2.40824,2.552245,0.0160296381425287,0.11436972301905103,0.3389830508474576,0.22513633754305395,0.76105213,0.17768419
Sox11,2.3894744,1.9619195,0.016872496934109228,0.11874384301192115,0.3898305084745763,0.3235505166475316,0.6867207,0.22585852
Sparcl1,2.374184,1.2162609,0.017587783742145,0.12278091690086676,0.559322033898305,0.5910950057405281,1.2249705,0.7103481
Tcf4,2.3525655,0.05751868,0.018644400431524738,0.12838929769222698,0.8135593220338984,0.934199196326062,2.8190823,2.7816355
Igf1r,2.2924302,0.865311,0.021880835710207474,0.14531959780259543,0.559322033898305,0.6876793915040184,1.2560927,0.8665676
Rpl9,2.290725,1.884763,0.021979329989926782,0.14578736036270862,0.423728813559322,0.36075631458094143,0.9753016,0.36972287
Plcl1,2.2894723,0.79961854,0.0220519291411789,0.146124620474347,0.6271186440677966,0.6863160160734788,1.6283631,1.2098224
Rftn2,2.2745292,2.6802557,0.02293418243444274,0.15081419632393966,0.23728813559322035,0.07634902411021814,0.3761887,0.068830766
