names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_PAG-SC Pou4f1 Zic1 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Vsnl1,2.962406,4.1213818,0.0030524497414821253,0.999522987190554,1.0,0.6699369808077915,3.2622662,0.8930889
Sfpq,2.9541712,2.8395288,0.0031351008371002667,0.999522987190554,1.0,0.7638928673732455,2.6921933,1.0725849
Stag1,2.9163623,2.6036134,0.0035413895898408804,0.999522987190554,1.0,0.8241907762818677,3.0410159,1.4535878
Ubn2,2.9082348,2.5699358,0.003634752257132055,0.999522987190554,1.0,0.7865582927527929,2.6921933,1.1993728
Gphn,2.7438598,2.2986925,0.006072149160676512,0.999522987190554,1.0,0.8810512747063879,3.428954,1.9552572
Nptn,2.7370927,1.7367983,0.006198481631692372,0.999522987190554,1.0,0.8411271841879118,2.6921933,1.635042
Ext1,2.727354,2.395659,0.006384448354338104,0.999522987190554,1.0,0.775887997708393,2.9113023,1.459297
Mycbp2,2.6804154,2.1388152,0.0073530863655059805,0.999522987190554,1.0,0.8806215983958751,3.2675743,1.907008
B3galt1,2.440136,2.2857518,0.014681731049132027,0.999522987190554,1.0,0.8534445717559439,3.362336,1.90401
Hivep2,2.1896884,1.4073477,0.02854683475861072,0.999522987190554,1.0,0.8262675451160126,2.6921933,1.8227907
Kcnd2,2.043824,1.4601628,0.04097095207623752,0.999522987190554,1.0,0.9128115153251217,3.8381138,2.8630228
Gria4,2.0131042,1.9752113,0.04410366909652705,0.999522987190554,1.0,0.7922156975078773,2.9134436,1.6920223
Opcml,2.001647,1.9722383,0.04532271250789885,0.999522987190554,1.0,0.9259882555141793,4.4470515,3.113681
Nkain2,1.8528464,1.3239156,0.06390437656328649,0.999522987190554,1.0,0.930213405900888,4.1154084,3.2219834
Trdmt1,1.8179377,5.5569925,0.06907365442265051,0.999522987190554,0.6666666666666666,0.18042824405614438,1.7427263,0.09540778
Psmb5,1.8074114,5.1081457,0.07069815930488006,0.999522987190554,0.6666666666666666,0.1695431108564881,1.8341166,0.1419268
Cldnd1,1.7822055,5.1899877,0.07471572324263132,0.999522987190554,0.6666666666666666,0.21043397307361789,1.8075438,0.13066457
Eepd1,1.7600071,5.4633756,0.07840659169135353,0.999522987190554,0.6666666666666666,0.23807648238327128,2.091549,0.14916557
Sp1,1.7345865,4.8300653,0.08281407757041039,0.999522987190554,0.6666666666666666,0.2612073904325408,1.8075438,0.164784
Fgf14,1.7262442,1.190114,0.08430349179092743,0.999522987190554,1.0,0.9245918075050129,3.8741024,3.0754552
Tafa1,1.7172574,1.8834907,0.08593214576943588,0.999522987190554,1.0,0.7913921512460613,3.129401,1.9350936
Slc4a1ap,1.6833154,4.4848247,0.0923140438335702,0.999522987190554,0.6666666666666666,0.3086866227441994,1.7427263,0.1910211
Ccbe1,1.6776942,3.8553865,0.0934068045066607,0.999522987190554,0.6666666666666666,0.3188556287596677,1.8341166,0.30996978
Lgmn,1.6600788,4.1613774,0.09689860666885061,0.999522987190554,0.6666666666666666,0.3074692065310799,1.8341166,0.25768927
Sema3c,1.648908,3.9126918,0.09916648631363968,0.999522987190554,0.6666666666666666,0.31638498997421943,1.8075438,0.2914255
Dars,1.6057286,4.0374975,0.10833355198430776,0.999522987190554,0.6666666666666666,0.38506158693784015,1.8341166,0.2778524
Cntnap2,1.5873612,1.3868705,0.11243084706008785,0.999522987190554,1.0,0.9143153824119163,3.7061093,2.7837224
Sf3b2,1.5701039,3.8093948,0.11639095653935881,0.999522987190554,0.6666666666666666,0.4050057290174735,1.8075438,0.3100164
Sptlc2,1.5695667,3.666,0.1165159324898566,0.999522987190554,0.6666666666666666,0.42079633342881695,1.7427263,0.31575114
Ilf3,1.5533835,3.665242,0.12033155134586493,0.999522987190554,0.6666666666666666,0.4351546834717846,1.7427263,0.31589323
Ephb1,1.5467597,3.5913243,0.12192118670936807,0.999522987190554,0.6666666666666666,0.42580922371813235,2.0929134,0.4635894
Efna5,1.5465808,2.9402516,0.12196437658168063,0.999522987190554,0.6666666666666666,0.4138857061014036,1.8341166,0.5219142
Myo1d,1.5404941,3.6756954,0.12343996075233328,0.999522987190554,0.6666666666666666,0.43963047837295904,1.9618353,0.39090452
Hif1a,1.5385607,3.5346842,0.12391158119288248,0.999522987190554,0.6666666666666666,0.4414924090518476,1.7427263,0.34122515
Vps37a,1.5356964,3.9669206,0.12461286143077427,0.999522987190554,0.6666666666666666,0.4623675164709252,2.0256424,0.35125574
Mapre3,1.5190834,3.5988488,0.12874149784133962,0.999522987190554,0.6666666666666666,0.47042394729303927,1.8341166,0.36053786
Samd5,1.5052273,2.7695153,0.1322656338064567,0.999522987190554,0.6666666666666666,0.48435262102549415,1.8341166,0.5717359
Slain1,1.5031149,3.845001,0.13280940839917468,0.999522987190554,0.6666666666666666,0.49548839873961614,2.1799338,0.43565366
Enpp2,1.5016112,3.3321455,0.13319755570127154,0.999522987190554,0.6666666666666666,0.4196505299341163,2.0532255,0.51551914
Xpo4,1.4910133,3.2431493,0.13595801589594603,0.999522987190554,0.6666666666666666,0.5014322543683758,1.7427263,0.4039575
Chchd6,1.4648765,3.0824566,0.14295462066998976,0.999522987190554,0.6666666666666666,0.5153251217416213,1.7427263,0.44236782
Pknox2,1.435768,3.0175045,0.1510683697176354,0.999522987190554,0.6666666666666666,0.5619091950730449,2.0256424,0.59482014
Tanc1,1.4315073,2.4144382,0.15228486387197848,0.999522987190554,0.6666666666666666,0.5455456889143512,1.8075438,0.6707957
Rgs6,1.4165413,2.6247392,0.1566170644072496,0.999522987190554,0.6666666666666666,0.5120667430535664,2.091549,0.76581264
Vapa,1.4022199,2.885018,0.16084960917213376,0.999522987190554,0.6666666666666666,0.5713978802635348,1.8075438,0.52459437
Lmtk2,1.3978876,2.5809863,0.16214682898899413,0.999522987190554,0.6666666666666666,0.5843955886565454,1.7427263,0.5809016
Ntm,1.3872539,1.4644868,0.16536436944580302,0.999522987190554,1.0,0.8152391864795188,2.910292,1.9866923
Ppp6r3,1.3575009,2.5691974,0.17462210813492696,0.999522987190554,0.6666666666666666,0.632877399026067,1.8341166,0.63458097
