names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_SI-MA-LPO-LHA Skor1 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Hspa8,3.3538573,2.5118337,0.0007969344712876447,0.0230493349724425,0.7222222222222222,0.6712642854583886,2.1475847,0.84425175
Camk1d,3.2395523,1.0842673,0.0011971756379638996,0.03000756473142722,0.8888888888888888,0.9540357539497725,3.0224166,2.3239582
Cmss1,2.9758081,1.6328139,0.002922175710903831,0.0522762059600439,0.7222222222222222,0.8418299716977752,2.3189516,1.375067
Rtn1,2.9234512,0.93846214,0.0034617445295054253,0.058208432733298364,0.7777777777777778,0.9053487622254863,2.4243953,1.851906
Hsp90aa1,2.9095907,1.9632847,0.0036190231195547514,0.05990960387376755,0.7222222222222222,0.79572242324365,2.1937158,1.1129975
Map1b,2.8782,0.9135315,0.003999515378014284,0.06426093082282237,0.7222222222222222,0.8573424569197148,2.2105222,1.66979
Calm1,2.3812401,1.2769132,0.01725445913715587,0.17228811483291648,0.7222222222222222,0.8371726435710959,2.0571804,1.3392148
Snap25,2.3350677,0.45605767,0.019539880351352814,0.18698378320981962,0.7777777777777778,0.8534732920144735,2.1248422,1.8521731
Ubb,2.200776,2.4256256,0.027751881957785662,0.23756522768436686,0.5555555555555556,0.4826424963278759,1.6908916,0.6007534
Tmsb4x,2.2002642,1.4755973,0.027788147026868812,0.23756522768436686,0.6666666666666666,0.7216350804284742,1.8596437,1.0816268
App,1.9413452,0.26829135,0.05221642132961304,0.367676949980792,0.6666666666666666,0.8995450148676244,1.969322,1.8114718
Rnasek,1.8783443,2.749531,0.06033407781272215,0.4062081360129903,0.4444444444444444,0.31494285816644574,1.2369163,0.31010267
mt-Cytb,1.87099,2.6307342,0.06134645725993745,0.4112722820794708,0.4444444444444444,0.31042883244366426,1.1619354,0.30349794
Fth1,1.7838503,1.9008447,0.07444799186464854,0.4704145241362575,0.5555555555555556,0.5801239565793717,1.6185186,0.7339826
Il31ra,1.6729372,3.7130873,0.09433966220011994,0.553593955736454,0.3333333333333333,0.15512485221939598,0.8806785,0.10229327
Prkar1a,1.6558309,2.2317648,0.09775607000952106,0.5668333191963382,0.5,0.5258123455020958,1.3357484,0.46795177
Cox4i1,1.4523829,1.9289932,0.1463951558628712,0.7388138484346899,0.5,0.5278544047576398,1.3933911,0.58518296
Gm39816,1.450146,4.9017477,0.1470178187904503,0.7401852709198801,0.2222222222222222,0.03131157525167485,0.5641813,0.02504101
Bbln,1.4186968,3.0238836,0.15598745914378717,0.7697673144524447,0.3333333333333333,0.20280872711639739,0.8905938,0.16264921
Naaladl2,1.3982714,0.63167346,0.1620315549096858,0.7864784878523787,0.6111111111111112,0.8631820298785512,2.0225544,1.654884
Atp6v0c,1.3876715,1.5013154,0.16523711701968913,0.7959701208890367,0.5555555555555556,0.6819044889478021,1.6076783,0.879552
Stmn1,1.3660619,2.1821694,0.17191952059704696,0.8167393066553487,0.4444444444444444,0.43563930784938915,1.2031817,0.41446197
Calm2,1.2916423,0.74235743,0.19648106426036493,0.8871527804866418,0.6111111111111112,0.8574857593236127,1.8160033,1.4053196
Ndufb6,1.1637251,2.9150918,0.2445354020889935,0.9988888062731366,0.2777777777777778,0.1581342027012503,0.6794705,0.12131069
Gapdh,1.1000371,1.9246308,0.2713159461862391,0.9988888062731366,0.3888888888888889,0.34972951671264285,1.013893,0.38023287
Scoc,1.0884575,2.6417758,0.2763931976739886,0.9988888062731366,0.3333333333333333,0.26862035610647367,0.8544508,0.19583434
Tubb2a,1.0297698,2.0186744,0.30311811393966726,0.9988888062731366,0.3888888888888889,0.3739834485723498,1.0172615,0.36167035
Fcgr3,1.0278983,3.7683706,0.3039976829326666,0.9988888062731366,0.16666666666666666,0.030559237631211263,0.35026556,0.030316709
Tpt1,1.0244039,1.9224901,0.30564453677366255,0.9988888062731366,0.3888888888888889,0.3707949700856232,0.9990422,0.37335086
Rpl41,0.9962297,1.7631065,0.31913855495647847,0.9988888062731366,0.4444444444444444,0.5131300827571382,1.2278693,0.53718436
mt-Co1,0.99206275,1.8863589,0.32116690354530175,0.9988888062731366,0.4444444444444444,0.5147064092000143,1.4042645,0.60490847
Ptgds,0.99007434,1.7406188,0.32213777868241655,0.9988888062731366,0.3888888888888889,0.36534947873750584,1.046963,0.44037744
Urod,0.97505885,4.3326883,0.3295310809371108,0.9988888062731366,0.16666666666666666,0.040447103500161216,0.4478853,0.02765413
Pnma8b,0.94191355,2.2840054,0.3462369015097607,0.9988888062731366,0.3333333333333333,0.2954895568373159,0.86358136,0.24813628
Mdfic2,0.94141644,3.6624675,0.34649148923500184,0.9988888062731366,0.16666666666666666,0.045068606025866084,0.36653316,0.03436661
Gnb1,0.93643075,1.0830023,0.3490514443928552,0.9988888062731366,0.5,0.6982051373911797,1.2835132,0.80276805
Pclo,0.8955511,-0.10654844,0.37049255964760264,0.9988888062731366,0.5555555555555556,0.8332318274639057,1.6637224,1.7239918
Ndufa4,0.84262395,1.7737314,0.3994388002348652,0.9988888062731366,0.3888888888888889,0.4079819438971089,1.0544211,0.43630216
Nars,0.83652705,2.269827,0.4028584509125497,0.9988888062731366,0.3333333333333333,0.3165191846093218,0.822029,0.2345984
Rps29,0.82702357,1.399981,0.40822369708826733,0.9988888062731366,0.4444444444444444,0.5171783756672518,1.0925798,0.5602062
Hsp90b1,0.82371926,1.514531,0.4100990784066628,0.9988888062731366,0.4444444444444444,0.5424354243542435,1.1115764,0.53866875
Cntnap2,0.8105314,0.10758939,0.4176348510840189,0.9988888062731366,0.8333333333333334,0.9143768136710493,2.8539026,2.7837758
Crip2,0.78419936,3.3249197,0.4329231417847017,0.9988888062731366,0.16666666666666666,0.07075556192455129,0.40472567,0.04858612
Chgb,0.78323436,1.5716668,0.4334894848929647,0.9988888062731366,0.4444444444444444,0.5425787267581413,1.2179089,0.5881835
R3hdm1,0.7804272,-0.11286307,0.4351394624801307,0.9988888062731366,0.6666666666666666,0.8407193780675671,1.7747526,1.8401444
Atp6v1e1,0.7743011,1.928347,0.43875275331325303,0.9988888062731366,0.3888888888888889,0.4421595672267402,1.0207458,0.38282016
Nxph1,0.76811653,0.9772561,0.44241796530343336,0.9988888062731366,0.4444444444444444,0.42227635868591695,1.1381315,0.7310758
Mfge8,0.76111317,2.9759002,0.4465894748612078,0.9988888062731366,0.16666666666666666,0.07516211084440942,0.49376428,0.0780284
Mag,0.7547385,1.6461979,0.4504058913339104,0.9988888062731366,0.2777777777777778,0.2192885035646473,0.68226147,0.27198184
Ppp3ca,0.7477937,-0.27079105,0.454584631138364,0.9988888062731366,0.7777777777777778,0.9405295023824025,2.4103959,2.5826044
