names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_PRT Mecom Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Camk1d,3.7405865,1.7552885,0.00018359139887467817,0.16639181048828752,1.0,0.953980589478208,3.469391,2.3240805
Cst3,3.4059112,3.5480247,0.0006594360801475721,0.18080660687311492,0.875,0.5867922501163915,2.739536,0.8055589
Calm2,3.2212622,2.274274,0.001276273511026908,0.20640533446089873,0.875,0.8573219209970275,2.7651737,1.4051949
Selenow,2.7584662,3.0370276,0.005807330421502935,0.3425899694648551,0.75,0.5454643125738639,1.9626197,0.55696356
Rplp1,2.5875654,2.8818724,0.009665682263768731,0.3959098817491857,0.75,0.6538695698886223,2.3285081,0.8138674
Nrgn,2.4730616,2.4763315,0.013396107417942381,0.44538700913147233,0.75,0.7353078107653189,2.406491,1.034634
Rps7,2.3315432,3.4808574,0.019724731912781533,0.5145665499965435,0.625,0.33159044515274144,1.6422315,0.31714803
Rpl8,2.2298448,3.1577265,0.025757747435914063,0.5781464959468878,0.625,0.36890735236185224,1.5400064,0.3440416
Kansl1,2.1491308,0.7678151,0.03162403985886626,0.6289696158458449,0.75,0.8380188375174588,1.9538924,1.5166122
Kif1b,2.1208227,0.8271537,0.03393672816855513,0.6527770133637429,0.75,0.8614762024137808,2.0732691,1.5928444
Stmn1,2.107491,2.938283,0.035075047912817264,0.6607749121741767,0.625,0.43559073165490814,1.5970342,0.41463152
Rtn4,2.083963,1.3271401,0.0371635317907316,0.6786772793812702,0.75,0.8082584249543388,1.9119215,1.1933484
Rtn3,2.0606983,0.7240224,0.03933183839658057,0.6889481732178095,0.75,0.8662751137055474,2.0417082,1.6210709
Cox7c,2.0503485,2.9060798,0.04033042670019329,0.6955574874417161,0.625,0.46327400350965153,1.7231033,0.4786714
Calm1,1.9259335,1.5799941,0.05411267327194086,0.7846775665499465,0.75,0.8371235182466067,2.2429907,1.3394188
Ppp3cb,1.6575224,1.6926476,0.09741389721172314,0.9993461808789204,0.625,0.6987071589728897,1.6262953,0.81701744
Hexb,1.6353321,2.124891,0.10197945070460894,0.9993461808789204,0.625,0.6793324499516528,1.9640479,0.8775436
Rps11,1.6343235,3.0343378,0.1021909555717107,0.9993461808789204,0.5,0.29330659313111057,1.2681242,0.2713723
Clptm1,1.6111463,3.4929233,0.10714782527189438,0.9993461808789204,0.5,0.33513590946531535,1.3492404,0.22597575
Sparcl1,1.5840882,1.9941041,0.1131736554518394,0.9993461808789204,0.625,0.5910181570748129,1.6348324,0.7111707
mt-Co3,1.5667657,1.925545,0.11716947479310308,0.9993461808789204,0.625,0.6080650359918347,1.7060881,0.7823153
Ctsd,1.5604945,2.6949813,0.11864307251143948,0.9993461808789204,0.5,0.29749668731869783,1.1461608,0.28624603
Hspa8,1.5415713,2.1033533,0.12317780603147033,0.9993461808789204,0.625,0.671310389284819,1.9027526,0.8447889
Gm11867,1.5259372,2.8054998,0.12702550896079734,0.9993461808789204,0.5,0.3483866346739247,1.2375154,0.30012453
Tmsb4x,1.5161576,2.198624,0.12947949519133864,0.9993461808789204,0.625,0.7216273323067006,2.297667,1.0817798
Rtn1,1.4641682,0.4414079,0.14314799519455146,0.9993461808789204,0.75,0.905311033914694,2.1159382,1.8521997
Hcn1,1.4514724,0.8029005,0.1466483776129314,0.9993461808789204,0.75,0.7489166636822691,2.0071814,1.5460098
