names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CEA-BST Ebf1 Pdyn Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Thra,4.459113,4.0574646,8.22994362229049e-06,0.12138606541475296,1.0,0.6724681277753903,2.9627264,0.7429528
Calm1,4.176652,3.6898644,2.9583106026483933e-05,0.12138606541475296,1.0,0.8370577281191807,3.61996,1.339106
Actb,4.1224337,3.5551915,3.748908054026808e-05,0.12138606541475296,1.0,0.6836055006446068,2.8134801,0.847103
Rtn1,3.689881,2.0269663,0.00022435889110216932,0.12138606541475296,1.0,0.9052428018908466,3.1309087,1.8519545
Rps27a,3.5242722,4.487483,0.0004246479400441674,0.12138606541475296,0.8571428571428571,0.39679129064603924,2.4441752,0.38459542
Rps29,3.3826196,3.9821944,0.0007179801922111812,0.1277624355279102,0.8571428571428571,0.5170462684429165,2.5544922,0.56004936
Rpl38,3.351209,3.7404783,0.0008045957305784545,0.13330299077611057,0.8571428571428571,0.47944420570118895,2.2636592,0.49761626
Tmsb4x,3.1408749,3.3935385,0.0016844393878905231,0.153398640259884,0.8571428571428571,0.7215656782695888,3.0674422,1.0816303
Plppr4,3.1330457,1.8686656,0.0017300248439837814,0.153437973728427,0.8571428571428571,0.7708422862054147,2.299895,1.2404252
Cst3,3.036048,3.30349,0.002397013224602032,0.17192765527054457,0.8571428571428571,0.5868070477009024,2.582081,0.80566776
Calm2,2.9532316,2.271465,0.0031446590980288023,0.19457744735505503,0.8571428571428571,0.857327030511388,2.7634106,1.4052442
Nrgn,2.9247746,2.54849,0.0034470587028856228,0.20347010641915084,0.8571428571428571,0.7352814782982381,2.4521542,1.0346717
Rps6,2.9226415,4.9365892,0.003470759578401681,0.20347010641915084,0.7142857142857143,0.23495917490330898,2.0473614,0.19912262
Cmss1,2.84892,2.0296476,0.004386787876017569,0.22440906995203216,0.8571428571428571,0.8417490330898152,2.5704556,1.3753761
Rab3a,2.7789965,4.4287295,0.005452712571002502,0.245825366060018,0.7142857142857143,0.3185431886549205,2.081427,0.2819887
Rpl9,2.710526,4.06578,0.006717659210577466,0.2635087634864475,0.7142857142857143,0.3608007448789572,2.1414163,0.3705584
Rps24,2.6558855,3.9585578,0.007910046070868587,0.28151382506521716,0.7142857142857143,0.405672539750752,2.1170175,0.3852307
Tuba1a,2.6312025,4.027634,0.008508334771702248,0.2903637201741942,0.7142857142857143,0.41233347657928665,2.2186263,0.4070994
Atp1b1,2.6219199,1.5758827,0.008743598926023376,0.2938170487038498,0.8571428571428571,0.860156138089099,2.4273112,1.4961654
Eif1,2.6169035,3.739917,0.008873141370149766,0.296175538653322,0.7142857142857143,0.4099341068614812,2.086593,0.42410588
Rpl19,2.5867822,3.6156862,0.009687681942109392,0.3106300880483047,0.7142857142857143,0.4074631141670248,1.9696976,0.40760335
Rpl6,2.5663419,3.7570174,0.010277749482405323,0.3193068907286378,0.7142857142857143,0.47983813207276893,2.1559024,0.4477398
Rps21,2.5447059,3.7368343,0.010936978607449395,0.3301984440249047,0.7142857142857143,0.4598195100988397,2.2756953,0.5038994
Mt3,2.4700003,3.4689915,0.013511295345281721,0.36445123977889227,0.7142857142857143,0.5008594757198109,2.2669842,0.57728463
Ubb,2.4188526,3.272652,0.015569551555936846,0.39025545737688716,0.7142857142857143,0.48263142816215443,2.1931899,0.601057
Ppia,2.3936303,3.3148537,0.016682556890985082,0.4043206189333921,0.7142857142857143,0.5328749462827675,2.268689,0.62643594
Morf4l1,2.360227,2.7788947,0.01826374757934067,0.4212419720659947,0.7142857142857143,0.6063601203266008,1.8754275,0.5904542
Eef1a1,2.3530777,3.0124273,0.018618741740585674,0.42505147881863814,0.7142857142857143,0.5508523134221458,2.0170143,0.5919425
Nisch,2.3443577,2.4930282,0.019059878914137355,0.42727898234966366,0.7142857142857143,0.659217877094972,1.8863813,0.6901127
Tubb4b,2.228701,4.4395285,0.02583380374440543,0.4991531758558168,0.5714285714285714,0.17468844005156856,1.5034293,0.14942512
