names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CB Granule Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Fnbp1,3.5999477,2.395137,0.0003182813395055508,0.3887372542051886,0.8888888888888888,0.69303774801232,2.1266546,0.8772421
Gigyf2,3.4868839,2.0582519,0.0004886834073158548,0.3979067622599097,0.8888888888888888,0.7021345175847002,1.8694587,0.84024286
Cacnb4,3.0940864,1.4776955,0.001974199566144451,0.530467423423014,0.8888888888888888,0.7695007520951221,2.2297711,1.3811294
Caln1,2.9187334,1.6088613,0.0035145668662929994,0.5605878860575668,0.7777777777777778,0.7031014970274335,2.0807595,1.1934514
Chn2,2.8533635,3.9835172,0.004325909337137076,0.5623412127191896,0.6666666666666666,0.2923859322398109,1.8647529,0.29625556
Pde4b,2.6591976,1.8223401,0.007832700725301655,0.5963670676639061,0.8888888888888888,0.763627247331853,2.7695951,1.6540141
Pde1c,2.51808,2.7458425,0.011799653542689041,0.678530580177631,0.6666666666666666,0.3349330277200774,1.33154,0.34745896
Zfp521,2.4951117,4.0356,0.012591751070869581,0.6794998642771769,0.5555555555555556,0.13609340305135736,1.1999043,0.13230248
Etv1,2.4500432,2.38649,0.01428390420153696,0.7095580836009671,0.6666666666666666,0.46576176491655324,1.4921184,0.50629675
Hspa5,2.3485775,2.5316403,0.018845277224399187,0.7643109491167039,0.6666666666666666,0.43281283575675095,1.346902,0.40018803
Msi2,2.3087397,1.5563122,0.020958037695595216,0.7818025677809686,0.7777777777777778,0.653105078432777,1.5500331,0.8162607
Gabra6,2.3073337,12.827068,0.02103622093433719,0.7818025677809686,0.4444444444444444,0.0005730248549530836,0.9920421,0.00023346908
Cbln1,2.2446103,6.9186864,0.024793167204532007,0.8268514763238601,0.4444444444444444,0.020700522885180143,0.847152,0.010957574
Camk4,2.233033,1.845388,0.025546767359773057,0.8408257267877197,0.6666666666666666,0.626674306998066,1.8065923,0.8822601
Snap25,2.232847,0.809332,0.025559038840559514,0.8408257267877197,0.8888888888888888,0.8534130792923144,2.3434453,1.8521906
Rps4x,2.1858354,3.1905477,0.028827657504206898,0.8732797712942947,0.5555555555555556,0.23053506195831244,1.0974824,0.19778205
Kctd8,2.0920186,2.8257382,0.036436841354237415,0.9393667306427875,0.5555555555555556,0.2706109877515937,1.2467185,0.29984272
Ntng1,2.06812,1.5676354,0.03862873183542715,0.950791079879352,0.7777777777777778,0.570338800945491,1.7173754,0.9328353
