names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_LDT-PCG-CS Gata3 Lhx1 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Mbd5,2.0418413,0.70182437,0.04116729008064951,0.9996770558131477,0.8,0.8454128768889208,2.1208146,1.706804
Tmem256,2.0397055,4.442403,0.041379656584273304,0.9996770558131477,0.6,0.13260044403065244,1.1814404,0.09885293
Guk1,2.0273361,4.564284,0.04262806036787025,0.9996770558131477,0.6,0.14742533839432787,1.2796127,0.10408634
Psmc3,1.9528689,4.48406,0.05083513136826253,0.9996770558131477,0.6,0.2223017976079639,1.6026062,0.16315565
Zfr,1.9500122,1.4808129,0.05117465899762828,0.9996770558131477,0.8,0.8060946787939555,2.112608,1.2822237
Lingo2,1.9431896,1.7923713,0.05199325849046111,0.9996770558131477,1.0,0.8830480555754494,3.8178601,2.6282043
Nkain3,1.8394071,1.4763578,0.06585533219930362,0.9996770558131477,0.8,0.6704146673350999,2.0155904,1.2053478
Ndufb8,1.8154722,3.5369277,0.06945137116400138,0.9996770558131477,0.6,0.22817446107570005,1.2738708,0.20034064
Oaz1,1.7905111,3.7439315,0.07337177208496223,0.9996770558131477,0.6,0.32052567499820955,1.7007784,0.2883683
Rps3,1.7865174,3.3993886,0.07401552090363205,0.9996770558131477,0.6,0.27182553892429995,1.4192512,0.2600689
Cnksr2,1.777892,1.09919,0.07542159730981948,0.9996770558131477,1.0,0.8612762300365251,2.9208891,2.2187176
Septin7,1.7512114,1.5041851,0.0799095026218963,0.9996770558131477,0.8,0.76591706653298,1.9008423,1.1007532
Rpl29,1.7436954,3.184128,0.0812122263793896,0.9996770558131477,0.6,0.2504118026212132,1.1814404,0.22198148
Ibtk,1.71291,3.3727715,0.08672908658629813,0.9996770558131477,0.6,0.3100694693117525,1.1814404,0.19727924
Set,1.6915268,3.2347336,0.09073623961608597,0.9996770558131477,0.6,0.3376423404712454,1.3652314,0.26990056
Cox7a2,1.6622114,2.9382155,0.09647039322561764,0.9996770558131477,0.6,0.30942490868724487,1.2670591,0.28724426
Ndufb9,1.6452101,2.957581,0.099926478104209,0.9996770558131477,0.6,0.29427773401131563,1.1814404,0.2552691
Hint1,1.6440176,3.0083594,0.10017257082186562,0.9996770558131477,0.6,0.29839576022344766,1.2142105,0.25792733
Rpl21,1.6382488,3.0193775,0.10136980208868386,0.9996770558131477,0.6,0.36181336389028146,1.4979734,0.35647514
Ddx5,1.6281534,1.6367074,0.10349235220367763,0.9996770558131477,0.8,0.8069899018835494,2.0712852,1.1725509
Nos1ap,1.5556833,1.6212468,0.1197834389050945,0.9996770558131477,0.8,0.7001360739096183,1.8536342,1.0115169
Rpl30,1.5428421,2.78344,0.12286908019232326,0.9996770558131477,0.6,0.3920360953949724,1.3922598,0.36409432
Hsp90ab1,1.5268394,1.7212669,0.12680096513054398,0.9996770558131477,0.8,0.8093532908400773,2.1141021,1.1658195
Fgf12,1.4879833,0.9923626,0.13675529258294114,0.9996770558131477,1.0,0.8552245219508702,2.8077345,2.1778703
Wasf1,1.4573644,1.5804482,0.14501580785639248,0.9996770558131477,0.8,0.7183628160137506,1.8874943,1.0555165
Calm1,1.430046,1.2471813,0.1527038278185086,0.9996770558131477,0.8,0.8371052066174891,2.0396276,1.339552
Usp29,1.406638,2.0041847,0.159534744190711,0.9996770558131477,0.6,0.5594786220726204,1.5140226,0.6332261
Gm37768,1.4029217,5.218972,0.16064021070195267,0.9996770558131477,0.4,0.05654229033875242,0.73261935,0.028598383
Cbln4,1.4011743,5.039881,0.16116194116961347,0.9996770558131477,0.4,0.055826111867077276,0.73261935,0.032317802
Ncdn,1.3679208,2.2667778,0.17133690056761164,0.9996770558131477,0.6,0.45631311322781637,1.2940876,0.43836346
Wnk1,1.3617636,1.6649077,0.173272490081941,0.9996770558131477,0.8,0.762228747403853,1.9211105,1.0431391
Trmt1l,1.3581581,2.7413838,0.17441350523975552,0.9996770558131477,0.6,0.45176537993267923,1.306641,0.3384896
Amotl1,1.3546082,4.256638,0.1755424387031237,0.9996770558131477,0.4,0.06918284036381867,0.63444704,0.045307677
Actg1,1.3535542,2.421313,0.1758786378945595,0.9996770558131477,0.6,0.4136646852395617,1.2796127,0.3950759
Sp4,1.3459827,2.49899,0.1783080919458202,0.9996770558131477,0.6,0.4481486786507198,1.2084688,0.34742972
