names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_LDT-PCG-CS Gata3 Lhx1 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Hivep3,3.7025826,2.4561958,0.0002134158106964979,0.9996770558131477,1.0,0.7822459356871733,2.7972283,1.3366171
Atp1b1,2.7966077,2.517257,0.005164220079523206,0.9996770558131477,1.0,0.8601303444818449,3.036543,1.4961231
Tmsb4x,2.7777205,2.7275865,0.005474168736093658,0.9996770558131477,1.0,0.721549810212705,2.6330833,1.0818504
Hsp90aa1,2.7403343,3.0499003,0.006137670612953492,0.9996770558131477,1.0,0.7956384731074984,2.886622,1.1133764
Ddx39b,2.711019,4.2727523,0.006707677810911674,0.9996770558131477,0.8,0.3952230895939268,1.9731131,0.27792573
Rpl9,2.690024,4.1319923,0.007144687837680275,0.9996770558131477,0.8,0.36081071402993625,2.1823695,0.3706779
Fam219a,2.626318,3.3435855,0.008631416839672596,0.9996770558131477,0.8,0.5597292845377068,2.0449667,0.5085419
Eif4g1,2.5783372,3.3315632,0.009927706639000122,0.9996770558131477,0.8,0.5469454988183056,1.9795647,0.48230615
Eef1a1,2.4848719,3.2841072,0.012959803834905638,0.9996770558131477,0.8,0.550848671488935,2.1823695,0.59201497
Atpif1,2.46837,3.8861384,0.013572996715432788,0.9996770558131477,0.8,0.4331805485927093,2.0506961,0.37713143
Grik1,2.4062169,3.2631638,0.016118689924822967,0.9996770558131477,0.8,0.4993912482990761,2.4727583,0.7564233
Cst3,2.3464768,3.2950144,0.01895184414543969,0.9996770558131477,0.8,0.586836639690611,2.5768657,0.80579585
Chchd2,2.3008814,3.0865011,0.021398339722002488,0.9996770558131477,0.8,0.45685024708157274,1.7612038,0.44939905
Ppia,2.268543,2.940396,0.02329613675731182,0.9996770558131477,0.8,0.532872591849889,2.0396276,0.6265946
Rassf5,2.069548,5.1410255,0.03849469964200915,0.9996770558131477,0.6,0.14262694263410441,1.306641,0.07356663
