names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_PGRN-PARN-MDRN Hoxb5 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Hexb,3.3576787,1.9691911,0.0007859996252132558,0.15085578521057275,0.8235294117647058,0.6792290606863939,1.8715602,0.87724954
Hsp90aa1,2.5172246,1.5900033,0.011828339756547793,0.43659082402757415,0.7647058823529411,0.7956939170308805,1.9675987,1.113174
Calm1,2.4585063,1.3052922,0.01395162827616999,0.4651119749140045,0.8235294117647058,0.8371068281149244,2.0743766,1.3392301
Plp1,2.2896483,1.770523,0.022041708747037585,0.5352660790839808,0.7647058823529411,0.71874328294046,2.2003932,1.2099097
Tubb5,2.2643738,3.2335565,0.023551132776258196,0.5507562556118866,0.47058823529411764,0.25711112703303,1.1829295,0.21566992
Actb,2.1707075,1.7026038,0.029953286189290867,0.5991841982196288,0.7058823529411765,0.683671276062191,1.6749004,0.847092
Camk1d,2.083736,0.45082328,0.03718418544916957,0.6594977313657996,0.8235294117647058,0.9540732249050655,2.6101139,2.3242345
Hspa8,2.002677,1.6774589,0.04521197559396764,0.7218335022043437,0.6470588235294118,0.671311886508562,1.6572261,0.84459734
Ttc3,1.9566863,0.11251985,0.050384362915553024,0.758446964448689,0.7647058823529411,0.8958228845740489,1.9636971,1.8970176
Dscam,1.9155248,0.6074621,0.055425599020115145,0.7878921031711117,0.7647058823529411,0.7567887081751092,1.8766259,1.5326805
Atp2b1,1.9123355,0.4674426,0.05583317842309057,0.791264506449601,0.8823529411764706,0.8990112488357097,2.3053725,2.0188112
Naaladl2,1.8962982,1.0475999,0.05792062777915371,0.7993463114668004,0.7058823529411765,0.8631152826538654,2.2769933,1.6547422
Cntnap2,1.76639,0.72627264,0.07733044066472507,0.8939536492352884,0.9411764705882353,0.9143082324281723,3.26219,2.7835293
Sgcz,1.7632157,0.94275117,0.0778641264483331,0.8955673299167973,0.8235294117647058,0.7479042774235151,2.2633471,1.7014661
Gnaq,1.7397765,0.49967858,0.08189826891621442,0.9132031212808261,0.7058823529411765,0.8269327219316472,1.6896007,1.4168758
Map1a,1.7253189,1.8690937,0.08447002392318811,0.9196849085449028,0.5294117647058824,0.41803396145303434,0.9502988,0.3606711
App,1.686053,0.047554787,0.09178558184702758,0.9500302712748964,0.7058823529411765,0.8995127892813642,1.8392138,1.811557
Ebf1,1.6332624,3.6211588,0.10241383314491212,0.9974427983184945,0.29411764705882354,0.08644407824030952,0.7846178,0.09243068
Lars2,1.5996382,1.0117024,0.10967887615185101,0.9992218729905892,0.7058823529411765,0.7973060113204844,1.7031189,1.1716696
Atp2a2,1.5712343,1.0067616,0.11612821471320366,0.9992218729905892,0.6470588235294118,0.7654223687038761,1.5286285,1.0287192
Chadl,1.5147879,3.118977,0.12982612573066007,0.9992218729905892,0.29411764705882354,0.09328652289173892,0.39614376,0.054441445
Nap1l3,1.491785,2.7442644,0.13575550372529138,0.9992218729905892,0.29411764705882354,0.09557927921473096,0.3569201,0.062048208
Rps16,1.4852257,2.0120296,0.13748404479541412,0.9992218729905892,0.47058823529411764,0.41860715053378234,1.1357175,0.42131427
Strbp,1.4814194,0.25703707,0.13849482721777956,0.9992218729905892,0.7058823529411765,0.8270760192018342,1.7724608,1.6268928
Hspa5,1.4593344,2.070978,0.1444731086854497,0.9992218729905892,0.47058823529411764,0.4328652289173891,1.1206504,0.40005445
Dnajb2,1.3838868,1.965401,0.16639311791510913,0.9992218729905892,0.35294117647058826,0.18904492369420361,0.45281065,0.1368507
Ywhah,1.3838266,1.5346037,0.16641154787113,0.9992218729905892,0.5882352941176471,0.577738769076449,1.2087159,0.5938113
Grik1,1.3360608,1.3267095,0.18152942088686774,0.9992218729905892,0.5294117647058824,0.499426810919252,1.3443543,0.75637275
Psmc3,1.3321341,2.4849727,0.18281610744661092,0.9992218729905892,0.35294117647058826,0.2222898903775883,0.6889915,0.16309327
Tubb2a,1.2998339,1.6302778,0.1936579079711076,0.9992218729905892,0.47058823529411764,0.37393422655298414,0.85417455,0.3617932
Slc7a4,1.2559344,3.2460358,0.20913975302753673,0.9992218729905892,0.29411764705882354,0.16274987461488857,0.664951,0.09489248
Sparcl1,1.2143518,1.2132517,0.22461342934712247,0.9992218729905892,0.5882352941176471,0.5910295908862936,1.2245725,0.71112245
Vmp1,1.1774629,1.2734665,0.23901077606852883,0.9992218729905892,0.5294117647058824,0.6001289675431684,1.1119962,0.6119634
Selplg,1.1486981,2.5948973,0.2506804854430157,0.9992218729905892,0.23529411764705882,0.08508275417353299,0.47495478,0.09588122
Kif3a,1.1478707,1.4885213,0.2510219580298697,0.9992218729905892,0.5294117647058824,0.5731890807480118,1.0813843,0.52738386
Sec62,1.1318183,1.1931258,0.25771082284576063,0.9992218729905892,0.5882352941176471,0.6175037615533424,1.1182411,0.64223117
Ctsb,1.1126668,1.6296824,0.26585154432375857,0.9992218729905892,0.47058823529411764,0.4454395643762986,0.9240593,0.39947253
Cldn11,1.1065137,1.6100296,0.26850424354903435,0.9992218729905892,0.35294117647058826,0.2239736333022856,0.5958505,0.23653175
Pdlim2,1.0941472,3.7786374,0.27389041937782865,0.9992218729905892,0.17647058823529413,0.02529196818800602,0.28637624,0.023874154
Itgb4,1.0821719,3.4961874,0.27917615675403284,0.9992218729905892,0.17647058823529413,0.025686035681020278,0.20037943,0.019471476
Tomm22,1.0768161,2.9798667,0.28156243453896634,0.9992218729905892,0.23529411764705882,0.10439206133123163,0.47106946,0.073501565
Ap2s1,1.0714602,1.7321652,0.28396251421322205,0.9992218729905892,0.35294117647058826,0.24224403525112848,0.51966375,0.1865792
Zdhhc9,1.069986,2.3117516,0.284625634379139,0.9992218729905892,0.35294117647058826,0.2486207637744501,0.6273112,0.1619055
Cdkn1b,1.0602221,2.4166472,0.2890435472540217,0.9992218729905892,0.23529411764705882,0.09855269757111126,0.30554286,0.06478594
Gjc3,1.0560548,2.0303307,0.2909431532557224,0.9992218729905892,0.29411764705882354,0.18646557283083756,0.7095009,0.22543797
Rpl13a,1.0267334,1.9479153,0.30454603039037553,0.9992218729905892,0.4117647058823529,0.4136992190298775,1.000173,0.36844417
Cbln2,1.0134492,3.9488475,0.31084565368695716,0.9992218729905892,0.17647058823529413,0.0391201547610518,0.33669123,0.025591863
Zfp467,1.0116137,2.2568047,0.3117227561106163,0.9992218729905892,0.23529411764705882,0.10317403453464212,0.2644883,0.061423194
Rrn3,1.0039862,2.0627036,0.3153852270616987,0.9992218729905892,0.35294117647058826,0.28193737909292826,0.5636239,0.16653712
