names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_PVHd-DMH Lhx6 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Gad2,3.2654052,4.994309,0.001093075722879215,0.9995550280021681,1.0,0.2234396820281448,2.23728,0.23311602
C130071C03Rik,3.1072047,2.5041425,0.0018886556309831513,0.9995550280021681,1.0,0.7770258173094138,2.8586898,1.3603699
Eif1,2.8695939,4.0104146,0.004109993495734731,0.9995550280021681,1.0,0.4099258781824041,2.2530413,0.4242606
Tnrc6c,2.8612838,1.9292742,0.004219291407468378,0.9995550280021681,1.0,0.7832563469044294,2.4225187,1.3076833
Sgip1,2.7607574,1.8125471,0.005766750596064707,0.9995550280021681,1.0,0.8147312636516633,2.6759324,1.5791113
Msra,2.7603853,2.093208,0.0057733235882931775,0.9995550280021681,1.0,0.7415404447309055,2.6077523,1.3725836
Slit2,2.7494707,2.7699995,0.0059691618996562225,0.9995550280021681,1.0,0.5737458373616929,2.3282976,0.8576576
Snrpn,2.573906,2.4979498,0.010055763702274846,0.9995550280021681,1.0,0.7014358864181617,2.23728,0.9087974
Grik2,2.5641384,1.4474039,0.010343227497077584,0.9995550280021681,1.0,0.9168904644251084,3.6292052,2.6707506
Klhl1,2.389628,4.7715626,0.01686544773519847,0.9995550280021681,0.75,0.17885916854656783,1.6469012,0.14274335
Naaladl2,2.3834884,1.5983462,0.0171494220454918,0.9995550280021681,1.0,0.8629999641923587,2.6259189,1.6549819
Mgat4c,2.3635817,2.2361407,0.018099239619123384,0.9995550280021681,1.0,0.7355963762666953,2.8861647,1.5243711
Kcnh7,2.3467135,1.9382893,0.018939811566885182,0.9995550280021681,1.0,0.7970422888244352,3.0807056,1.8594798
Zfpm2,2.3230858,2.231591,0.020174546233411594,0.9995550280021681,1.0,0.6737565796540982,2.5599356,1.2644736
Pcdh15,2.303644,2.2943244,0.021242634801312346,0.9995550280021681,1.0,0.7429011351022308,3.036224,1.6177739
Gm26871,2.23828,1.5677351,0.025202795068893717,0.9995550280021681,1.0,0.7997994772084362,2.8969152,1.9131835
Kcnq3,2.229102,1.6773213,0.025807127949628358,0.9995550280021681,1.0,0.8127618433773768,2.7737358,1.7397056
Sox5,2.180296,2.0550375,0.02923552903398136,0.9995550280021681,1.0,0.6204031940416085,2.1752968,1.0571519
Ankrd17,2.1702805,1.9108374,0.02998560000770853,0.9995550280021681,1.0,0.8076771583055824,2.4528916,1.3414958
Dpp10,2.1539395,2.1576033,0.03124491213178396,0.9995550280021681,1.0,0.8858452393740824,3.9600537,2.5284142
Gm11867,2.126777,3.61149,0.033438620849229696,0.9995550280021681,0.75,0.3483725427006123,1.663827,0.30019772
