names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_DG Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Rfx3,78.98116,2.660174,0.0,0.0,0.9358216970998926,0.7741562357995622,2.910259,1.3208525
Ppfia2,78.662315,1.8782169,0.0,0.0,0.9449516648764769,0.8312058495476515,3.0852313,1.8987807
Glis3,78.06803,4.0076747,0.0,0.0,0.89312567132116,0.2493493617548643,1.8117671,0.27640367
Dgkh,77.11134,2.6302361,0.0,0.0,0.9218582169709989,0.6355599619944644,2.199625,0.8310073
Sema5a,76.007965,3.3392794,0.0,0.0,0.9172932330827067,0.36179617466022224,1.8508309,0.42533046
Ahcyl2,73.84422,2.3799176,0.0,0.0,0.9223952738990333,0.7202048994092618,2.3589783,1.0439941
Ppp3ca,72.50933,1.3836149,0.0,0.0,0.9803974221267454,0.9342752096501012,3.366861,2.461836
Trpm3,71.67815,2.9783833,0.0,0.0,0.9334049409237379,0.6492750030982773,2.9343073,1.1816202
Ccdc85a,71.028336,2.195409,0.0,0.0,0.9156820622986036,0.6595199735613666,2.1126726,0.9506305
Stxbp6,70.97558,3.029081,0.0,0.0,0.897422126745435,0.398810261494609,1.7887769,0.47644502
Prox1,70.14416,3.2898319,0.0,0.0,0.8506981740064447,0.2256372123765853,1.2315689,0.22163811
Synpr,68.91086,2.7375448,0.0,0.0,0.9291084854994629,0.48762754575122896,2.047414,0.699015
Zfpm2,68.71799,2.4672523,0.0,0.0,0.9385069817400644,0.6330813401082331,2.4643261,1.080104
Btbd9,67.68475,1.8122557,0.0,0.0,0.9183673469387755,0.7346222167141736,2.0755167,1.0933607
Zbtb20,67.63847,2.1777756,0.0,0.0,0.9640171858216972,0.853843929441897,3.5350425,2.123349
Trpc6,67.49708,3.348065,0.0,0.0,0.8206229860365198,0.2509604659809146,1.3025029,0.23352216
Plxna4,67.434425,1.8740401,0.0,0.0,0.9285714285714286,0.7186764159127526,2.299664,1.2375997
Lrrtm4,67.43297,1.9363633,0.0,0.0,0.9795918367346939,0.9113892675672326,4.165699,2.8664603
Cdh9,67.10266,2.6235986,0.0,0.0,0.907626208378088,0.47886974841987856,1.8649772,0.6340718
Ryr2,67.05526,1.5996894,0.0,0.0,0.9446831364124597,0.7832445160490767,2.7535028,1.766341
Adarb2,66.84812,2.8996656,0.0,0.0,0.9274973147153598,0.529103151980832,2.444562,0.8798092
Slc4a4,66.63411,2.7277367,0.0,0.0,0.9022556390977443,0.4470607675465774,1.8652815,0.60098517
Prkce,65.71826,1.4016463,0.0,0.0,0.9516648764769066,0.8185235675631016,2.5773785,1.7233903
Jph1,65.31608,2.2626574,0.0,0.0,0.8810418904403867,0.5283182550501921,1.4773699,0.53335595
Il1rap,65.29666,2.204167,0.0,0.0,0.9001074113856069,0.6011484281406205,1.852391,0.77308387
Pip5k1b,64.9893,2.2530494,0.0,0.0,0.8915145005370569,0.5476101953980254,1.6944432,0.65865034
C1ql3,64.266396,2.4431422,0.0,0.0,0.8971535982814178,0.4494567687032677,1.4402694,0.4652669
Dab1,63.445747,1.4792495,0.0,0.0,0.9530075187969925,0.8661957285082827,3.4412532,2.4715915
Tafa2,63.018005,2.154698,0.0,0.0,0.9452201933404941,0.6956665427355724,2.670038,1.3908961
Sphkap,62.147144,1.9390963,0.0,0.0,0.9132653061224489,0.6245300946007353,1.88425,0.8983353
Epha7,61.61498,1.9871836,0.0,0.0,0.9250805585392051,0.6760441194695749,2.2367113,1.1343926
Tmem108,61.581352,2.0082092,0.0,0.0,0.9073576799140709,0.5947866319659603,1.8437748,0.8426622
Thsd7a,61.04685,2.2294912,0.0,0.0,0.9027926960257787,0.529268393439914,1.7662929,0.7100037
Chst9,60.905552,2.9227223,0.0,0.0,0.7776584317937701,0.26587350766307266,1.1384772,0.2467412
Grm1,60.790386,1.8192185,0.0,0.0,0.9229323308270677,0.6524559011856075,2.0512192,1.0717661
Gm20754,60.75101,1.8761077,0.0,0.0,0.9358216970998926,0.7158260007435866,2.566484,1.4526572
Auts2,60.654522,1.141384,0.0,0.0,0.9586466165413534,0.8972611228157145,3.336,2.5868692
Shisa9,60.459843,1.977346,0.0,0.0,0.9124597207303974,0.6258107159086215,2.0068882,0.969078
Prkd1,60.417847,2.2986798,0.0,0.0,0.8630504833512352,0.45243111496674515,1.424568,0.4955902
Maml2,60.293747,2.3857665,0.0,0.0,0.8993018259935553,0.4870078902796712,1.8072721,0.6803972
Tiam1,60.23133,1.9107025,0.0,0.0,0.8850698174006445,0.5601272359234932,1.4455315,0.6220891
Itga8,59.95959,2.0927036,0.0,0.0,0.8780880773361976,0.492543479158921,1.4849434,0.58809227
Kcnj6,59.20659,1.799998,0.0,0.0,0.8899033297529538,0.5930515966455984,1.5418103,0.72017926
Lyst,58.696365,1.8110179,0.0,0.0,0.8727175080558539,0.5968934605692569,1.390948,0.62072927
Galnt17,58.33193,1.7850873,0.0,0.0,0.9258861439312567,0.6869087454042219,2.192714,1.1967962
Cracdl,58.142834,1.8434603,0.0,0.0,0.8823845327604726,0.5492212996240757,1.394352,0.6124675
Erc2,57.841465,1.3116158,0.0,0.0,0.9535445757250268,0.8310406080885694,3.0305705,2.1905541
Dock10,57.631,2.1993845,0.0,0.0,0.9213211600429646,0.5419093650596934,2.0299227,0.89197975
Vav3,57.183304,2.3564613,0.0,0.0,0.7875939849624061,0.3380427149171727,0.9861166,0.2838316
Pitpnm2,57.0378,2.0334473,0.0,0.0,0.8168635875402793,0.4592060147891106,1.0358686,0.36739862
Plekhg5,57.011124,1.9994514,0.0,0.0,0.825187969924812,0.452100632048581,1.0455278,0.37939456
Slit3,56.911575,1.7560153,0.0,0.0,0.9334049409237379,0.6949642665344735,2.5572894,1.5092652
Grin2a,56.50434,1.5032941,0.0,0.0,0.9589151450053706,0.8165406700541166,3.0708613,2.1105316
Cacna1c,56.499317,1.4218816,0.0,0.0,0.9283029001074113,0.76209360928657,2.3713217,1.53139
Nr3c2,56.41396,1.7967904,0.0,0.0,0.9355531686358755,0.7503201553269715,2.5502172,1.4813944
Tanc1,56.22853,1.918369,0.0,0.0,0.8711063372717508,0.49547651505762796,1.3546828,0.5657278
Camk2b,56.065895,1.6300217,0.0,0.0,0.8990332975295381,0.644565621514438,1.532227,0.77578694
Htr4,55.345093,2.1988518,0.0,0.0,0.797798066595059,0.3650183831123229,1.0461822,0.33807296
Adcy1,55.340736,1.7928674,0.0,0.0,0.8705692803437164,0.5697525509150245,1.3944342,0.6287304
Mctp1,55.11213,1.61624,0.0,0.0,0.923469387755102,0.7154128970958814,2.2757185,1.3478628
