names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_DG Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Dok7,-2.4842422,-0.7082027,0.012982743554446985,0.04975699890286557,0.03759398496240601,0.06308092700458545,0.018506192,0.030059952
Nudt4,-2.48759,-0.42011723,0.012861190134135312,0.049319277708607945,0.2005907626208378,0.2254719709175032,0.11947446,0.15683497
Krcc1,-2.4903548,-0.33903578,0.01276156093861459,0.048944211022063096,0.17508055853920515,0.20184244226876524,0.10715757,0.13372083
Cd55,-2.4906418,-0.802467,0.012751255737062218,0.048918280295423014,0.03329752953813104,0.058784649068451274,0.01573145,0.027278388
Endod1,-2.491011,-0.4779737,0.012738022604844154,0.048874863257484275,0.16031149301825995,0.18569008964349154,0.09595413,0.1312611
Phka1,-2.4936643,-0.51163805,0.012643203401573032,0.048545709545622664,0.23415682062298604,0.2551328128227372,0.15544675,0.2149245
Gm45321,-2.495939,-1.1901184,0.012562416606641692,0.048276907068143915,0.02228786251342642,0.04771347130995167,0.011650714,0.026387827
Mycbp,-2.4961421,-0.48236918,0.012555228533511766,0.04826308879763392,0.06337271750805586,0.08935431899863676,0.032599196,0.04525321
Tcof1,-2.4964423,-0.47162497,0.012544607678207075,0.04822916129824354,0.07626208378088077,0.10224315280703929,0.040391803,0.055582948
Wnt5b,-2.5015342,-0.71160644,0.01236564748480925,0.04758879231120375,0.05477980665950591,0.08030734911389267,0.029912373,0.048528433
Tjap1,-2.5020638,-0.26819766,0.012347172165272105,0.04752449736153294,0.15010741138560688,0.17866732763250298,0.0822743,0.09828144
Zpbp,-2.5055761,-0.45662987,0.012225205622793023,0.047095523309598354,0.05988184747583244,0.08580162762837196,0.030843418,0.042088617
Sat1,-2.5084393,-0.8824947,0.012126581316271272,0.046749101860575196,0.09210526315789473,0.11637129755855745,0.051372577,0.092746295
1810034E14Rik,-2.512204,-0.52562964,0.011997973021972181,0.046299803978226695,0.05263157894736842,0.07861362415830132,0.025849553,0.037003957
Trib1,-2.5132747,-1.6622224,0.011961614483566765,0.04616612771810385,0.020676691729323307,0.04606105671913083,0.008458298,0.026529346
Arhgef40,-2.5184736,-1.1534896,0.011786469632819105,0.04552284591545916,0.05531686358754028,0.08010079729004008,0.027302258,0.05974981
Dnah14,-2.5211458,-1.5427301,0.011697339843173478,0.04520459105221794,0.02121374865735768,0.04663940182591812,0.009800166,0.028288774
