cell_type,cell_count,percentage
Unassigned,14829,52.91
CA3-Pyr,6383,22.78
GABA,2966,10.58
MOL,1657,5.91
MiCajal-Retziusoglia,875,3.12
OPC,730,2.6
NFOL,148,0.53
GC-juv,145,0.52
Endothelial,127,0.45
Cajal-Retzius,77,0.27
MOL|OPC,54,0.19
Ependymal,35,0.12
