cell_type,cell_count,percentage
Unassigned,9686,34.56
DG,3455,12.33
Oligo,3221,11.49
CA1-ProS,1910,6.82
Micro-PVM,1060,3.78
Astro,955,3.41
CA3,793,2.83
L2/3 IT PPP,612,2.18
Pvalb,481,1.72
Sst,446,1.59
L4/5 IT CTX,421,1.5
SUB-ProS,387,1.38
L3 IT ENT,350,1.25
L6b/CT ENT,350,1.25
L2/3 IT CTX,344,1.23
Lamp5,287,1.02
DG|Oligo,279,1.0
Sncg,271,0.97
Vip,228,0.81
NP SUB,201,0.72
L2 IT ENTl,199,0.71
L2 IT ENTm,182,0.65
L6 CT CTX,168,0.6
L6b CTX,159,0.57
CT SUB,158,0.56
VLMC,145,0.52
CA1-ProS|Oligo,139,0.5
Endo,127,0.45
L2/3 IT ENTl,114,0.41
Car3,107,0.38
L5 PT CTX,86,0.31
DG|Lamp5,85,0.3
L6 IT CTX,85,0.3
CA3|Oligo,76,0.27
Astro|Oligo,74,0.26
L6 IT ENTl,67,0.24
DG|Vip,59,0.21
L2/3 IT RHP,59,0.21
L5/6 NP CTX,57,0.2
Oligo|Vip,45,0.16
Oligo|Sst,42,0.15
L3 IT ENT|Oligo,30,0.11
Oligo|SUB-ProS,17,0.06
L5 PPP,9,0.03
