DG_majority_voting,Astro,Astro|Oligo,CA1-ProS,CA1-ProS|Oligo,CA3,CA3|Oligo,CT SUB,Car3,DG,DG|Lamp5,DG|Oligo,DG|Vip,Endo,L2 IT ENTl,L2 IT ENTm,L2/3 IT CTX,L2/3 IT ENTl,L2/3 IT PPP,L2/3 IT RHP,L3 IT ENT,L3 IT ENT|Oligo,L4/5 IT CTX,L5 PPP,L5 PT CTX,L5/6 NP CTX,L6 CT CTX,L6 IT CTX,L6 IT ENTl,L6b CTX,L6b/CT ENT,Lamp5,Micro-PVM,NP SUB,Oligo,Oligo|SUB-ProS,Oligo|Sst,Oligo|Vip,Pvalb,SUB-ProS,Sncg,Sst,Unassigned,VLMC,Vip
CA3-Pyr,0,0,1910,139,793,76,0,0,0,0,0,0,0,0,182,0,0,249,59,0,0,0,9,86,0,0,0,0,0,188,0,0,0,0,0,0,0,0,387,0,0,2305,0,0
Cajal-Retzius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0
Endothelial,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ependymal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
GABA,0,0,0,0,0,0,0,0,118,85,0,0,0,22,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,287,0,0,0,0,42,45,481,0,271,446,906,0,228
GC-juv,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOL,0,45,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1461,0,0,0,0,0,0,0,0,0,0
MOL|OPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0
MiCajal-Retziusoglia,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856,0,0,0,0,0,0,0,0,0,0,0,0
NFOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0
OPC,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,0,0,0,0,0,0,0,0,0,0
Unassigned,936,0,0,0,0,0,158,107,3192,0,128,59,0,177,0,344,114,363,0,350,30,386,0,0,57,168,85,67,159,162,0,204,201,857,17,0,0,0,0,0,0,6363,145,0
