names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_PRT Tcf7l2 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Stox2,-4.059318,-2.7304802,4.921624097491418e-05,0.04897927388873866,0.11764705882352941,0.7482983449165294,0.25316113,1.0688393
Csnk1g3,-4.0595737,-3.8673902,4.916236790142473e-05,0.04897927388873866,0.058823529411764705,0.6329798667335387,0.060898326,0.6504607
Gsk3b,-4.061785,-2.4439223,4.8698850236843536e-05,0.04897927388873866,0.17647058823529413,0.7605502615175181,0.27822772,1.0099498
Malat1,-4.0733695,-1.1671733,4.633782210024317e-05,0.04897927388873866,1.0,0.9937307444293186,4.186436,4.9869947
Ptprr,-4.105113,-29.770388,4.0411708022911774e-05,0.04721141715546258,0.0,0.575016120942896,0.0,0.6501139
Ndufs4,-4.1363153,-29.391754,3.529274056371364e-05,0.043105269952135705,0.0,0.5793866876835996,0.0,0.5331951
Atrn,-4.1542783,-3.2397711,3.263160626123974e-05,0.041752917154262464,0.11764705882352941,0.6910869097943684,0.12343766,0.8069543
Atp6v1a,-4.1862774,-4.7616544,2.835666154048115e-05,0.03809717477963642,0.058823529411764705,0.622017625564233,0.033265136,0.6510518
Kif1a,-4.205158,-4.1284404,2.6089959329968607e-05,0.036896695115592446,0.058823529411764705,0.6454825535573547,0.05438407,0.6818351
Pbx1,-4.2324185,-2.6226027,2.3119158787968522e-05,0.03451176647959523,0.29411764705882354,0.8138210217095364,0.5149526,1.6386397
Mpped2,-4.275701,-29.866096,1.905365703117237e-05,0.030115986142800096,0.0,0.5989109407465788,0.0,0.6823732
Iqsec1,-4.2770553,-3.4731743,1.8938179792645213e-05,0.030115986142800096,0.058823529411764705,0.6936662606577345,0.12422625,0.9037832
Oxr1,-4.284352,-2.5375123,1.832727325509775e-05,0.030115986142800096,0.4117647058823529,0.8562370136848892,0.77149206,2.0479753
Arhgap21,-4.385826,-3.2961073,1.1554641422499438e-05,0.022176658215897132,0.058823529411764705,0.7137637028014616,0.14713466,0.9388253
Ddx17,-4.410845,-3.118671,1.0296806302473005e-05,0.021282706565188433,0.058823529411764705,0.7165938238876549,0.14391515,0.8520545
St7,-4.4110856,-3.7920256,1.0285364773716524e-05,0.021282706565188433,0.11764705882352941,0.6820233574550405,0.09416346,0.8619382
Zfp207,-4.4562488,-4.057707,8.340622774092344e-06,0.020373866721805575,0.058823529411764705,0.6909077882066347,0.06989147,0.79097
Top2b,-4.4700747,-29.696203,7.819232593972454e-06,0.020373866721805575,0.0,0.6261374220821093,0.0,0.62586254
Camk2a,-4.496914,-3.103169,6.894694181458502e-06,0.020373866721805575,0.23529411764705882,0.7879558644407824,0.33927616,1.4976108
Ttc14,-4.5314107,-3.215543,5.859116126212933e-06,0.01967930628891769,0.11764705882352941,0.7594397076735688,0.19829921,1.1109895
Csnk1a1,-4.5951986,-3.2804744,4.323372161332127e-06,0.016595572853570606,0.11764705882352941,0.7686107329655371,0.17909165,1.066693
Dapk1,-4.6273637,-30.20953,3.7035014938766694e-06,0.016585514190077685,0.0,0.648169377373361,0.0,0.8071833
Sh3gl2,-4.67537,-4.019373,2.9342395416851497e-06,0.015768603297015994,0.11764705882352941,0.7136920541663682,0.115282394,1.0924205
Tspan5,-4.731275,-4.0137353,2.2311402524660418e-06,0.014987684645940637,0.11764705882352941,0.7387690764490936,0.12343766,1.1385345
Nrgn,-4.7381353,-4.312171,2.1569385904533575e-06,0.014987684645940637,0.058823529411764705,0.7357240094576198,0.087513134,1.0356039
Nktr,-4.78891,-3.7088675,1.6768966700238806e-06,0.014987684645940637,0.11764705882352941,0.7448233861144945,0.13078979,1.0392538
Otud7a,-4.999215,-3.9985354,5.756410017303887e-07,0.014987684645940637,0.11764705882352941,0.770043705667407,0.19111168,1.4738703
