names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OB Meis2 Thsd7b Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Hsp90aa1,3.7269647,1.5631045,0.00019379961320193655,0.0030417030413177775,0.7560975609756098,0.7957332377196128,1.9506733,1.1124635
Hsp90ab1,3.2920465,1.4276272,0.0009946117014111113,0.01111697854281055,0.7317073170731707,0.8094657583363213,1.9362597,1.1648569
Ppia,3.2400222,2.18488,0.0011952038411647695,0.01294442854175629,0.5853658536585366,0.5328433130154178,1.5996644,0.6254173
Synpr,2.9785635,1.5384897,0.002896030371956225,0.026450148230613108,0.5609756097560976,0.5464682681964862,1.6257873,0.87769943
Rtn1,2.9403787,0.7422702,0.003278112689760254,0.029370752908922312,0.7560975609756098,0.9054858372176408,2.3009098,1.8516159
mt-Co3,2.937035,1.9480498,0.003313665248165881,0.029590623203129683,0.6097560975609756,0.608067407673001,1.7171947,0.78120583
Atp6v0c,2.9297373,1.6238376,0.003392485342162746,0.030089206668444286,0.6341463414634146,0.6818931516672643,1.6751845,0.87885225
mt-Nd4,2.8569248,2.1741674,0.004277671975876648,0.03637374873158403,0.5121951219512195,0.4265328074578702,1.3096136,0.46955913
Cst3,2.7663474,1.6841637,0.005668808914041303,0.045577766463282404,0.6097560975609756,0.5868411617067049,1.6041701,0.80494004
Ckb,2.7448225,1.9511404,0.006054362071383773,0.04798840969264955,0.5609756097560976,0.5501613481534601,1.4029528,0.58400774
