names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OB Meis2 Thsd7b Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Epdr1,-2.7288508,-1.3000398,0.0063555433942065346,0.049948362387344125,0.04878048780487805,0.3063822158479742,0.08526434,0.19816333
Cdk11b,-2.7291708,-0.3550752,0.006349382505421822,0.04991454298440151,0.07317073170731707,0.34291860882036573,0.18137527,0.22662432
Swi5,-2.7294228,-27.40866,0.0063445322578511865,0.04989101017514234,0.0,0.2462889924704195,0.0,0.1639606
Nfyc,-2.7300818,-0.4814653,0.006331862755582973,0.04980595791642696,0.1951219512195122,0.5203657224811761,0.33501515,0.44187307
Sh3gl2,-2.7305276,-0.939979,0.006323305126128909,0.049753209001195835,0.34146341463414637,0.7138759411975618,0.70940155,1.0923879
Zmiz2,-2.7308085,-2.3771403,0.006317915450135592,0.04972536266700157,0.024390243902439025,0.27690928648261026,0.033122547,0.16122988
9530052E02Rik,-2.730983,-3.179884,0.006314572213983664,0.04971361130669237,0.024390243902439025,0.2747221226245966,0.019490266,0.16412337
Zfp933,-2.73108,-0.68654454,0.006312715548676307,0.04971356002137525,0.04878048780487805,0.3101470060953747,0.11849865,0.18438116
Metap1,-2.7311575,-3.167325,0.006311230570218434,0.04971356002137525,0.024390243902439025,0.2749013983506633,0.019490266,0.16281116
Nup210,-2.7315547,-2.836605,0.006303624989231694,0.04967108605884329,0.024390243902439025,0.2761921835783435,0.02334847,0.15593429
Gpr162,-2.7320685,-1.5612545,0.0062938056095768495,0.04960825952752418,0.07317073170731707,0.3378988884904984,0.07999345,0.21975231
Gria3,-2.7323787,-1.323603,0.006287883595544095,0.04957612447543129,0.43902439024390244,0.8053782717820007,1.1120745,1.8095286
Kctd1,-2.7327566,-0.65910053,0.006280672922655844,0.04953380728845393,0.1951219512195122,0.5104338472570814,0.32696915,0.4766881
Silc1,-2.733561,-1.4230436,0.0062653519026141715,0.04942748256701198,0.07317073170731707,0.34083901039799214,0.0914604,0.228582
Slc4a1ap,-2.7336483,-1.35523,0.006263692610675117,0.04942748256701198,0.04878048780487805,0.30910720688418786,0.07920814,0.1913524
Dner,-2.7336774,-0.6221215,0.006263139601275881,0.04942748256701198,0.21951219512195122,0.5452491932592327,0.44812766,0.62604266
Zfp654,-2.7337065,-0.51804584,0.006262586635828503,0.04942748256701198,0.1951219512195122,0.518035138042309,0.3180109,0.42926943
Ssr1,-2.7338905,-0.87718254,0.006259085541792955,0.04942748256701198,0.0975609756097561,0.3724632484761563,0.15424836,0.26722905
B3galnt2,-2.7342782,-0.61341274,0.006251720576249913,0.04939245277384157,0.07317073170731707,0.3419505198996056,0.14552279,0.21482545
Daglb,-2.735761,-1.4189994,0.00622362152132438,0.04918491478764297,0.024390243902439025,0.2779849408390104,0.06902943,0.1748814
Bicd1,-2.7365944,-0.8878813,0.006207877247948128,0.04907492252202594,0.3902439024390244,0.764897812836142,0.79830223,1.1819819
Dpm1,-2.737709,-0.30604583,0.00618687989940966,0.04892332633818056,0.17073170731707318,0.4931516672642524,0.32238388,0.38547468
Tyw1,-2.7380385,-2.9013414,0.0061806842476418156,0.048888721146345474,0.024390243902439025,0.2765148798852635,0.02334847,0.16253881
Zmym2,-2.7386587,-0.68128914,0.006169036998107203,0.04881096117171394,0.3170731707317073,0.6955898171387594,0.5864049,0.8236827
Msl1,-2.739657,-0.9394972,0.0061503337012722824,0.04867730973584278,0.0975609756097561,0.37400501972032985,0.14253277,0.2575823
Usp19,-2.739754,-27.255089,0.006148520569504247,0.04867729749634034,0.0,0.2472212262459663,0.0,0.14857242
Diras2,-2.7398412,-1.3370564,0.00614688916248531,0.04867729749634034,0.04878048780487805,0.3066690570096809,0.085880086,0.20420699
Ankrd45,-2.7405584,-1.0298947,0.006133490143804372,0.04858693401062013,0.04878048780487805,0.3103621369666547,0.09926185,0.19316345
Gk,-2.7427776,-1.0363586,0.006092192099408151,0.048274019967884704,0.0975609756097561,0.37418429544639653,0.13606234,0.26155332
Usp50,-2.7449195,-27.264307,0.006052574442583395,0.04798839636241246,0.0,0.2476873431337397,0.0,0.14945702
Esf1,-2.7455592,-0.6159168,0.006040788012689407,0.047909083205715575,0.0975609756097561,0.3744352814628899,0.18112005,0.26566467
Atg12,-2.7456949,-1.4219799,0.006038290520656926,0.04790341490701258,0.024390243902439025,0.27888131946934386,0.06638035,0.1688179
Hmces,-2.7457142,-27.154045,0.006037933812026159,0.04790341490701258,0.0,0.24775905342416638,0.0,0.13918945
Oscp1,-2.7458692,-1.3555694,0.006035080826319579,0.04790341490701258,0.024390243902439025,0.2789171746145572,0.06634801,0.1617295
