names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L6b EPd Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Pde1a,7.196338,2.864697,6.185119759643257e-13,1.661941679416143e-08,1.0,0.7630240057327123,3.429406,1.6290944
Cdh18,6.517881,4.552362,7.130761276646509e-11,6.386785183449723e-07,0.9047619047619048,0.5835901110713007,3.4828415,0.8521646
Etl4,6.470556,3.0496767,9.76431351783026e-11,6.559177605602477e-07,0.9523809523809523,0.7124686492296668,3.4483638,1.5427246
Vwc2l,6.089721,3.5601218,1.1310735017549005e-09,6.078388998430835e-06,0.9047619047619048,0.31021139376567536,1.8049049,0.35811758
Vxn,5.93735,2.8595033,2.8966628461143227e-09,1.2289320789624014e-05,0.9047619047619048,0.3828735220351129,1.2950054,0.311353
Lypd6b,5.920916,4.222434,3.201535002879349e-09,1.2289320789624014e-05,0.8095238095238095,0.09247581512002867,0.82252437,0.066132225
Pbx1,5.893964,1.6973531,3.770395500931094e-09,1.2663815888752312e-05,0.9523809523809523,0.8134002149767109,2.6692002,1.6371804
Dpp10,5.816113,2.9453723,6.023173916666887e-09,1.798252034898214e-05,0.9047619047619048,0.8858473665352921,4.4966693,2.5271392
Pou6f2,5.7103357,3.774249,1.1275366627687424e-08,2.99986333938987e-05,0.8095238095238095,0.17753493371551415,1.1049548,0.13764518
Sulf1,5.6855226,3.7061596,1.3041344278141234e-08,2.99986333938987e-05,0.8095238095238095,0.16005016123253316,1.041112,0.13137336
Atp10a,5.6809196,3.5784702,1.339723113981334e-08,2.99986333938987e-05,0.8095238095238095,0.16112504478681478,0.93786913,0.12233152
Mmp16,5.655809,2.3809965,1.551140906635259e-08,3.2060889354838005e-05,0.8571428571428571,0.7886778932282336,3.062324,1.5916692
Celf4,5.545239,1.5807875,2.9355263565300946e-08,5.6164547174030396e-05,0.9047619047619048,0.7923324973127911,2.5407543,1.590808
Satb2,5.5337057,2.6990635,3.135348744363438e-08,5.6164547174030396e-05,0.9047619047619048,0.42027946972411323,1.636714,0.49302623
Focad,5.485934,1.852256,4.112906880809686e-08,6.500812228668016e-05,0.9047619047619048,0.6954854890720172,1.9722993,0.99827737
Grik3,5.472167,2.8071904,4.4456598504358036e-08,6.636382232289447e-05,0.8571428571428571,0.3616266571121462,1.3904077,0.3583571
6530403H02Rik,5.3904037,2.792859,7.029953587777624e-08,9.941834363346567e-05,0.8571428571428571,0.46198495163024006,1.9831942,0.6440437
Gm26871,5.362802,1.6628578,8.194080124872528e-08,0.00011008746647766241,0.8571428571428571,0.7997850232891437,2.9586031,1.912538
Rai14,5.322638,3.526926,1.0227316419579838e-07,0.00013086094866386204,0.7619047619047619,0.1774632748118954,0.990105,0.13692823
Frmpd4,5.2412944,1.883034,1.5945392495584387e-07,0.00019310837564467218,0.8571428571428571,0.8335721963453959,3.3491733,2.134159
Srcin1,5.2211785,1.9008031,1.777878732364049e-07,0.00019310837564467218,0.9047619047619048,0.6045145109279828,1.42082,0.61031574
A830018L16Rik,5.2200823,2.0028179,1.788437214030731e-07,0.00019310837564467218,0.8571428571428571,0.6893944822644213,2.3167975,1.1882471
Kcnmb4,5.219229,2.5003045,1.7966912508808353e-07,0.00019310837564467218,0.8571428571428571,0.35460408455750625,0.9553953,0.2489897
Dlc1,5.194795,2.8732576,2.049452903686286e-07,0.00021180307508480964,0.8095238095238095,0.5481547832318165,2.1489446,0.7099702
Nrg3,5.1756134,0.9465221,2.2716338960197704e-07,0.00022606963994833789,0.9523809523809523,0.9477964887137227,4.2542624,3.6112711
Mdga2,5.120572,1.0664879,3.046098466754582e-07,0.0002783465944113727,0.9047619047619048,0.9128627731995701,3.4553554,2.750084
Galnt10,5.1167955,3.090071,3.107702952118043e-07,0.0002783465944113727,0.7619047619047619,0.2064851307774991,0.81616384,0.13817783
Slc8a1,5.1024194,1.3515979,3.353388367313144e-07,0.00028173494918827053,0.9047619047619048,0.8769974919383734,3.126947,2.2559295
Ccn2,5.0998335,5.266527,3.399520278702426e-07,0.00028173494918827053,0.6666666666666666,0.027194553923324972,0.55938196,0.0192862
Nav3,5.09649,1.1514641,3.4600868340948744e-07,0.00028173494918827053,0.8571428571428571,0.8981726979577213,3.457682,2.6973069
Nrxn1,5.0869737,1.1915885,3.6382241210177784e-07,0.00028752671215219916,0.9523809523809523,0.9668219276245074,4.433039,3.622227
Tle4,5.07674,2.4084694,3.839663066569705e-07,0.00029477641885350853,0.8571428571428571,0.5831959871013973,1.8455137,0.6952401
Tmem163,5.043669,3.3477948,4.566890448017355e-07,0.0003339396177173377,0.7619047619047619,0.2359011107130061,1.2524999,0.21951094
Nhs,5.042356,2.709978,4.5983497787649774e-07,0.0003339396177173377,0.8095238095238095,0.2697241132210677,1.0777335,0.25943017
Ipcef1,5.024704,2.6906836,5.04210209800496e-07,0.000356529693087877,0.8095238095238095,0.27162307416696524,0.9056343,0.20557445
Pls3,4.998564,2.1837876,5.775884838784936e-07,0.000387995064045378,0.8571428571428571,0.5171623074166966,1.3685838,0.4976413
9130024F11Rik,4.978299,2.9301264,6.414544985115806e-07,0.0004199263918871786,0.7619047619047619,0.2355786456467216,0.8816911,0.17029044
Fut9,4.9728436,1.6643448,6.59778198386117e-07,0.0004199263918871786,0.8571428571428571,0.7505911859548549,2.1348362,1.2096077
B3galt2,4.9692836,2.2157042,6.720072516244392e-07,0.0004199263918871786,0.9047619047619048,0.3326764600501612,0.81871307,0.24128704
Agbl4,4.936768,1.6612601,7.942790615349123e-07,0.000481429180598994,0.8571428571428571,0.7530275886778932,2.613097,1.6087717
Gm49678,4.9295526,2.3282993,8.241809567381363e-07,0.000481429180598994,0.8095238095238095,0.555965603726263,2.138868,0.91283035
Atp2b4,4.922094,2.2224567,8.56231249118031e-07,0.0004895092268893935,0.8571428571428571,0.4466857757076317,1.2703282,0.43759653
Dip2a,4.886329,2.126541,1.0273331183871355e-06,0.0005750925185637986,0.8571428571428571,0.44428520243640274,1.0948535,0.3753047
Pdgfc,4.8674455,2.7852197,1.130501087644355e-06,0.0006147272904901656,0.7619047619047619,0.36341812970261556,1.2501246,0.30845967
Brinp2,4.865117,2.036165,1.143891497004402e-06,0.0006147272904901656,0.8095238095238095,0.5457183805087782,1.4854496,0.6060029
Oprm1,4.8386927,3.3277428,1.3069582981652293e-06,0.0006626031975792398,0.7142857142857143,0.1773557864564672,0.80825025,0.11680255
Caln1,4.8154364,1.5694921,1.4687851831627872e-06,0.0007308566272515572,0.8571428571428571,0.7030096739519885,2.056464,1.1930885
Npas2,4.784667,2.1489415,1.7127104698298211e-06,0.000836736914987769,0.8095238095238095,0.48685059118595486,1.3455902,0.4949763
Hs3st4,4.7809715,2.8815994,1.7445016714319047e-06,0.0008370492841317013,0.8095238095238095,0.6050519527051236,2.7992814,1.1294969
Tshz3,4.775042,2.2187772,1.7966953488147304e-06,0.0008469684916254702,0.8571428571428571,0.38778215693299894,1.1150169,0.36485502
Adcy2,4.764321,1.6343963,1.8949064532437717e-06,0.0008778644206665541,0.9047619047619048,0.699534217126478,2.0355937,1.1455563
Cobl,4.7460327,2.041005,2.074452802298251e-06,0.000944755030470407,0.8571428571428571,0.43206735936940166,1.2163298,0.45556214
Cntn1,4.7418904,1.0994751,2.117332583480862e-06,0.0009482121086355128,0.9523809523809523,0.8296309566463633,2.4349937,1.7682964
Dlg2,4.7342553,0.73090094,2.198606412631505e-06,0.0009545660194763504,0.9523809523809523,0.9554639914009315,4.2170577,3.720115
Vopp1,4.73389,1.9365448,2.2025713884456167e-06,0.0009545660194763504,0.8095238095238095,0.40161232533142244,0.8182099,0.28581518
Inpp4b,4.719392,2.3516946,2.3655066042834772e-06,0.0009931431633921411,0.8571428571428571,0.5916159082766034,2.1363363,0.90144855
Kcnab1,4.6880813,1.8555347,2.757788244029405e-06,0.0011400272325703094,0.8571428571428571,0.6764242207094231,2.1190426,1.1064497
Prickle1,4.6825037,1.352388,2.83391905507247e-06,0.001153748560754504,0.8571428571428571,0.7422429236832676,2.024537,1.2737155
Bcl2,4.653088,2.0833235,3.2700048179383283e-06,0.0012734062240290272,0.8095238095238095,0.293801504836976,0.76429474,0.23962353
Dtnb,4.632011,1.3625436,3.621307562644613e-06,0.001390064774403725,0.8571428571428571,0.7273378717305625,1.7575362,1.0529108
Olfm3,4.597979,2.7540863,4.266084591992919e-06,0.0016145027181246442,0.7619047619047619,0.39928341096381226,1.6065441,0.46422464
Ehbp1,4.5934987,1.1846467,4.358760850534008e-06,0.0016266653340812334,0.8571428571428571,0.7737011823719097,1.8496225,1.2110181
Ripor2,4.588206,1.7299143,4.47072231797784e-06,0.00164559326964472,0.8571428571428571,0.5876746685775708,1.3810651,0.6408647
Gap43,4.5521297,1.7674136,5.31055812990421e-06,0.0018987012339504344,0.8571428571428571,0.5002866356144751,1.1264503,0.4776913
Sgcz,4.5450497,2.273738,5.4922247403738194e-06,0.0019165724516083703,0.8571428571428571,0.7478681476173414,3.120358,1.7007406
Fhip1a,4.5213466,3.087149,6.144744649927346e-06,0.0020899909967537693,0.6666666666666666,0.13353636689358653,0.5005987,0.073671326
Tenm1,4.515377,1.5072776,6.3204242743322735e-06,0.0021228725031413524,0.9047619047619048,0.7527051236116088,2.3650095,1.4799088
C130073E24Rik,4.5093665,2.5143132,6.502148350415369e-06,0.002156947236736555,0.8095238095238095,0.34335363668935864,1.35255,0.40670672
Frmd4a,4.503383,0.95959604,6.688012591393284e-06,0.0021915475406187506,0.9047619047619048,0.8563597276961662,2.792584,2.1837077
Cntnap4,4.4712057,2.3578234,7.777975121585185e-06,0.002518002307433662,0.8095238095238095,0.3514510927982802,1.3445678,0.44042432
Plcxd3,4.4667115,2.114543,7.943106203927205e-06,0.002540848377375286,0.8571428571428571,0.39258330347545684,1.224568,0.4413646
Htr2a,4.4584813,3.2796838,8.254242103562185e-06,0.002605900620001749,0.6666666666666666,0.15324256538874956,0.6980046,0.09891675
Osbpl3,4.4531746,2.2512445,8.460983247446916e-06,0.002605900620001749,0.7619047619047619,0.35177355786456466,0.97588867,0.2981107
