names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MEA-BST Sox6 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Ankhd1,-3.4699636,-2.1392262,0.0005205291692255156,0.04995220991817716,0.125,0.6992298047644635,0.25004426,0.811578
Rprd2,-3.4705682,-4.925895,0.0005193583585382307,0.04995220991817716,0.0625,0.5326168726491134,0.018272873,0.4450449
Unc13b,-3.4709404,-4.4438295,0.0005186390801225176,0.04995220991817716,0.0625,0.53788285867813,0.032394335,0.5403194
Tab2,-3.4737163,-3.6096532,0.0005133036762479103,0.049792309677911005,0.0625,0.568189145620634,0.05362324,0.51429397
Ints6,-3.4775465,-2.711911,0.0005060253877720922,0.0492641382950584,0.125,0.6445280315242701,0.14802065,0.7155282
Ext1,-3.4787095,-2.3287497,0.0005038344956281094,0.049229210536462904,0.25,0.7762135052838975,0.5056584,1.4599997
Focad,-3.4806323,-2.2371783,0.0005002316082354054,0.04905555953753774,0.1875,0.6959340856170517,0.3104977,0.9994043
Plcl2,-3.4811907,-2.3038595,0.0004991901167114694,0.04905555953753774,0.125,0.6513344080243597,0.23608495,0.83933973
Atf2,-3.4828963,-2.1085584,0.0004960202948953832,0.0490002401611726,0.125,0.6806734730431667,0.23909557,0.77234477
Mat2a,-3.4850984,-3.4396408,0.0004919560924959136,0.04877808193861696,0.0625,0.5776464266523375,0.06203113,0.5273054
Tasp1,-3.4868042,-2.2999766,0.0004888291344989248,0.04864755127402263,0.125,0.6324198459609529,0.17855738,0.6743196
Pgbd5,-3.4868042,-5.1144943,0.0004888291344989248,0.04864755127402263,0.0625,0.5338706788464983,0.018272873,0.49399236
Rab40c,-3.4883394,-4.243004,0.0004860307295247742,0.04864755127402263,0.0625,0.5456922801361276,0.032394335,0.4845463
Tspan5,-3.490681,-2.2752125,0.0004817912144268002,0.048485879893813186,0.1875,0.7387067884649829,0.36345658,1.1383607
Cop1,-3.4909136,-2.142894,0.0004813719591980167,0.048485879893813186,0.125,0.6812466415905427,0.23598301,0.77723986
Creb1,-3.4932396,-4.3184214,0.00047719808168667725,0.048386084735551005,0.0625,0.5457281031703385,0.032394335,0.50494623
Depdc5,-3.4933171,-3.8596544,0.0004770595355570296,0.048386084735551005,0.0625,0.5587318645889306,0.04390582,0.5017279
Fbxw4,-3.4936893,-28.893572,0.00047639503626258187,0.048386084735551005,0.0,0.5044241447250583,0.0,0.40459234
Ankrd28,-3.493953,-2.256822,0.0004759248717418081,0.048386084735551005,0.125,0.6998029733118395,0.26098195,0.8859293
Rabgap1,-3.498419,-2.307095,0.0004680252195939498,0.048183286017200885,0.1875,0.7371305749596991,0.285661,0.969377
AW554918,-3.5009933,-3.210809,0.000463527697289253,0.04790380471600857,0.0625,0.5899337273867097,0.08205302,0.583189
Arpp21,-3.5025284,-2.459411,0.0004608646693985289,0.04781248519976244,0.3125,0.79964176965789,0.71151686,1.9026792
Pou2f1,-3.5040326,-2.816493,0.00045826929159047017,0.04772750335285246,0.125,0.6373276016478596,0.12799877,0.6739294
Cyld,-3.5051646,-5.058984,0.00045632507028108503,0.047709940227442627,0.0625,0.537309690130754,0.018272873,0.47916988
Dennd1b,-3.5115535,-2.8756323,0.00044549574173484554,0.04675965070474727,0.125,0.6275837363424682,0.12799877,0.69424
Pitpnm2,-3.512794,-29.108969,0.00044342096810200165,0.04672439769765013,0.0,0.5071825183593051,0.0,0.4567873
Vezt,-3.5129027,-2.8041017,0.00044323985517721805,0.04672439769765013,0.125,0.6355364499373097,0.12799877,0.6697307
Map7,-3.517074,-2.4199977,0.00043633202766090145,0.046340875823116294,0.125,0.6969013075407487,0.2614779,0.9552609
Clock,-3.5188262,-2.8468397,0.00043346031220249583,0.04621856582889311,0.125,0.631345154934623,0.11959088,0.6491564
Man1a2,-3.5198963,-2.6081462,0.0004317154736947901,0.04621591545091239,0.125,0.6621171413218699,0.1753394,0.7740509
Zmym4,-3.5205786,-2.2020278,0.0004306062494028309,0.04621591545091239,0.1875,0.7608812466415905,0.34976143,1.0738686
Tfdp2,-3.5235405,-3.5770295,0.00042582198231554656,0.045951151264332274,0.0625,0.5776822496865485,0.06203113,0.56743276
Tra2a,-3.5245795,-2.1253257,0.00042415552368849264,0.045951151264332274,0.1875,0.7370589288912771,0.32154113,0.9763226
Stim1,-3.5314026,-29.014418,0.0004133620290837731,0.044967764054578876,0.0,0.5098692459251298,0.0,0.43325105
Vps54,-3.533744,-3.378944,0.0004097174089675292,0.04475246658112809,0.0625,0.5889306824288018,0.069440894,0.55851454
Esyt2,-3.5347521,-2.196118,0.00040815779272199853,0.04475246658112809,0.1875,0.7157084005015225,0.3079391,0.9755117
Fut9,-3.5375745,-2.2931302,0.00040382031862803026,0.04446988508825891,0.25,0.7509582661651442,0.3925252,1.2107724
Irf2,-3.540071,-3.9370785,0.0004000192540781094,0.04423258171637366,0.0625,0.5629948056600395,0.04390582,0.5232468
Tra2b,-3.5430639,-3.637517,0.0003955067540399886,0.043914324301878076,0.0625,0.5776464266523375,0.05362324,0.5221019
