names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CNU-LGE GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Tubb4a,-3.2394836,-0.7318935,0.0011974631377466441,0.04809541780456252,0.1414141414141414,0.35242085661080075,0.20408675,0.31919298
Castor2,-3.2396517,-0.86781573,0.0011967578337242772,0.04809541780456252,0.18181818181818182,0.37688010313708636,0.14858092,0.25644284
Fcho2,-3.2414439,-0.6902247,0.0011892584341008517,0.04790910663311827,0.494949494949495,0.6515184071049993,0.490201,0.7034916
Tnfrsf21,-3.2529624,-1.0174897,0.0011420861645415992,0.04607786072257172,0.21212121212121213,0.4188511674545194,0.16853361,0.31598765
Amph,-3.2562356,-0.4821363,0.001129000275971456,0.04561840212835041,0.6767676767676768,0.7444492193095545,0.9072736,1.1196778
Dkk3,-3.2577727,-1.2915066,0.0011229033323436799,0.04544038033143777,0.1717171717171717,0.3634866065033663,0.13449243,0.30186695
Tsga10,-3.259042,-0.8184929,0.0011178907682678294,0.045305769145334206,0.30303030303030304,0.5101346511961037,0.2750559,0.44362795
Eps15,-3.2634604,-0.9037003,0.0011006059370886135,0.04474021411432835,0.31313131313131315,0.5177266867211001,0.2907905,0.4894281
Arhgap23,-3.2643254,-1.0374775,0.001097251069418637,0.04467141853830117,0.26262626262626265,0.4565606646612233,0.2258815,0.418838
Msmo1,-3.2643316,-1.687154,0.0010972269679801363,0.04467141853830117,0.06060606060606061,0.2544406245523564,0.061592363,0.18612722
Cecr2,-3.2666216,-2.1850355,0.0010883908042647107,0.044445381323089325,0.08080808080808081,0.26826385904598193,0.05176202,0.2163849
Gm44257,-3.2711954,-1.2326478,0.001070939157289986,0.04379929247546716,0.1414141414141414,0.33995845867354246,0.11170339,0.24508047
Daam1,-3.2714567,-0.7675524,0.0010699497814771852,0.04379929247546716,0.47474747474747475,0.6351525569402664,0.46359402,0.69515806
Gng12,-3.2725768,-1.2634022,0.0010657191687971892,0.0437188917031763,0.18181818181818182,0.3757341355106718,0.14088826,0.30983686
Rap1b,-3.2754643,-0.7915332,0.001054884846767326,0.04334060524868204,0.16161616161616163,0.3777395788568973,0.16556899,0.2713053
Ankrd27,-3.2777853,-1.1744399,0.001046249343946126,0.04311766851508038,0.1414141414141414,0.34948431456811346,0.10528485,0.22361872
Sh3bp5,-3.277885,-0.851206,0.0010458803874407584,0.04311766851508038,0.24242424242424243,0.45244234350379603,0.2134548,0.35715657
Prickle1,-3.2782521,-0.49112383,0.0010445209005714273,0.04311766851508038,0.696969696969697,0.7410829394069618,1.0402806,1.273166
Mkx,-3.2818053,-1.0211626,0.0010314480632545293,0.042704174822263796,0.08080808080808081,0.279687723821802,0.12022974,0.23054577
Cpe,-3.2829502,-0.50299054,0.0010272678152235541,0.04266072190825801,0.797979797979798,0.8453301819223606,1.2623011,1.5239648
Fbn1,-3.2891917,-1.5156238,0.001004755297705978,0.041857015270325,0.12121212121212122,0.3143532445208423,0.08373089,0.22291464
Abhd17b,-3.297263,-0.90170103,0.0009763209150363453,0.04086252801717539,0.32323232323232326,0.51299957026214,0.27955243,0.4716182
Ndst4,-3.2978168,-1.7079849,0.0009743973340653042,0.040845641757152454,0.21212121212121213,0.37559088955737,0.15987223,0.44876534
Nsf,-3.2996151,-0.3570819,0.0009681752738650764,0.04064823376367906,0.7878787878787878,0.7890703337630712,1.174126,1.3514588
Etv6,-3.301283,-0.99533355,0.0009624382373132602,0.040534036734494204,0.2828282828282828,0.46748316860048705,0.24565205,0.4415462
Dgkz,-3.3076675,-0.75127935,0.0009407645657991677,0.039745823715445966,0.31313131313131315,0.50945423291792,0.29845038,0.46083313
Dtx4,-3.3130066,-2.5318127,0.0009229879028587352,0.039117799605385195,0.050505050505050504,0.24455665377453087,0.027376913,0.14885691
Skap2,-3.3187315,-1.2599249,0.0009042728257235948,0.03838516718355923,0.1414141414141414,0.34042400802177336,0.12615801,0.2791553
Rb1,-3.3193228,-0.7581638,0.0009023604575340565,0.03836459730053813,0.42424242424242425,0.6065033662799026,0.41547212,0.6265718
Jmjd1c,-3.3247304,-0.5592762,0.0008850404723125914,0.03774767855720529,0.696969696969697,0.7970562956596476,0.9880916,1.2483284
Akt3,-3.3273504,-0.30345964,0.0008767608312887429,0.03745399608382913,0.8484848484848485,0.8397435897435898,1.6549913,1.8284084
Mfsd6,-3.3273628,-0.7834043,0.0008767216700290097,0.03745399608382913,0.2727272727272727,0.4694886119467125,0.23025,0.3685535
Galnt9,-3.3281531,-1.1326079,0.0008742382484425517,0.03745399608382913,0.18181818181818182,0.3862627130783555,0.15443344,0.31199434
Nf2,-3.3307543,-1.0044298,0.0008661104523353973,0.037176338425322884,0.1919191919191919,0.3956453230196247,0.1493982,0.28009903
Spire1,-3.3383522,-0.6156891,0.0008427682406448968,0.036232292201805405,0.494949494949495,0.6702478154992122,0.54992855,0.7530039
Sez6l,-3.3393853,-0.66435796,0.0008396402148137391,0.036155661173149306,0.5151515151515151,0.6447142243231628,0.5652587,0.79043293
Tdrd5,-3.3404245,-3.7657442,0.0008365042146392532,0.03611484016587768,0.020202020202020204,0.21400945423291792,0.008797675,0.113501586
Gm2164,-3.3482778,-1.8940531,0.0008131547687767748,0.03524107844682571,0.12121212121212122,0.30751325025068044,0.11414935,0.37117058
Ptprj,-3.3580725,-0.6509371,0.000784880251870525,0.03412578053035762,0.6161616161616161,0.7121472568399942,0.7346278,0.99443424
Fbxl3,-3.3663924,-0.9942968,0.0007615827545464514,0.0331664969443487,0.20202020202020202,0.41756195387480305,0.16311832,0.3022904
Khdrbs2,-3.3709164,-0.69855714,0.0007491857466805313,0.032679579567054994,0.6565656565656566,0.7125411832115742,0.95414805,1.278392
Gm30092,-3.3728144,-3.0329285,0.0007440408190411064,0.03250792976851143,0.04040404040404041,0.2347084944850308,0.023912169,0.18071418
Slc6a7,-3.376374,-1.3351858,0.0007344803398321449,0.03214248653304517,0.1414141414141414,0.3447571981091534,0.09768518,0.23024467
Wdr59,-3.3781972,-1.2438464,0.0007296274154658012,0.03198220008738349,0.13131313131313133,0.33816788425726974,0.09435258,0.21053265
E230029C05Rik,-3.3798897,-1.3864726,0.0007251489874940432,0.03183783217968127,0.12121212121212122,0.3338346941698897,0.108994044,0.2631803
Foxn3,-3.383331,-0.7912033,0.0007161225760744075,0.03154461249035956,0.5858585858585859,0.6989686291362269,0.6471276,0.9457942
Cyp7b1,-3.3948371,-0.9657572,0.000686694507318963,0.0303978276963106,0.3434343434343434,0.5232774674115456,0.33359846,0.5728919
Pparg,-3.3971894,-1.7717193,0.00068081848507901,0.030187446689889437,0.06060606060606061,0.2602778971494055,0.061844643,0.19708034
Cntn2,-3.4017258,-2.1932614,0.0006696179312438549,0.029739890599210547,0.06060606060606061,0.2635367425870219,0.047390845,0.20045146
Pkib,-3.4043705,-5.3671384,0.0006631674146806264,0.029551091927808342,0.010101010101010102,0.20695459103280334,0.0034260582,0.13247263
St6galnac3,-3.4045696,-0.7585791,0.0006626840751897694,0.029551091927808342,0.6363636363636364,0.702048417132216,0.7697375,1.0855833
St6gal1,-3.4063618,-1.6534375,0.0006583487361798688,0.029433994244847047,0.12121212121212122,0.323306116602206,0.0980051,0.28059766
Pgm2l1,-3.4086828,-0.6284724,0.0006527730647615393,0.0292333537502376,0.43434343434343436,0.6224036670964045,0.48710567,0.67814696
Gm5468-1,-3.4120994,-3.7320251,0.000644646354758154,0.02891760860158864,0.020202020202020204,0.21852170176192523,0.010087781,0.126388
Luzp2,-3.4169905,-1.1056408,0.0006331750872300698,0.02849818189928304,0.40404040404040403,0.5587308408537459,0.5456053,0.9406182
Iqsec1,-3.417289,-0.6601786,0.0006324807411695358,0.02849818189928304,0.5858585858585859,0.6922360693310414,0.65656775,0.9029071
Runx2,-3.4199836,-0.8683835,0.0006262490988023989,0.02832881024380549,0.3333333333333333,0.5153989399799456,0.34702897,0.5638183
Srrm4,-3.4227278,-0.8641784,0.0006199610745592712,0.028091659482980806,0.3939393939393939,0.5687580575848732,0.3704985,0.59681714
Skil,-3.429405,-0.9220707,0.0006049061627312403,0.027490438366162988,0.18181818181818182,0.39005873084085374,0.16226512,0.28804535
Madd,-3.431608,-0.74845433,0.0006000144225358521,0.02732608056531923,0.29292929292929293,0.49384042400802175,0.25563988,0.39834872
9630014M24Rik,-3.4331324,-1.6158268,0.0005966504823740776,0.027219012667897228,0.1414141414141414,0.3350522847729552,0.100742705,0.28130123
Nampt,-3.4332507,-1.3619436,0.0005963903402212647,0.027219012667897228,0.12121212121212122,0.321336484744306,0.08771694,0.21159251
Kbtbd11,-3.4393117,-1.3519906,0.0005831951855207703,0.026695834131078528,0.0707070707070707,0.2786850021486893,0.08144912,0.19607022
Gabra1,-3.4448066,-0.6414663,0.0005714682372417831,0.026248464161857627,0.43434343434343436,0.6205056582151555,0.5025407,0.70234966
Nav1,-3.4476504,-0.65947556,0.0005654855013029307,0.02606277087480231,0.5656565656565656,0.693704340352385,0.62660736,0.8654804
Rcor3,-3.4477499,-0.8461481,0.0005652771007384043,0.02606277087480231,0.24242424242424243,0.45946139521558516,0.20742717,0.34669366
Ptpn3,-3.449038,-0.8883819,0.0005625873591089641,0.026018454972905104,0.24242424242424243,0.45595186935969056,0.22587328,0.38464847
Nr4a2,-3.4537425,-2.1984053,0.000552864885061898,0.025612895623471035,0.030303030303030304,0.2343861910901017,0.04180663,0.17893906
Rspo3,-3.459673,-1.2589366,0.0005408318837268673,0.025098709353611266,0.1111111111111111,0.31904454949147687,0.11224059,0.25018933
