names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_nIPC (for_DEGs),mean_expr_Rest (for_DEGs)
Kcnq2,-3.1550376,-0.9313679,0.0016047744815636097,0.04979248304805334,0.47619047619047616,0.6122375996852985,0.40113568,0.6632966
Ablim2,-3.1620219,-0.959976,0.0015667784670980777,0.04866975423228364,0.36507936507936506,0.5830204198405036,0.34444794,0.5877421
Zfp385b,-3.1652021,-0.8881005,0.0015497526955535583,0.04819659135361586,0.5873015873015873,0.6653792511533098,0.7679358,1.1436436
Zbtb16,-3.1675484,-1.0136151,0.0015373014116839517,0.04803173131621835,0.38095238095238093,0.578550227085792,0.39197323,0.67747265
Spock1,-3.171516,-1.0528995,0.0015164553646204182,0.04754627263401475,0.49206349206349204,0.610306476415263,0.5601858,0.9392619
Thrb,-3.1801527,-0.8608926,0.0014719746504804256,0.046259601003987176,0.5396825396825397,0.692450738475843,0.756706,1.116624
Zfyve28,-3.1822183,-1.2304562,0.001461515908076929,0.046038607796045815,0.3333333333333333,0.5084218431498766,0.21464877,0.4458358
Myt1l,-3.201651,-0.40706718,0.0013664243125563877,0.043450676069100753,0.8412698412698413,0.8022029109895219,1.5143439,1.7409093
Hivep3,-3.214458,-0.55784065,0.001306910218616278,0.041805568540737366,0.7619047619047619,0.7806387011407931,1.065466,1.3350446
Dab1,-3.2562153,-0.40974537,0.0011290811309106038,0.0372250429295312,0.9047619047619048,0.8767299645960733,2.338243,2.5981128
Cadps,-3.264431,-0.4417869,0.0010968414297235676,0.03634047992191401,0.8253968253968254,0.828022744340736,1.7419794,2.000877
Cacna1e,-3.2812135,-0.48438329,0.001033614770139721,0.03458683545909627,0.7777777777777778,0.7731287773128778,1.4525326,1.7192167
Ralyl,-3.2853916,-0.37712485,0.0010184073877183238,0.0342057581349892,0.9206349206349206,0.8547723777849301,2.0198517,2.2502627
Acap2,-3.2935839,-0.7213752,0.000989187855788403,0.03338271285939465,0.6349206349206349,0.7544254908271645,0.77827847,1.079008
Pakap-1,-3.2935917,-1.1662555,0.0009891604275754763,0.03338271285939465,0.36507936507936506,0.5397131924328578,0.2593148,0.5094645
Ptprn2,-3.30088,-0.5855309,0.0009638209500537131,0.03278484490235734,0.7301587301587301,0.7627936916639846,1.2840981,1.5930321
Hcn1,-3.3016906,-0.8234007,0.000961039906691793,0.03278484490235734,0.6984126984126984,0.7480241748024175,1.1266273,1.5454273
Elapor1,-3.307264,-1.1516349,0.0009421205123382855,0.032248125052904114,0.31746031746031744,0.5155741515574152,0.23094048,0.45562074
Rapgef4,-3.3705742,-0.6953955,0.0007501171755752784,0.02659056531359859,0.6666666666666666,0.7243857955155026,0.88740873,1.1980757
Nos1ap,-3.3725228,-0.85241604,0.0007448290156898112,0.02645894803484782,0.5873015873015873,0.6988520545005901,0.67692554,1.0106649
Kctd16,-3.3805907,-0.68540823,0.000723302301187056,0.025948107921089713,0.8095238095238095,0.8033115187926904,1.5780658,1.9718843
Mir124a-1hg,-3.3937716,-0.994073,0.0006893712524108041,0.024964158426251087,0.38095238095238093,0.5860601509137074,0.3336717,0.58161396
