names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_ENT CTX (for_DEGs),mean_expr_Rest (for_DEGs)
Tmsb10,6.272153,-0.32034516,3.560900755496744e-10,1.7640376714638185e-09,0.30341560708052856,0.22952321465750572,0.18799523,0.22972271
Enpp2,6.210769,-0.2853252,5.272585680436894e-10,2.6000069229829203e-09,0.5036150585888806,0.4048303143868416,0.45029044,0.52659035
Sncb,5.851962,-0.28081667,4.858073682966355e-09,2.2953479841973968e-08,0.47918224881575666,0.3954195294607537,0.30449182,0.3593661
Lpcat2,5.72577,-0.3516235,1.0296552837455816e-08,4.798272194631248e-08,0.3029169783096485,0.23672704559650218,0.16589695,0.20722125
Clta,5.2974997,-0.26501805,1.1739924467965676e-07,5.20891298636456e-07,0.4392919471453503,0.3673537372475536,0.25550526,0.29996866
Stmn4,5.2833157,-0.27828774,1.2686641168554201e-07,5.620610852416346e-07,0.40588381949638497,0.3368727878409328,0.24006389,0.28446978
Vdac1,5.1704884,-0.27702665,2.33482857338295e-07,1.02127370611753e-06,0.4983794564946397,0.4161565688111597,0.30379397,0.35777232
Gng3,4.7902207,-0.29763103,1.6659784289057092e-06,6.930614705789813e-06,0.29793069060084765,0.24259837601499062,0.16637956,0.20089601
Cttnbp2nl,4.718222,-0.25878435,2.3791475972876786e-06,9.8229403717148e-06,0.3293443031662927,0.2747033104309806,0.18245763,0.21469988
Fis1,4.7019744,-0.2681439,2.57657898072587e-06,1.0615252562420136e-05,0.32111692844677137,0.2676660420570477,0.17079966,0.20236652
Eif5,4.6399984,-0.25813618,3.484118447620397e-06,1.4245018668222773e-05,0.46920967339815506,0.39671038933999586,0.27805585,0.3245219
Atp6v1e1,4.3062515,-0.3692513,1.6604410032614127e-05,6.509490772925905e-05,0.5083520319122413,0.43043930876535497,0.31855977,0.39512345
Atp6v1d,4.2852097,-0.3398593,1.8256688205282075e-05,7.137453980444193e-05,0.493891797556719,0.4189881324172392,0.30511668,0.37263682
Pfn2,4.27741,-0.2542146,1.8908034130273297e-05,7.382430646330187e-05,0.4397905759162304,0.3763897564022486,0.2595085,0.30260873
Cox7b,4.2425766,-0.32426003,2.2096817154194713e-05,8.59249604823751e-05,0.49912739965095987,0.4260254007911722,0.32381794,0.3912082
Tmem50a,4.169421,-0.27171975,3.053740690188969e-05,0.00011769078075929086,0.3388182498130142,0.29015198834062045,0.1917194,0.22723745
Arhgap23,4.015872,-0.27439186,5.9226413967266755e-05,0.00022408767365721946,0.5295437546746448,0.4435144701228399,0.36491528,0.42699623
Saraf,3.9974854,-0.26617596,6.401895233118183e-05,0.00024176939552197555,0.3779606083271005,0.3277951280449719,0.21814568,0.2570888
Atp6v1g2,3.9570553,-0.27967697,7.58793628655224e-05,0.0002849585576794671,0.3757167788581401,0.32508848636269,0.21576655,0.25644597
Tecr,3.9557471,-0.36043644,7.629583621317135e-05,0.0002864825487769584,0.5469957616554475,0.46379346241932123,0.35294577,0.43397468
Ttc9b,3.900694,-0.36681795,9.591739020123541e-05,0.00035726369208583246,0.19172276240339067,0.1495315427857589,0.102529936,0.13035141
Uqcrc1,3.9006104,-0.2589083,9.595039351559083e-05,0.00035728756565464603,0.29070057342308653,0.2473870497605663,0.15332268,0.18088189
Nap1l5,3.8920455,-0.31676275,9.940257674316605e-05,0.0003697836407433022,0.4068810770381451,0.3465750572558817,0.24440016,0.29626912
