leiden_0.4,reason
20,"Low cell count (Ctrl=41, Mut=186)"
26,"Low cell count (Ctrl=18, Mut=17)"
23,"Low cell count (Ctrl=44, Mut=31)"
24,"Low cell count (Ctrl=15, Mut=32)"
22,"Low cell count (Ctrl=34, Mut=43)"
25,"Low cell count (Ctrl=40, Mut=0)"
