names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Vip Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Polr1f,-2.728355,-0.34689465,0.006365108262775063,0.04995048452709286,0.08253968253968254,0.18112688296639629,0.07901047,0.099450335
Manf,-2.7283936,-0.3267771,0.006364362403348302,0.04995048452709286,0.16507936507936508,0.2720162224797219,0.14773259,0.18204987
Pkn1,-2.7284322,-0.3189667,0.006363616622573169,0.04995048452709286,0.15555555555555556,0.26542584009269987,0.12937652,0.15896259
Fbrs,-2.7285516,-0.40363082,0.006361311979178782,0.04995048452709286,0.08888888888888889,0.18746378910776362,0.07601265,0.099367775
Drc1,-2.7302313,-1.4335965,0.006328990817956446,0.04975423735473661,0.0380952380952381,0.12956257242178448,0.0238006,0.06303225
Gm12536,-2.7309341,-3.2301736,0.006315511233305041,0.049662799777262644,0.009523809523809525,0.09918163383545771,0.004788552,0.0440577
Bckdha,-2.7322235,-0.39294955,0.006290843389903172,0.04949779264617811,0.13015873015873017,0.2322928736964079,0.1071562,0.13847364
Rps18,-2.7326908,-0.345994,0.006281925249266855,0.049456587004922475,0.16507936507936508,0.2703867323290846,0.18329768,0.22768854
Dnajc16,-2.7333374,-0.27233875,0.006269606133201073,0.0493740670571843,0.12063492063492064,0.22410921205098494,0.10395463,0.12426055
Ets2,-2.7341597,-0.50615263,0.006253970846978968,0.04926537574269273,0.09523809523809523,0.19372827346465818,0.08324594,0.11626286
Gm49961,-2.7344337,-1.0499146,0.006248766890513628,0.049238817110880115,0.047619047619047616,0.13999130938586327,0.035034187,0.071222916
Hnrnpul2,-2.735017,-0.28888744,0.00623770477784691,0.0491660684601779,0.1873015873015873,0.3005866164542294,0.16844872,0.20224
Sema3e,-2.7360642,-0.4280865,0.006217890510919554,0.04903866100041339,0.3523809523809524,0.4397088644264195,0.41616884,0.527354
Mertk,-2.7364402,-1.1614696,0.00621078983043784,0.04899704132233258,0.10793650793650794,0.19727694090382386,0.14061663,0.29097208
Fam120a,-2.7365665,-0.31226063,0.006208402458344555,0.04899259149947671,0.45396825396825397,0.5984936268829664,0.4769757,0.5646828
AU041133,-2.7369075,-0.70153236,0.006201973928767995,0.04895623956110341,0.07301587301587302,0.1692859212050985,0.05476332,0.08759095
