leiden_0.4,reason
21,"Low cell count (Emx1_Control=5, Emx1_Mutant=9)"
8,"Low cell count (Emx1_Control=50, Emx1_Mutant=32)"
19,"Low cell count (Emx1_Control=29, Emx1_Mutant=44)"
12,"Low cell count (Emx1_Control=41, Emx1_Mutant=96)"
18,"Low cell count (Emx1_Control=44, Emx1_Mutant=86)"
20,"Low cell count (Emx1_Control=19, Emx1_Mutant=105)"
15,"Low cell count (Emx1_Control=79, Emx1_Mutant=32)"
16,"Low cell count (Emx1_Control=39, Emx1_Mutant=93)"
26,"Low cell count (Emx1_Control=14, Emx1_Mutant=6)"
23,"Low cell count (Emx1_Control=21, Emx1_Mutant=10)"
24,"Low cell count (Emx1_Control=11, Emx1_Mutant=15)"
22,"Low cell count (Emx1_Control=2, Emx1_Mutant=4)"
25,"Low cell count (Emx1_Control=0, Emx1_Mutant=0)"
