leiden_0.4,reason
18,"Low cell count (Nestin_Control=103, Nestin_Mutant=35)"
20,"Low cell count (Nestin_Control=22, Nestin_Mutant=81)"
17,"Low cell count (Nestin_Control=146, Nestin_Mutant=34)"
26,"Low cell count (Nestin_Control=4, Nestin_Mutant=11)"
23,"Low cell count (Nestin_Control=23, Nestin_Mutant=21)"
24,"Low cell count (Nestin_Control=4, Nestin_Mutant=17)"
22,"Low cell count (Nestin_Control=32, Nestin_Mutant=39)"
25,"Low cell count (Nestin_Control=40, Nestin_Mutant=0)"
