names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MGE-derived (for_DEGs),mean_expr_Rest (for_DEGs)
Epb41l2,6.141309,-0.26648614,8.184435010255071e-10,4.366006923278812e-09,0.5522388059701493,0.3327755547471808,0.33702496,0.393447
Abca1,5.332304,-0.25456375,9.697440172683367e-08,4.3048111257228165e-07,0.43470149253731344,0.25572935612950165,0.20107554,0.23562236
Tspyl4,5.1611004,-0.26907602,2.4550250874539864e-07,1.0539467023468384e-06,0.47947761194029853,0.29508912331757003,0.20284238,0.23979421
Rpl30,4.988848,-0.2742224,6.074033731681074e-07,2.5245055896406877e-06,0.5951492537313433,0.38744998181156787,0.3111966,0.3656693
Car2,4.6954627,-0.38467294,2.660041335626446e-06,1.051571438697699e-05,0.39365671641791045,0.2356493270280102,0.18170339,0.23122667
H3f3a,4.6743855,-0.29249942,2.9483506754197695e-06,1.160934681250428e-05,0.5802238805970149,0.3774827209894507,0.27094522,0.3229163
Ctsb,4.6422553,-0.263871,3.4462688812664537e-06,1.348889218348574e-05,0.6604477611940298,0.44052382684612584,0.34451964,0.4013625
Atp5j,4.635684,-0.46677792,3.557589396509287e-06,1.3912447545365237e-05,0.4533582089552239,0.2822480902146235,0.193797,0.25893113
Naca,4.605888,-0.3202149,4.107096784564746e-06,1.5968411315476013e-05,0.4608208955223881,0.29017824663514,0.18749435,0.2291045
Sncb,4.6000123,-0.27152824,4.224662529558965e-06,1.6404144822145867e-05,0.6100746268656716,0.40345580210985815,0.30020148,0.35251224
Glul,4.5343122,-0.50810415,5.779148736366225e-06,2.2180170687926044e-05,0.43283582089552236,0.268061113132048,0.18788385,0.25770366
Gng3,4.4829593,-0.2781166,7.36150025024969e-06,2.8001629632532437e-05,0.39925373134328357,0.2476173153874136,0.16477574,0.19656429
Tmbim6,4.449365,-0.30048758,8.612440393909799e-06,3.258466254355904e-05,0.5298507462686567,0.34914514368861405,0.23599382,0.28352344
Hspd1,4.4097853,-0.27778792,1.034731625089049e-05,3.8858474865328794e-05,0.4123134328358209,0.26209530738450343,0.16780986,0.20008634
Smc1a,4.396568,-0.3218219,1.0997608404210351e-05,4.124295014949507e-05,0.43843283582089554,0.2786467806475082,0.17368263,0.21275374
Stmn4,4.330458,-0.2759359,1.4879949453939865e-05,5.520146925684995e-05,0.5186567164179104,0.3433975991269553,0.23564321,0.27894258
Ncl,4.2629147,-0.32522222,2.01777704885644e-05,7.40577370615661e-05,0.6156716417910447,0.4121134958166606,0.2995647,0.36296585
P2ry12,4.2448993,-0.3754416,2.1869156986780184e-05,8.006870803035611e-05,0.375,0.23812295380138232,0.18446463,0.23332131
Eno1,4.181582,-0.30000618,2.8948778701462942e-05,0.00010484616305543999,0.39925373134328357,0.25343761367770096,0.1502968,0.18204376
Rpn1,4.1784773,-0.27584755,2.9346758372833092e-05,0.00010627323416145892,0.373134328358209,0.23532193524918152,0.1434094,0.17117086
Bex3,4.171569,-0.29301056,3.025093119175854e-05,0.00010942952626851803,0.3824626865671642,0.24317933794106947,0.16417365,0.19770102
Cct5,4.1629066,-0.2899717,3.142220868182297e-05,0.00011354957343735787,0.376865671641791,0.23772280829392506,0.14658126,0.17648225
Rab31,4.1624618,-0.3327823,3.148348779284135e-05,0.0001137350520292615,0.47388059701492535,0.30862131684248817,0.23210727,0.28445294
Tmem59l,4.1589284,-0.2758606,3.197442952061372e-05,0.00011546202408532331,0.46455223880597013,0.31094943615860315,0.20539495,0.24377364
Laptm4a,4.158206,-0.30382428,3.207568128734584e-05,0.00011581208763652012,0.47388059701492535,0.3129501636958894,0.20171952,0.24364932
Wasf2,4.1515646,-0.382229,3.30209772075161e-05,0.00011901725788946447,0.47388059701492535,0.3052746453255729,0.19474883,0.24703902
