names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MGE-derived (for_DEGs),mean_expr_Rest (for_DEGs)
Kcnc2,31.944418,3.136919,6.458530467027064e-224,1.735407136490172e-219,0.9906716417910447,0.5950527464532557,2.7929215,1.0089037
Kcnmb2,31.825367,3.5162394,2.885964960614473e-222,3.877293924585545e-218,0.960820895522388,0.24343397599126956,1.6250114,0.3048738
Nxph1,31.609436,4.009098,2.7392680677246895e-219,2.4534710993254137e-215,0.9738805970149254,0.4112768279374318,2.8347049,0.6907885
Grip1,31.565462,2.3696914,1.1002101367003492e-218,7.390661593284596e-215,1.0,0.7753364859949072,3.0817044,1.6141604
Rbms3,30.290037,2.8163202,1.550709096171861e-201,8.33351068282758e-198,0.9869402985074627,0.5014186977082575,1.9966595,0.6437306
Alk,28.786213,2.9976783,3.1916845953648006e-182,1.4293427512908698e-178,0.9048507462686567,0.22735540196435067,1.1786332,0.24818262
Grik1,27.47349,2.7585187,3.6417949246727177e-166,1.397928994656513e-162,0.9832089552238806,0.48981447799199707,2.1155548,0.7313607
Gad2,27.08387,2.3745058,1.525200879134526e-161,5.1227684527930896e-158,0.8955223880597015,0.21051291378683157,0.83036697,0.22279875
Cntnap3,26.651379,2.7007444,1.7250733937558443e-156,5.150302454468837e-153,0.8470149253731343,0.19705347399054202,0.844034,0.18557869
Ptprm,26.539095,2.616377,3.431747322498096e-155,9.221105055552384e-152,0.9402985074626866,0.36922517279010547,1.6301136,0.5124293
Kctd8,26.504538,2.7562919,8.592849119790267e-155,2.0989986895342228e-151,0.8675373134328358,0.2585667515460167,1.1666051,0.28310755
Dlx6os1,26.494297,2.6140773,1.1275724435480985e-154,2.524822629844784e-151,0.9048507462686567,0.2659876318661331,1.3531305,0.38437682
Elavl2,26.058008,2.0498002,1.0916554563230873e-149,2.256367854723181e-146,0.9850746268656716,0.5329938159330666,1.6349082,0.69175744
Nhs,25.346785,2.2553294,9.750546209773305e-142,1.871408404690062e-138,0.878731343283582,0.25780283739541654,0.8529275,0.24844027
Erbb4,25.177574,2.9004517,7.053266085705261e-140,1.2634750648193359e-136,0.9888059701492538,0.7141142233539469,3.3368583,1.533337
Xkr4,24.735767,1.3321384,4.411546069320399e-135,7.408640180164946e-132,1.0,0.8578392142597309,3.0948446,2.2379417
Kcnip1,24.65985,2.3906367,2.885520403487827e-134,4.560819602453995e-131,0.8302238805970149,0.2197162604583485,0.83532876,0.22231923
Nrxn3,24.576725,1.7056136,2.2409003531499037e-133,3.3451662493965504e-130,1.0,0.9276100400145507,4.2311535,3.0812483
