names,scores,logfoldchanges,pvals,pvals_adj,rank_metric
Naaladl2,45.37113,0.79828125,0.0,1e-300,300.0
Tenm2,30.10155,0.59167016,7.756511576790596e-188,2.294570037204078e-184,183.63929868178843
Tenm4,29.951286,0.8464844,1.505891258695831e-184,3.959824725366171e-181,180.40232403692573
Meg3,28.875658,0.5884146,3.897531150427623e-172,7.09530555430924e-169,168.14902889721947
Gm28307,28.76683,1.3088686,2.422900478475173e-174,4.778363560299454e-171,170.32072081016898
Hecw2,28.605982,0.7398043,2.8347923748683863e-171,4.792014024545374e-168,167.31948191958915
Mir99ahg,26.735853,0.56425303,5.3391845529112186e-151,5.493788766486822e-148,147.2601280430066
A830082K12Rik,26.429531,0.84339994,3.0254049386879913e-148,2.8639693311596003e-145,144.54303163698552
Ext1,26.150642,0.67222345,4.1678576011662494e-144,3.2878839329733483e-141,140.48308352208056
Hivep2,25.228891,0.37845474,4.4896974278286234e-135,2.8717075493781675e-132,131.5418597901116
A230006K03Rik,25.205427,0.7332696,3.326791848220444e-134,2.0187655353842315e-131,130.69491411820437
Fgf12,25.196959,0.45672622,1.6287539331008255e-134,1.014370804756951e-131,130.99380325898463
Rasgef1b,24.46469,0.84630877,1.843428841894271e-127,8.725317394453963e-125,124.05921876607047
Gm11867,24.064634,0.9198799,4.439119674415939e-124,1.9101128402677746e-121,120.71894097596794
Runx1t1,23.457684,0.7666976,1.155672088677457e-117,3.9637877754551736e-115,114.40188960605762
Phactr1,23.149685,0.42739928,2.4758105386509178e-114,8.137851695515642e-112,111.08949022900794
Arpp21,22.866068,0.3621362,9.847949633494302e-112,3.066599684556265e-109,108.51334291333453
Mlip,22.762247,0.6220157,2.4958740515575264e-111,7.671085104436418e-109,108.115143199084
Nyap2,22.552483,0.70735437,3.759154564881353e-109,1.1120518991560262e-106,105.95387494387707
Dpp10,22.510475,1.0319488,1.4528718038508749e-108,4.09329334642081e-106,105.3879271304667
Satb2,22.466118,0.9078942,1.1551909686925118e-108,3.2938252367562633e-106,105.48229944728098
Snhg11,22.315216,0.6070149,6.796999541831962e-106,1.8073909118763508e-103,102.74294790581759
Ppp2r2b,22.079412,0.6028385,2.2902439073058074e-104,5.956144209922993e-102,101.22503479567212
Syt1,22.079157,0.22454467,7.381196923588493e-105,1.9409267377071698e-102,101.71199085719793
Ralyl,21.42749,0.44001603,1.1077884094332426e-98,2.5702863232987374e-96,95.59001849468335
Anks1b,21.323532,0.22496827,3.918729995578731e-98,9.003947968482162e-96,95.04556702334126
Mtus2,20.990423,0.510802,2.591020220817499e-95,5.625604086776783e-93,92.24983083544463
Kcnq5,20.834751,0.7704569,9.348786586116542e-94,1.9754319941699473e-91,90.70433791666089
Asic2,20.774944,0.5903169,2.0641912252897743e-93,4.323110578558212e-91,90.3642036557355
Thrb,20.662848,0.60817593,1.9321713684277954e-92,3.875149797051882e-90,89.41171150482847
Pcdh7,20.565866,0.69819915,1.6759952022180006e-91,3.3331178534194286e-89,88.47714933014839
Sv2b,20.409466,0.6384224,3.755601610201597e-90,7.167747395728307e-88,87.14461730839258
Hcn1,20.19365,0.65673506,2.9338642368765734e-88,5.467152049600078e-86,85.26223884756737
Adcy8,19.946775,0.6451211,1.7096657126300593e-86,3.042176598128044e-84,83.51681557878848
Pdzrn3,19.763186,1.0177008,4.246668574600954e-85,7.28272887583378e-83,82.1377058578229
Kcnma1,19.685764,0.24490604,3.6959157447273205e-84,6.145941447527951e-82,81.21141158158967
Gm57223,19.492622,0.69347286,7.219582963963581e-83,1.1315142412262392e-80,79.94633997564911
Slc8a1,19.27338,0.50135887,1.2103203680099593e-80,1.8128760651470693e-78,77.74163188485237
Vrk2,19.240036,1.0571269,6.542080783307403e-81,9.924672039599552e-79,78.00328383557195
Foxp1,19.038004,0.38980573,4.772973504059551e-79,6.723642318278175e-77,76.17239539804783
Tmem178b,18.764204,0.482375,9.404805099452289e-77,1.2646256675206696e-74,73.89803800775967
C130071C03Rik,18.576086,0.3354395,1.7198346196258417e-75,2.261200339336954e-73,72.64566095803761
Pam,18.423153,0.49505204,2.6714112158804723e-74,3.4547332150288117e-72,71.46158548453128
Npas2,18.348816,0.63843477,8.710762154159153e-74,1.1024005194670082e-71,70.95766059079058
Oxr1,18.156887,0.3938243,3.6033703157801795e-72,4.350885810880292e-70,69.36142231462853
Ptprn2,18.150736,0.33272415,5.169264193968494e-72,6.178576081538302e-70,69.20911160115448
Tenm3,17.91186,0.70891404,2.181591193612624e-70,2.530859666080214e-68,67.59673193541728
Asap1,17.910904,0.538769,2.1114804470491902e-70,2.4615909487618785e-68,67.60878411365286
Etv5,17.893606,0.77130425,2.2702786455415447e-70,2.620898264652985e-68,67.58154983672503
Rims2,17.714731,0.3411641,7.610314525879982e-69,8.455666834247683e-67,66.07285213720705
Ntm,17.606848,0.6195644,5.380313266363569e-68,5.840848337695424e-66,65.23352407041791
Gm40418,17.579073,3.030462,1.1035881066454704e-67,1.1711890642094934e-65,64.931372991422
2210408I21Rik,17.57406,0.42656258,7.009060909907973e-68,7.536193692624948e-66,65.12284794798626
Dmd,17.57122,0.369369,1.2201881321765156e-67,1.2891505507182777e-65,64.88969636152308
Cntn3,17.543867,0.5493304,1.0873632585652513e-67,1.1591684178921278e-65,64.93585345994029
Camk4,17.465197,0.49995384,4.864953535814516e-67,5.071981955003803e-65,64.29482230024782
Homer1,17.462069,0.46553913,4.24713382462851e-67,4.4474632342326685e-65,64.35188763340388
Adgrb3,17.45454,0.22086668,7.189839928313183e-67,7.462927708046482e-65,64.12709076528682
Cntnap2,17.31991,0.51941687,8.506487529001704e-66,8.494284129171068e-64,63.070873216188836
Ldb2,17.275452,0.6696534,1.1675826565259736e-65,1.1561510941147987e-63,62.93698540548961
Pcnx2,17.237152,0.5257793,1.8835384306598848e-65,1.8573258541665346e-63,62.73111189580159
Khdrbs2,17.167812,0.44793025,6.807717132256154e-65,6.49642877628928e-63,62.18732531858354
Nr4a3,17.067001,0.9428194,2.535311190980359e-64,2.3715681678158567e-62,61.62496438757092
Efcab6,17.046127,0.8635548,3.6367774420187396e-64,3.388502950504547e-62,61.46999213186628
Msra,16.963486,0.32467082,1.9756375772462845e-63,1.798286111658099e-61,60.74514120980578
Agbl4,16.70616,0.49922553,1.9957889464038173e-61,1.7428908193945662e-59,58.758729817720535
Slit2,16.679626,0.6092008,1.8783527439053616e-61,1.6464109643431217e-59,58.783461750369625
Cacnb4,16.665207,0.3738336,2.2291175662862034e-61,1.9323918067300105e-59,58.7139048125742
Car10,16.61732,0.62288254,5.556413846614382e-61,4.764423554129564e-59,58.32198963697838
Pcdh15,16.578123,0.6582086,1.1099765849764085e-60,9.449174769802765e-59,58.02460611832358
Kcnh7,16.576044,0.512218,1.1423085012157886e-60,9.689560211388119e-59,58.01369593420845
Hivep3,16.492256,0.2807262,4.5623112140309846e-60,3.8561306139734745e-58,57.41384826419679
Celf2,16.470503,0.14502908,5.40377496417287e-60,4.518930682053539e-58,57.34496432045958
Dcx,16.32123,0.5749325,5.451079692925204e-59,4.433170172260064e-57,56.353285597494924
Gria4,16.312721,0.51376826,7.760759973274885e-59,6.289936490668611e-57,56.20135373959311
Nrxn1,16.20188,0.21308854,5.6025290410575254e-58,4.3903792147571985e-56,55.35749796637205
Flrt2,16.102491,0.51977575,1.9123062308719954e-57,1.4838242380267752e-55,54.82861753906763
5730522E02Rik,15.977942,0.34991315,1.3695407978415375e-56,1.0256820418265135e-54,53.988987248270355
Grm7,15.794145,0.20835333,2.2944382434673817e-55,1.6554931545700931e-53,52.781072610706886
Galnt9,15.777798,0.6157899,2.507350027267071e-55,1.8036153721976444e-53,52.74385607186172
Etl4,15.696355,0.6315741,1.2094477293496086e-54,8.569697593649053e-53,52.067034503132426
Catspere2,15.66955,0.47428387,1.4291420901866236e-54,1.0066094257844236e-52,51.99713900723215
Marchf1,15.651637,0.34539735,2.0236898118626468e-54,1.4169421031816983e-52,51.848647894835395
Opcml,15.621434,0.27227238,3.726905726453312e-54,2.5565493020940315e-52,51.592345827650554
Unc5d,15.612372,0.63869673,3.6269311192446816e-54,2.495202089187344e-52,51.602894274623885
Zfp385b,15.399544,0.47559646,1.0372564237945797e-52,6.914848035358457e-51,50.160217359752856
Gm4258,15.3294525,0.4394521,2.773023991271139e-52,1.822955160483966e-50,49.73922401362362
Hs6st3,15.305942,0.563973,4.041858258661851e-52,2.6423927499859493e-50,49.5780026309021
Bach2,15.301994,0.49007985,3.688274781827477e-52,2.417914431765348e-50,49.616559072569416
Chrm3,15.246569,0.59624547,1.0505629148699955e-51,6.811677244743373e-50,49.1667459382414
Samd5,15.206399,0.57933515,1.6334089071373832e-51,1.0447636539544138e-49,48.98098194437834
Entrep2,15.198662,0.35189673,1.9322227454556542e-51,1.2325602019933563e-49,48.90919185926778
Elavl2,15.18175,0.5565539,2.309840854514548e-51,1.4655413850654501e-49,48.834001913116516
Prr16,15.148092,0.5923972,3.679659618378173e-51,2.3160325672483473e-49,48.63525533800298
Pde1a,15.142729,0.48662487,5.516942230836464e-51,3.454072879232163e-49,48.46166850327277
Mgat4c,15.132746,0.6060499,5.604105146706489e-51,3.499386606911762e-49,48.45600807467246
Sox5,15.0183115,0.5818854,2.6949564143967955e-50,1.6437844975029528e-48,47.78415511969136
Pcsk1,14.988255,0.84774595,3.475413608885514e-50,2.1035585285903984e-48,47.67704539983894
Hdac9,14.981893,0.3547792,4.3323598007671965e-50,2.615551710330522e-48,47.58243668940477
Osbpl1a,14.855416,0.47726303,2.6272671532795976e-49,1.5466891654108196e-47,46.81059695670183
Grip1,14.807119,0.37207964,6.115645748807083e-49,3.556090228286694e-47,46.44902722825585
Cfap54,14.791067,0.6544172,6.3036130565031566e-49,3.647464708929186e-47,46.43800890143354
Adam23,14.781614,0.3704676,8.165595097549187e-49,4.690460523752405e-47,46.32878451483168
1700022A22Rik,14.7215605,1.2841322,1.67877726238201e-48,9.550466993156886e-47,46.01997539201913
Cadps,14.715394,0.22073816,2.5408063960759096e-48,1.4385340710414468e-46,45.84207984757966
Ttr,14.629595,3.0102425,9.684136354810975e-48,5.405301202192372e-46,45.26718010063659
Bcl11a,14.610933,0.32118014,9.605467652540517e-48,5.3740661339249145e-46,45.269696993388166
ENSMUSG00000121513,14.603084,0.35430187,1.0551492592265912e-47,5.848047393174826e-46,45.232989116468985
Nwd2,14.602298,0.51681787,1.0776502415224305e-47,5.958801545763981e-46,45.2248410782461
Plcl2,14.60156,0.3832979,1.14614091397046e-47,6.3080397372150944e-46,45.20010557951579
Chst8,14.578553,0.7185366,1.3290310478510922e-47,7.263937362227239e-46,45.13882790944242
Cit,14.541311,0.6128837,2.411736984058039e-47,1.3060907886663056e-45,44.884026633438914
Lrrc4c,14.490987,0.36032984,5.743983157727104e-47,3.082474045595684e-45,44.51110057147255
Apba1,14.418638,0.32229465,1.3997784628549607e-46,7.377985991520156e-45,44.13206217369735
Cdh20,14.3847885,0.67054534,2.223144805971317e-46,1.1640032074804687e-44,43.93404582296006
Cdh10,14.383379,0.45174983,2.8287338077120254e-46,1.477810470051055e-44,43.83038126085934
Efna5,14.363592,0.6744545,2.9470117559241865e-46,1.5328347300154242e-44,43.81450466817995
Nr2f1,14.239396,0.5901163,1.6378323066800482e-45,8.282252002113252e-44,43.08185155945762
1700016P03Rik,14.16688,1.0737725,4.3662641457489465e-45,2.180000153445033e-43,42.661543475826434
Shc3,14.153204,0.4968852,5.813085329465099e-45,2.8780853014042057e-43,42.54089633848136
Pde4d,14.124667,0.4004425,9.708873718135732e-45,4.786879279445838e-43,42.31994752487477
Khdrbs3,14.079121,0.45462397,2.0415283459011817e-44,9.941318895904808e-43,42.00255599475595
Silc1,14.017972,0.59207183,3.557616879789868e-44,1.7147568447475973e-42,41.765797454904714
Cacna2d3,13.989398,0.38030908,5.895487568941689e-44,2.8032842673969438e-42,41.55233286031958
Gm30667,13.983485,1.4085683,5.588797802419379e-44,2.6666227579043755e-42,41.57403841878653
Ptprr,13.961003,0.40301222,8.148123301196587e-44,3.841304502910725e-42,41.41552126464108
Ptprd,13.914561,0.31073242,1.6735269995922526e-43,7.796395663848475e-42,41.10810612873018
Dusp5,13.913606,1.3489261,1.48654860390188e-43,6.938986047325817e-42,41.15870398577323
Nrxn3,13.897062,0.42837295,2.4774311460197857e-43,1.1473754501311986e-41,40.94029444675497
Dlgap4,13.839812,0.34753188,4.312484914164616e-43,1.9894594147879102e-41,40.701264916087055
Mir100hg,13.740301,0.43756655,1.9841689166673565e-42,8.944255539399935e-41,40.04845580138901
Ffar1,13.727817,1.2332127,1.8259751579285357e-42,8.278453656616231e-41,40.082050778084245
Rian,13.685296,0.29178473,4.275531510330709e-42,1.91275479628519e-40,39.718340700357295
Prickle2,13.653561,0.24899775,5.681219751380087e-42,2.527288470604533e-40,39.597345183864995
Sec61a1,13.640756,0.5511583,6.049303227576733e-42,2.680951501569868e-40,39.57171104233607
Nlgn1,13.605748,0.19228435,1.1334160960476081e-41,4.976516758638719e-40,39.30307452908637
Nrg1,13.598829,0.5174529,1.333661414747202e-41,5.801917470846927e-40,39.23642845309466
Vwc2l,13.5873575,0.78189427,1.3002075710108176e-41,5.677253205819559e-40,39.245861735783755
Cdh23,13.557704,0.8259119,1.793833037079223e-41,7.781439560000027e-40,39.10894005145109
A230057D06Rik,13.499803,0.289434,4.714539752469816e-41,2.0103477077828946e-39,38.696728820931945
Myo16,13.461438,0.51475644,7.042066230246426e-41,2.979518235214148e-39,38.525853952266836
Tmem44,13.455269,0.73143524,7.050326255894206e-41,2.979518235214148e-39,38.525853952266836
9130024F11Rik,13.44372,0.73563206,8.299061016772015e-41,3.500990695595838e-39,38.4558090434357
Lmtk2,13.273971,0.3601225,8.155823141219002e-40,3.3509671954876546e-38,37.47482982369813
Htr7,13.210437,0.9673808,1.744846544675332e-39,7.119575573497656e-38,37.14754589563029
Mpped1,13.169797,0.48622674,3.254334099406633e-39,1.3142844845828903e-37,36.88131061901368
Kcnn2,13.134539,0.40743425,5.234739286641692e-39,2.089128835711e-37,36.68003477643279
Fmn1,13.084415,0.44394502,9.898868192231997e-39,3.897946998957778e-37,36.409164070353505
Scai,13.073888,0.2700203,1.1364876159007951e-38,4.460384065988096e-37,36.35062774430177
Sgcz,13.03994,0.5635439,1.8652942746580974e-38,7.296537901497278e-37,36.136883157267214
Cpne8,13.029038,0.5379415,1.9958671724645842e-38,7.794421205205751e-37,36.10821612893159
5031425E22Rik,12.938407,0.33318236,6.147936006424639e-38,2.3619651546760637e-36,35.626726513684204
Meis2,12.928299,0.5573089,7.193612746393099e-38,2.7547579167660045e-36,35.55991656016323
Rims4,12.756454,0.7106867,5.946652478477647e-37,2.212790527604591e-35,34.65505969633539
Tshz2,12.750799,0.7199307,6.630854868658794e-37,2.4635135215334226e-35,34.608445049662166
Vsnl1,12.748927,0.34138802,7.089495678641258e-37,2.629780638412602e-35,34.580080476415255
BC002189,12.736448,1.1388234,7.588706650404067e-37,2.81055292000724e-35,34.55120823294683
Elavl4,12.65142,0.4437284,2.433666326584791e-36,8.820083810866104e-35,34.054527288062765
Epb41l3,12.59942,0.3650007,4.580164430458534e-36,1.642335930473207e-34,33.78453800566418
R3hdm2,12.503291,0.28934976,1.4810655339215126e-35,5.247140258351275e-34,33.28007732676529
Farp1,12.473464,0.40431687,2.2063289034880576e-35,7.758540836545076e-34,33.11021994964698
Nr4a1,12.437714,0.7389814,3.1421056780967004e-35,1.0951557139593007e-33,32.96052412657236
Pde4b,12.42936,0.44073257,4.149485237456534e-35,1.4399078831326443e-33,32.84166529063171
