names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MH Tac2 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Grik2,-3.8591604,-1.3815204,0.00011377728879066695,0.04852691666357494,0.9230769230769231,0.9168994913675764,1.8189862,2.6712842
Cadps,-3.9280913,-1.8002366,8.562267476157589e-05,0.03834468784739241,0.7692307692307693,0.8294290421949997,1.0447319,2.003823
Plcb1,-3.9970052,-1.7415264,6.414887167060513e-05,0.03221811332603542,0.6923076923076923,0.8720538720538721,1.2725022,2.2610369
Rbfox1,-4.3110056,-2.1182265,1.6251382048994994e-05,0.012476418161614157,0.9230769230769231,0.9406834300451322,2.0571337,3.4218261
Grm7,-4.338736,-2.5213556,1.4330437518087254e-05,0.011668450185181955,0.6923076923076923,0.8931871910595315,1.2210606,2.6896071
