names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MY Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Hspa8,6.448628,2.8776472,1.1286709517123619e-10,1.907382922799444e-08,0.7547169811320755,0.6709688952449052,2.376139,0.8451896
Calm1,5.025494,1.6445997,5.021380941654494e-07,1.2539452221399279e-05,0.7735849056603774,0.8367179120486236,2.283874,1.3400441
Tmsb4x,4.9502964,2.1276274,7.410062225087208e-07,1.7090847380952212e-05,0.7169811320754716,0.721308544869503,2.253938,1.0820946
Hsp90ab1,4.7587876,1.9957637,1.947592343443485e-06,3.7811998748790784e-05,0.7358490566037735,0.8091169109760458,2.2844784,1.1667794
Camk1d,4.6872606,0.63772917,2.7688600074298186e-06,5.096263358242904e-05,0.8113207547169812,0.9538434036467643,2.7310004,2.3245323
Hsp90aa1,4.6650047,1.9749978,3.086097867281645e-06,5.5728124794259276e-05,0.7169811320754716,0.7954236682159457,2.2028356,1.1144347
App,4.1771493,0.45433798,2.9518549452010536e-05,0.0003666959888005192,0.7358490566037735,0.8987844118698606,2.0803604,1.8106208
Rtn1,3.60366,0.61163867,0.00031376727022850863,0.0028329726313978585,0.7358490566037735,0.9051483732570611,2.220969,1.8527113
Atp1b1,3.5866814,1.1069576,0.0003349131706990477,0.00299172769171656,0.7169811320754716,0.8599928494815874,2.136818,1.4972211
Ebf1,3.239126,3.7942064,0.0011989663052630378,0.00897888088696149,0.32075471698113206,0.08637826242402574,0.8518244,0.0924635
Canx,2.940051,1.7320467,0.003281582574747089,0.021472071509372397,0.5849056603773585,0.6529495888451913,1.4781328,0.7025493
Atp6v0c,2.6902893,1.5670244,0.007139009641628765,0.04236781175974219,0.6037735849056604,0.6814801573114051,1.6453372,0.8803306
Ubb,2.6901875,2.0016358,0.007141191643463803,0.04236781175974219,0.5094339622641509,0.4825527350732928,1.4596875,0.60169846
Ckb,2.689703,1.9264233,0.0071515643302284895,0.04241998533184095,0.5283018867924528,0.5497318555595281,1.3913131,0.584746
Calm2,2.6565356,1.0937015,0.00789480966796488,0.04615612179682688,0.6415094339622641,0.8571326421165535,2.0242832,1.4057901
Lars2,2.6447747,1.1256063,0.008174535167780146,0.04755353105829239,0.6226415094339622,0.7969252770825885,1.7686325,1.1720717
