names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CTX (for_DEGs),mean_expr_Rest (for_DEGs)
Cpne7,48.11572,1.449932,0.0,0.0,0.8706467661691543,0.3449415458338497,0.8269624,0.38584656
Epha6,48.039486,1.388771,0.0,0.0,1.0,0.8672697979923163,3.339357,2.432541
Hs6st3,47.200512,1.7781179,0.0,0.0,0.9965959675307672,0.7613913330854711,2.9401224,1.8284463
Gm10754,46.868576,1.4891814,0.0,0.0,0.7695731866980885,0.24901887883670012,0.6469205,0.28068054
Raver2,46.85598,1.3585305,0.0,0.0,0.8677664310028803,0.35035320361878797,0.7395352,0.35558286
Tafa1,46.741867,1.6854247,0.0,0.0,0.9926682377585755,0.7584582971867642,2.8366947,1.7905871
Ryr3,46.44892,1.528788,0.0,0.0,0.9958104215763289,0.6745982567026066,2.1911097,1.3226929
6530403H02Rik,46.398125,1.5402684,0.0,0.0,0.885833987954962,0.39422481100508117,1.1615573,0.56227267
Gm49678,45.868088,1.6054505,0.0,0.0,0.9512961508248232,0.4923782376998389,1.5665979,0.80898356
Ndst3,45.641182,1.3772937,0.0,0.0,0.9049489395129615,0.40703102408394265,1.0193728,0.51992756
Nwd2,45.289047,1.3439882,0.0,0.0,0.9350615344330977,0.46887264014541247,1.1112959,0.5894231
Hs3st4,44.98802,1.6245703,0.0,0.0,0.9560094265514533,0.5487255752468294,1.8590422,1.0141292
Tmem200a,43.77855,1.1935594,0.0,0.0,0.874574495941346,0.3589044491262858,0.6936217,0.36300156
9530059O14Rik,43.67637,1.2672371,0.0,0.0,0.9756480754124116,0.5548395092328665,1.2889057,0.7381916
Gm30439,43.536823,1.25113,0.0,0.0,0.9308719560094265,0.4492089065146445,0.97794867,0.52884805
Cpne8,43.49046,1.2578849,0.0,0.0,0.869337522911757,0.3630767959681084,0.82064,0.42649427
Entrep2,43.188152,1.3310971,0.0,0.0,0.9939774810159727,0.6355186516296939,1.7125694,1.0316753
Fras1,43.112,1.3307421,0.0,0.0,0.8180151872217858,0.335688024125253,0.8053961,0.40013033
Celf2,43.014725,1.0377618,0.0,0.0,1.0,0.9609617052918578,4.315306,3.609968
Schip1,42.955486,1.3032763,0.0,0.0,0.9992144540455616,0.8059239063080927,2.669193,1.8627168
Rbfox1,42.947735,1.1508281,0.0,0.0,1.0,0.9308877597389185,4.0906672,3.313186
Meg3,42.92367,1.4887439,0.0,0.0,1.0,0.8995331928780931,4.1132836,3.1104689
Opcml,42.781097,1.127239,0.0,0.0,1.0,0.9137439583591523,3.762856,3.0086274
Cntnap5c,42.707397,1.3830733,0.0,0.0,0.9099240638910709,0.4436320072706242,1.2580497,0.6758054
Rasgef1b,42.677967,1.3304942,0.0,0.0,0.9507724535218643,0.47965464535051844,1.2205487,0.66780967
Kcnma1,42.531006,1.1127998,0.0,0.0,1.0,0.8338910232577353,2.826836,2.1220713
Satb2,42.52685,1.2408544,0.0,0.0,0.8557213930348259,0.3503945139835585,0.8332171,0.4384874
Kcnq5,42.48973,1.5125072,0.0,0.0,0.9971196648337262,0.7471392572396415,2.613718,1.6926308
Tenm2,42.378784,1.1590191,0.0,0.0,1.0,0.9302681042673607,4.0461035,3.2640643
Nlgn1,42.301125,0.9180355,0.0,0.0,1.0,0.9468748709051101,3.9349756,3.3158767
Lrrc7,42.22871,1.1761874,0.0,0.0,1.0,0.841161647457347,3.1246436,2.3632696
Tenm4,42.22823,1.4164865,0.0,0.0,0.9984289080911233,0.7072747552360887,2.2851782,1.4602288
Cadps2,42.184086,1.3036349,0.0,0.0,0.9342759884786593,0.48779278721031105,1.279279,0.7182601
Phactr1,42.05594,1.111511,0.0,0.0,1.0,0.8714421448341388,3.0092607,2.294501
Thsd4,41.970024,1.1585084,0.0,0.0,0.7994239329667452,0.31321518569008966,0.6009286,0.31411543
Samd5,41.811756,1.2277738,0.0,0.0,0.9018067556952082,0.41711075308794976,0.94282603,0.51232547
Trpc5,41.561123,1.2397734,0.0,0.0,0.9581042157632889,0.49861610278018753,1.1566077,0.6537463
Pcnx2,41.54391,1.1218171,0.0,0.0,0.9256349829798377,0.44602800842731444,0.77778953,0.4322312
Csmd1,41.481804,1.0481174,0.0,0.0,1.0,0.9344404511091833,4.195924,3.4853706
Chrm3,41.449013,1.4924734,0.0,0.0,0.9738151348520555,0.6097409840128888,1.9794399,1.1685266
Gm26652,41.390667,1.1041744,0.0,0.0,0.8769311338046609,0.3814599082909902,0.6211917,0.33688492
Nrg1,41.33311,1.485805,0.0,0.0,0.9981670594396439,0.8244309497252861,3.0883834,2.1373765
Nell1,41.243263,1.3747512,0.0,0.0,0.902330452998167,0.4406989713719172,1.2873594,0.6989094
Khdrbs3,41.22049,1.3497965,0.0,0.0,0.9879549620319455,0.6235386458462429,1.7430637,1.0472673
Sema3e,41.137638,1.205706,0.0,0.0,0.8554595443833464,0.37162804147560624,0.86980516,0.47069374
Iqcj,41.1077,1.1725394,0.0,0.0,0.7947106572401152,0.31300863386623706,0.613785,0.3191405
Gm10649,41.042713,1.1232113,0.0,0.0,0.8643623985336476,0.3749328706572479,0.68536407,0.37290883
Ntng1,40.97834,1.3767163,0.0,0.0,0.9274679235401938,0.5131986615441815,1.4921952,0.8447351
Gm26871,40.864304,1.3131733,0.0,0.0,1.0,0.7666377494113273,2.6065872,1.8003275
Gm2164,40.85906,1.3712294,0.0,0.0,0.7054202670856246,0.24393770396992606,0.68257475,0.32094616
Rspo2,40.84941,1.2138879,0.0,0.0,0.750458235140089,0.28289337794852726,0.617083,0.31331694
Gm32647,40.777905,1.5110579,0.0,0.0,0.7601466352448285,0.33176353947205356,0.99835885,0.47081688
Grm8,40.76187,1.4280372,0.0,0.0,0.891070960984551,0.4549097368529764,1.4049109,0.76213104
Arpp21,40.718163,1.3188207,0.0,0.0,0.9992144540455616,0.7663072664931632,2.5974176,1.7888064
Mlip,40.70125,1.1821982,0.0,0.0,0.9638648860958366,0.5276159788490933,1.162171,0.67707634
Ankrd33b,40.558964,1.0737936,0.0,0.0,0.857554333595182,0.37538728466972365,0.62626356,0.34613964
Sh3rf1,40.541294,1.1097339,0.0,0.0,0.9473684210526315,0.49308051390093777,0.98345613,0.57411
Grm7,40.535774,1.1235355,0.0,0.0,1.0,0.8750774569339447,3.3230872,2.5859182
Trpc4,40.534775,1.191158,0.0,0.0,0.9450117831893166,0.4775891271119924,1.1087842,0.6362277
Grin2a,40.507534,1.3096552,0.0,0.0,1.0,0.8082785971000124,2.9555132,2.1218834
Ldb2,40.48422,1.3058122,0.0,0.0,0.9489395129615082,0.49308051390093777,1.3434106,0.7634019
Lmo7,40.46519,1.1491265,0.0,0.0,0.9560094265514533,0.5027884496220102,1.0362632,0.59885496
Gm1043,40.44748,1.0982748,0.0,0.0,0.8730034040324692,0.39443136282893376,0.61102015,0.33176234
Dnah9,40.439816,1.0772952,0.0,0.0,0.835820895522388,0.34675920188375264,0.63432455,0.3504951
Nrg3,40.371967,1.0113627,0.0,0.0,1.0,0.9394390052464163,4.202881,3.5169363
Gm33228,40.247997,1.0924469,0.0,0.0,0.829274679235402,0.34713099516668733,0.58976585,0.319795
Gm30382,40.229347,1.1812056,0.0,0.0,0.7373658025661168,0.27235923493204445,0.5738486,0.2940117
Ralyl,40.175674,1.2144618,0.0,0.0,1.0,0.8320320568430619,2.917253,2.144437
Runx2,40.143005,1.1216874,0.0,0.0,0.9180413720869337,0.451067872929318,0.8958507,0.5104792
Wscd2,40.07856,1.0507579,0.0,0.0,0.8808588635768526,0.40405667782046517,0.632559,0.35484275
Unc13b,40.050396,1.0792011,0.0,0.0,0.9332285938727416,0.47349940099971083,0.84832895,0.48992637
Slit2,40.046623,1.2577257,0.0,0.0,0.9402985074626866,0.5148923864997728,1.3424774,0.78065
Camk4,40.04507,1.2051722,0.0,0.0,0.9748625294579732,0.5703308960218119,1.351296,0.8071366
Htr1f,40.028828,1.1558899,0.0,0.0,0.7567426027755957,0.2918164167389598,0.65878767,0.34958112
Ptprr,39.957935,1.1135557,0.0,0.0,0.9473684210526315,0.5141487999339034,1.0097231,0.5913282
Galnt9,39.934456,1.0361367,0.0,0.0,0.7954962031945535,0.320857603172636,0.50898993,0.28035286
Rgs6,39.900684,1.2702562,0.0,0.0,0.8978790259230165,0.44999380344528445,1.225893,0.69214493
Slit3,39.895027,1.5269071,0.0,0.0,0.9973815134852055,0.682158053455612,2.4265647,1.5219721
Gm10115,39.878098,1.0827885,0.0,0.0,0.781618224666143,0.3004502829759987,0.4097539,0.21438666
Catspere2,39.632927,1.0572917,0.0,0.0,0.9324430479183032,0.4639567067377205,0.80272615,0.46488497
Lin7a,39.617657,1.0683376,0.0,0.0,0.9083529719821943,0.43822034948568594,0.8036893,0.46269146
Epha3,39.568386,1.2174551,0.0,0.0,0.9575805184603299,0.5355475688850333,1.3409873,0.7947658
Ctxnd1,39.544323,1.3287545,0.0,0.0,0.6302697041110238,0.1907299541454951,0.44249973,0.20015079
Zfyve28,39.507214,1.0432132,0.0,0.0,0.9099240638910709,0.4446234560251167,0.7062351,0.40415224
Cpne4,39.493652,1.2293384,0.0,0.0,0.9201361612987693,0.4849010616763746,1.2215196,0.7032771
Trhde,39.42916,1.1691154,0.0,0.0,0.9039015449070438,0.4602387739083736,1.0993092,0.6367444
Zfp385b,39.37852,1.3105004,0.0,0.0,0.98586017282011,0.6146156070558103,1.7252516,1.0509108
Mirg,39.372944,1.057155,0.0,0.0,0.9094003665881121,0.439253108604949,0.7275099,0.41487512
Sv2b,39.30566,1.2705756,0.0,0.0,0.9819324430479183,0.5630602718222002,1.4941688,0.88885283
B830012L14Rik,39.292404,1.1626822,0.0,0.0,0.9787902592301649,0.5548395092328665,1.2093204,0.71795785
Slc26a4,39.22675,1.2216662,0.0,0.0,0.6598586017282011,0.21485520717147932,0.34711936,0.16376759
Myrip,39.175217,1.0344337,0.0,0.0,0.9067818800733176,0.4456149047796092,0.72763973,0.42033768
Nyap2,39.047478,1.1588527,0.0,0.0,0.9672689185650694,0.544966332052712,1.2627162,0.758632
Cntnap2,39.042854,1.1613612,0.0,0.0,1.0,0.9005659519973561,3.445315,2.6789973
Ptpn3,39.030544,1.0054897,0.0,0.0,0.8685519769573187,0.389928533068947,0.6084032,0.34865233
Prkcg,39.02429,0.9964634,0.0,0.0,0.931133804660906,0.4846531994877515,0.86050636,0.5210858
Gm47591,38.97906,1.0067568,0.0,0.0,0.757528148730034,0.2807452389804602,0.3548338,0.19225253
Slc6a7,38.953888,1.0474836,0.0,0.0,0.7439120188531029,0.28091048043954225,0.3857047,0.20514764
Npas2,38.920704,1.0536052,0.0,0.0,0.8905472636815921,0.4219853761308712,0.7788323,0.44977692
Zfp831,38.9159,0.99942994,0.0,0.0,0.7918303220738413,0.3125955302185318,0.42495692,0.23496725
Pkp2,38.881577,1.0540831,0.0,0.0,0.7274155538098979,0.26583219729830215,0.44887796,0.24126129
Nin,38.86213,1.0704151,0.0,0.0,0.9646504320502749,0.5543850952203908,1.0613314,0.6419011
Gm44643,38.850025,1.1125104,0.0,0.0,0.68866195339094,0.23270128475234436,0.31634262,0.15879038
5730522E02Rik,38.843857,1.3254387,0.0,0.0,0.9981670594396439,0.7081422728962696,2.2560537,1.4838328
Ptprn2,38.82663,1.2300844,0.0,0.0,0.997643362136685,0.7256578675589705,2.2098289,1.4949188
Ccdc88c,38.76991,0.9798154,0.0,0.0,0.7376276512175962,0.271450406907093,0.38250107,0.2120875
Cacna2d3,38.72707,1.3034934,0.0,0.0,0.9955485729248494,0.7056223406452679,2.1740882,1.4249759
Miat,38.716553,1.0815084,0.0,0.0,0.9625556428384394,0.5443879869459247,1.0369169,0.6207134
Gm14636,38.652256,0.99586385,0.0,0.0,0.7999476302697041,0.3254017432973933,0.46612236,0.26063436
Pde10a,38.643356,1.2249458,0.0,0.0,0.9960722702278083,0.7042590986078408,2.025681,1.3390837
Pde1a,38.61514,1.3463869,0.0,0.0,0.9973815134852055,0.7247077291692485,2.3112693,1.5203394
Cnksr2,38.612797,1.1377141,0.0,0.0,1.0,0.838311232288181,2.8389463,2.1181889
Hs6st2,38.564274,1.0074624,0.0,0.0,0.8583398795496203,0.37951832114677575,0.6976622,0.40674424
Sel1l3,38.54713,0.99514884,0.0,0.0,0.8583398795496203,0.3828644606931879,0.62593484,0.36218286
Fstl4,38.513332,1.1034571,0.0,0.0,0.9104477611940298,0.45437270211095965,0.98662955,0.57823515
Galnt18,38.50328,1.1813267,0.0,0.0,0.9853364755171511,0.5989176684430123,1.4427351,0.8859339
Klhl3,38.485767,1.0143569,0.0,0.0,0.945273631840796,0.5032841739992564,0.8548854,0.5121425
Palmd,38.457134,0.9859465,0.0,0.0,0.7423409269442263,0.2778122030817532,0.4029102,0.22355509
Nectin3,38.437645,1.0571593,0.0,0.0,0.800471327572663,0.35295575659933076,0.6865971,0.3881857
Man1a,38.435837,1.1641124,0.0,0.0,0.940560356114166,0.4963440327178089,1.2566677,0.7522207
Aff3,38.431408,1.1312555,0.0,0.0,0.9918826918041372,0.6493989341925889,1.5423073,0.9850207
Ulk4,38.405796,0.96834475,0.0,0.0,0.871694160775072,0.3931094311562771,0.55855155,0.32379836
Gm41361,38.331814,1.1011485,0.0,0.0,0.6870908614820633,0.23703887305324906,0.30127665,0.1517667
Msra,38.27232,1.1879948,0.0,0.0,0.99528672427337,0.6997975792126244,1.935417,1.2813264
Tbc1d1,38.25153,0.93388957,0.0,0.0,0.8078030898140874,0.33812533564671376,0.49520868,0.28926402
Cacnb2,38.246735,1.2844452,0.0,0.0,0.9973815134852055,0.74623042921469,2.385461,1.6192831
Osbpl6,38.232468,1.0891442,0.0,0.0,0.9848127782141922,0.6244474738711943,1.350504,0.8518674
