names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CTX (for_DEGs),mean_expr_Rest (for_DEGs)
Laptm4a,18.943636,-0.25948814,4.983311911695098e-80,2.0263557970225074e-79,0.565593087195601,0.27665551286817863,0.2110554,0.2478631
Tmem50a,18.428942,-0.2775717,7.69728141813938e-76,3.043796198755043e-75,0.534433097669547,0.25967695294749454,0.19088456,0.22708753
Fis1,17.972813,-0.29241204,3.1816541550259686e-72,1.225853844931858e-71,0.4982979837653836,0.24013715041103814,0.1682991,0.20251079
Tmem59l,17.942862,-0.3009469,5.457022396664947e-72,2.0977137596335783e-71,0.5514532600157109,0.2764076506795555,0.20645392,0.24881172
Ap2m1,17.936792,-0.3302587,6.086981338586738e-72,2.339204641988353e-71,0.49803613511390415,0.2400958400462676,0.17180331,0.21160732
Enpp2,17.872618,-0.28776556,1.927340822080562e-71,7.38768158192649e-71,0.6902330452998167,0.37617218160036353,0.44928342,0.52614516
Plekhg1,17.72097,-0.33512563,2.888889228751337e-70,1.0971654215766562e-69,0.4954176485991097,0.24191349609617052,0.26014104,0.31831098
Wscd1,17.709982,-0.28581595,3.5118240683701835e-70,1.332994952918588e-69,0.45352186436239855,0.21134382616598504,0.15894789,0.19063929
Ccp110,17.576744,-0.36046195,3.7130035429400453e-69,1.398491802618433e-68,0.46478135637601464,0.22187796918246788,0.16976517,0.21312846
Lgmn,17.51108,-0.41269132,1.1793463410996772e-68,4.43203303291585e-68,0.5380989787902593,0.27025240632874786,0.2058988,0.26569924
Phldb1,17.510376,-0.4162072,1.1940393343311127e-68,4.486622418329883e-68,0.47158942131448023,0.22770273061511134,0.20253001,0.26203412
Ankrd44,17.461,-0.27549565,2.839146730543194e-68,1.0642839376352626e-67,0.6006808064938466,0.3125129094889908,0.2953522,0.34776324
Nfe2l1,17.418383,-0.2616642,5.984581161422597e-68,2.2405698175759394e-67,0.5538098978790259,0.2821497913826579,0.20543142,0.24169563
Tkt,17.416708,-0.27627933,6.1621483529595095e-68,2.306727866314043e-67,0.4341450641529196,0.20188375263353575,0.14237443,0.16999836
Nars,17.415497,-0.30109438,6.29399648964845e-68,2.3554273771149562e-67,0.5483110761979576,0.2792167554839509,0.19958186,0.24071394
Ndufa12,17.367613,-0.36592507,1.451410665620308e-67,5.42110155479812e-67,0.5244828489133281,0.26165985045647955,0.1852587,0.23292789
Sec11c,17.35215,-0.33466464,1.8999936092446392e-67,7.09067059450048e-67,0.49227546478135636,0.2420787375552526,0.1736962,0.21448235
Rnf187,17.31686,-0.2728099,3.509886366335078e-67,1.3082347990487384e-66,0.5014401675831369,0.24823398190606022,0.17375293,0.20641412
Ndufv3,17.29066,-0.3113822,5.5314696439727695e-67,2.0597365484139182e-66,0.5077245352186436,0.25224108728880074,0.17857933,0.2172202
Ndufb3,17.281942,-0.30027404,6.434392007153888e-67,2.394627607094529e-66,0.5200314218381775,0.2614119882678564,0.1906765,0.23005773
