names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CA1-ProS Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Cacnb2,65.32747,1.9308897,0.0,0.0,0.9183190292986091,0.7629113717823395,2.758291,1.5840034
Gm10754,63.18281,3.0810406,0.0,0.0,0.8185853802900266,0.25240306288693387,1.1305991,0.22143573
Atp2b1,62.862984,1.4497179,0.0,0.0,0.9769162474104764,0.8882779406972955,2.8155894,1.9093537
Gm2164,60.67241,3.0203345,0.0,0.0,0.8026043208049719,0.23973607038123168,1.2128354,0.25560477
Pex5l,60.663296,2.0492034,0.0,0.0,0.9186149748446286,0.7615672857608341,2.7889605,1.5450253
Hs6st3,60.11718,2.2108688,0.0,0.0,0.9218703758508434,0.7769224503095471,3.2090106,1.8133678
Galntl6,59.70963,2.493101,0.0,0.0,0.9351879254217224,0.7969208211143695,3.3669956,1.7870681
Ctxnd1,58.9981,3.2244563,0.0,0.0,0.7463746670612608,0.1830808080808081,0.8907826,0.14301589
Cntnap2,58.86185,1.7326317,0.0,0.0,0.9618230245634803,0.9077875529488433,3.794735,2.6446908
Epha6,58.301796,1.7267843,0.0,0.0,0.9511689849067771,0.8769143043336591,3.5531294,2.4202611
Iqgap2,57.62987,2.1891305,0.0,0.0,0.8875406925125777,0.5058243727598566,1.6592447,0.6591398
Grin2a,57.299572,1.5692701,0.0,0.0,0.9408108907960935,0.8210329097425871,3.121591,2.1170433
Ryr3,56.763657,1.7899448,0.0,0.0,0.9017460787215152,0.6949332029977191,2.349295,1.3193306
St6galnac5,56.67643,1.6734766,0.0,0.0,0.9150636282923942,0.6943222548061257,2.1714332,1.2343477
Trpc4,56.07524,2.0158012,0.0,0.0,0.8777744894939331,0.49661942000651677,1.4605975,0.59780663
Cadps2,55.87757,2.1557405,0.0,0.0,0.8795501627700503,0.5045210166177908,1.6686175,0.6760421
Grin2b,55.677933,1.1047416,0.0,0.0,0.963894643385617,0.8749592701205604,3.1092846,2.393609
Cnksr2,55.225548,1.3398775,0.0,0.0,0.9541284403669725,0.848525578364288,2.968664,2.1156478
Arl15,55.10435,1.5140309,0.0,0.0,0.9005622965374371,0.7434017595307918,2.1009398,1.2561262
Gria1,54.698814,1.5106844,0.0,0.0,0.9523527670908553,0.8355327468230694,3.1074693,2.1397934
Ppm1e,54.46018,1.3091667,0.0,0.0,0.922758212488902,0.7949657869012707,2.3533049,1.5773106
Cpne8,53.211555,2.1534595,0.0,0.0,0.8150340337377923,0.3805799934832193,1.1396128,0.39053395
Runx2,52.735813,1.8992282,0.0,0.0,0.8434448061556673,0.4711225154773542,1.1900617,0.4782134
Sema3e,52.70201,2.1438096,0.0,0.0,0.8271678011245931,0.3852639296187683,1.2179586,0.43088245
Dmd,52.476677,1.1640575,0.0,0.0,0.931636578869488,0.8671391332681655,2.935328,2.192291
Slc8a1,52.319145,1.2446002,0.0,0.0,0.9440662918023084,0.8677908113391984,2.9543116,2.160555
Ndst3,52.05578,2.0807652,0.0,0.0,0.8410772417875111,0.4257086999022483,1.3027331,0.49064383
Hcn1,51.94417,1.6300343,0.0,0.0,0.9171352471145309,0.7257657217334637,2.384098,1.430817
Man1a,51.58027,2.0243442,0.0,0.0,0.8712636874815034,0.5152329749103942,1.6485234,0.70914954
Entrep2,51.463337,1.5263019,0.0,0.0,0.8937555489789879,0.657624633431085,1.8243794,1.0313697
Cttnbp2,50.61978,1.1964785,0.0,0.0,0.9144717372003551,0.802297165200391,2.4270685,1.7057343
Msra,50.613598,1.367554,0.0,0.0,0.894939331163066,0.7204708374063212,2.042032,1.2806557
