names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CA1-ProS Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Zfp710,5.021634,-0.32138947,5.123369054254068e-07,2.690344469177386e-06,0.3586860017756733,0.2867383512544803,0.20162238,0.2461786
Ifitm10,4.309129,-0.2717953,1.638986091806339e-05,7.400362340251441e-05,0.1846700207161882,0.1332274356467905,0.093463294,0.111792356
Paqr8,3.90781,-0.2932936,9.313647286563042e-05,0.0003893720258950355,0.34033737792246227,0.27920332355816224,0.19028836,0.2286081
St6gal1,3.5186884,-0.39624026,0.0004336858526315598,0.0016788847226926974,0.3850251553714117,0.3151270772238514,0.22617273,0.28818902
Plekhg1,3.510619,-0.46735093,0.0004470647375596303,0.0017284358990255061,0.33382657591003256,0.26922450309547086,0.241353,0.32019794
Bcan,3.344367,-0.45053947,0.0008247057606834007,0.0030803230177318566,0.23764427345368452,0.19000488758553274,0.14048976,0.18741424
Folh1,3.2566926,-0.3903227,0.0011271845816105228,0.004146693552556784,0.12932820361053565,0.090623981753014,0.069194764,0.089752965
Prex1,3.2283893,-0.37019023,0.001244894064428383,0.004552920036911754,0.3279076649896419,0.27280873248615184,0.17194426,0.21711928
2610203C22Rik,3.2275348,-0.40314794,0.001248618277732178,0.004564676615328383,0.1488606096478248,0.11078527207559466,0.067348175,0.08812811
Ugp2,3.0961285,-0.26419187,0.0019606539153259987,0.006988958703211672,0.4163953832494821,0.35341316389703487,0.24902157,0.29236835
Mknk1,2.9503038,-0.2578704,0.0031746171968559515,0.011002446031151736,0.2263983427049423,0.18788693385467578,0.09942922,0.11778326
Lrig1,2.874574,-0.29003233,0.00404572875584218,0.013771057976878562,0.150636282923942,0.11603942652329749,0.068744466,0.083428964
P2rx7,2.795556,-0.42089215,0.00518105017360044,0.017324748517912502,0.13761467889908258,0.1039426523297491,0.061321367,0.08126998
