names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_LSX Nkx2-1 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Trpm7,-4.0662837,-4.4623823,4.7768797204465826e-05,0.04936721464938449,0.08333333333333333,0.7173967548980981,0.060957193,0.86945486
Pde10a,-4.0700617,-4.350583,4.700072391543577e-05,0.04936721464938449,0.08333333333333333,0.7457287152118629,0.14577526,1.435486
Rev3l,-4.0790854,-4.160371,4.521320065650124e-05,0.04936721464938449,0.08333333333333333,0.7436870948099861,0.09578428,1.0287057
Mir99ahg,-4.113033,-3.464029,3.904945352113475e-05,0.04561994852664742,0.25,0.8754253375837243,0.5071881,2.1150472
Med13l,-4.114412,-4.4807043,3.881681571748128e-05,0.04561994852664742,0.08333333333333333,0.723557434005516,0.0652356,0.9183148
Setd5,-4.13203,-3.5172524,3.59573512007329e-05,0.04561994852664742,0.16666666666666666,0.775815752713206,0.16233079,1.104604
Phf21a,-4.1441517,-4.0628023,3.4107418992852285e-05,0.04561994852664742,0.08333333333333333,0.7738099502131165,0.12027213,1.142899
Dtna,-4.1496305,-4.02708,3.330125684430252e-05,0.04561994852664742,0.16666666666666666,0.7540026505247323,0.1261928,1.1608939
Apba1,-4.1609106,-4.744948,3.1698145084271684e-05,0.04561994852664742,0.08333333333333333,0.7295748415057846,0.0652356,1.0323265
Csmd2,-4.180498,-5.1031957,2.9087108309124298e-05,0.04561994852664742,0.08333333333333333,0.7259214155234787,0.0652356,1.1990892
Cask,-4.2063885,-4.6856794,2.594839677358023e-05,0.043577088831631305,0.08333333333333333,0.7366667860596726,0.0652356,1.0060679
Tmem135,-4.217436,-30.30571,2.4709614792163396e-05,0.043577088831631305,0.0,0.7030695941831727,0.0,0.84465224
Herc2,-4.231491,-4.5985594,2.3214723765194402e-05,0.043577088831631305,0.08333333333333333,0.7411082058812994,0.0652356,0.96818846
Fto,-4.2355375,-4.5736856,2.280056195620374e-05,0.043577088831631305,0.08333333333333333,0.7424692861492174,0.0652356,0.95753187
Ssbp2,-4.246388,-3.9375575,2.1724446648677232e-05,0.043577088831631305,0.16666666666666666,0.772950320570221,0.16101988,1.3020774
Setbp1,-4.2522426,-3.9366355,2.116403239025323e-05,0.043577088831631305,0.16666666666666666,0.7783946416418926,0.18745454,1.4248123
Pcmtd1,-4.2601924,-30.381878,2.0425099199157886e-05,0.043577088831631305,0.0,0.7101973566388481,0.0,0.87510526
Dennd1a,-4.261983,-3.8314507,2.026209592441627e-05,0.043577088831631305,0.16666666666666666,0.8290053368673663,0.23279905,1.5542637
Enox1,-4.292081,-4.471686,1.7700648499006255e-05,0.043577088831631305,0.08333333333333333,0.7870625738744225,0.1614207,1.5865359
Cdh10,-4.299225,-5.011086,1.7139652545887235e-05,0.043577088831631305,0.08333333333333333,0.7559368172212472,0.09578428,1.4449196
Alcam,-4.3177743,-31.128828,1.576105504135905e-05,0.043577088831631305,0.0,0.7197965543178481,0.0,1.2083844
Pkp4,-4.359833,-5.0719337,1.3016202013105415e-05,0.043577088831631305,0.08333333333333333,0.7535370178014972,0.060957193,1.1359525
C130071C03Rik,-4.3607817,-4.5043273,1.2959874348229727e-05,0.043577088831631305,0.08333333333333333,0.7773559224900606,0.12027213,1.3611176
Tjp1,-4.3935113,-4.365575,1.1153432447534252e-05,0.043577088831631305,0.08333333333333333,0.7986317561517247,0.12649736,1.3296597
Pak5,-4.450126,-31.086344,8.581978462249713e-06,0.043577088831631305,0.0,0.7418603818188331,0.0,1.1878235
Chl1,-4.4864373,-31.076757,7.24240347893885e-06,0.043577088831631305,0.0,0.747913607220889,0.0,1.1832061
