names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_TH Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Plcb1,-3.936111,-2.1574986,8.28126898097668e-05,0.0475712185155291,0.6923076923076923,0.870796144234202,1.0713824,2.2579305
Dlg2,-3.976696,-1.0281256,6.987941155106126e-05,0.04579658020431746,1.0,0.9552302749018208,3.0310588,3.7187958
Ryr2,-4.023625,-2.838904,5.730912773110225e-05,0.03948451954191583,0.5384615384615384,0.8036772581220992,0.58260435,1.8957063
Caln1,-4.061415,-4.5927377,4.8776126097436626e-05,0.03476961458447199,0.15384615384615385,0.7019635844341306,0.09081261,1.1920564
Phactr1,-4.092793,-2.8403869,4.26208632145841e-05,0.03476961458447199,0.5384615384615384,0.8891824348446983,0.87060523,2.3927567
Pde1a,-4.1063895,-3.6846957,4.0189128483306315e-05,0.03476961458447199,0.23076923076923078,0.7621920742591931,0.27666008,1.6289189
Dscaml1,-4.1194205,-3.80333,3.7982600289213875e-05,0.03476961458447199,0.15384615384615385,0.7368439842913245,0.16149528,1.2374758
Slc9a9,-4.128594,-6.373263,3.6498826893162864e-05,0.03476961458447199,0.07692307692307693,0.6856836843984291,0.018564725,0.93741024
Lrrc4c,-4.3489223,-2.326924,1.3680813016469914e-05,0.020424010214532103,0.7692307692307693,0.914601927882899,1.2652904,2.6221066
Dlgap2,-4.6080356,-4.998547,4.06491451990724e-06,0.008850741244486251,0.07692307692307693,0.8123884327026062,0.20790397,2.126759
Zeb2,-4.693252,-3.939597,2.688960304510611e-06,0.007225236338220011,0.23076923076923078,0.858871831488754,0.371378,2.0669413
Tcf4,-5.0744286,-3.1105072,3.886621255349875e-07,0.0025818892939992984,0.6923076923076923,0.9331667261692252,1.011559,2.779654
