names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_TH Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Ntng1,5.3900385,4.2723575,7.044266665450434e-08,0.0018927944530065318,0.9230769230769231,0.5695465905033916,3.4257905,0.9319053
Synpo2,5.2090774,7.0538354,1.897817939141465e-07,0.0022725375415647456,0.8461538461538461,0.06415565869332382,1.8861912,0.041241635
Lef1,5.15493,6.282417,2.537258140935704e-07,0.0022725375415647456,0.8461538461538461,0.04034273473759371,1.4091758,0.03896164
Ptpn4,5.0339637,2.577551,4.804408809079454e-07,0.0025818892939992984,0.9230769230769231,0.7061049625133881,2.2446072,0.88102067
Kcnip4,4.9591208,2.1097913,7.081301534561521e-07,0.0031712428705611344,1.0,0.9525883612995358,5.1402674,3.6971111
Tcf7l2,4.8565865,4.5531073,1.1942667892336395e-06,0.004584278375243984,0.8461538461538461,0.16519100321313818,1.7808412,0.19079319
Cit,4.7868357,4.077125,1.6943137979544213e-06,0.0056907764688794125,0.8461538461538461,0.4337736522670475,2.342967,0.4431665
Vav3,4.7554584,3.9963317,1.979967781689607e-06,0.005911303810444415,0.8461538461538461,0.39685826490539095,2.1150527,0.37623262
Robo1,4.665698,2.5672336,3.0757115105381294e-06,0.007513124389832686,0.9230769230769231,0.7920028561228133,3.3866932,1.7613364
Foxp2,4.597199,3.89399,4.282085455091971e-06,0.008850741244486251,0.8461538461538461,0.20182077829346662,1.5362741,0.21940354
Zfhx3,4.5325236,3.895807,5.8283151233855775e-06,0.011186201954669319,0.8461538461538461,0.2563727240271332,1.8586175,0.31025657
Kcnd2,4.4402084,1.6836858,8.987171488194661e-06,0.016099019859186037,1.0,0.9123527311674402,3.9884632,2.8615923
Adcy8,4.414558,2.3681517,1.0121660885980807e-05,0.016998064250394018,0.9230769230769231,0.556087111745805,1.8142128,0.6905731
Gabbr2,4.348905,1.8054447,1.3681882540438328e-05,0.020424010214532103,0.9230769230769231,0.7255980007140307,2.1199648,1.1305327
Snhg14,4.3348284,1.6306577,1.4587399920611173e-05,0.020629654519306432,1.0,0.8156015708675473,3.0285697,1.9949033
Rnf220,4.2681127,3.523239,1.97133975115752e-05,0.026076497099751152,0.8461538461538461,0.3973223848625491,2.0554698,0.46521077
Inpp4b,4.2606883,2.9505363,2.0379845146809608e-05,0.026076497099751152,0.8461538461538461,0.5905033916458408,2.5091271,0.900575
Lhfp,4.221149,3.7631652,2.4306015597351814e-05,0.029686483595492877,0.7692307692307693,0.26340592645483757,1.4794122,0.22290416
Ccdc136,4.190046,3.534605,2.7889806324354863e-05,0.03258256938849631,0.7692307692307693,0.3099607283113174,1.3146116,0.21107401
Clmn,4.134921,2.4571595,3.550768975839413e-05,0.03476961458447199,0.8461538461538461,0.37607997143877187,1.1422185,0.32826656
Kcnc2,4.122404,3.17637,3.749385542171318e-05,0.03476961458447199,0.8461538461538461,0.6025348089967869,2.8674798,1.0421829
Cntn6,4.117449,2.7490444,3.8308934190721186e-05,0.03476961458447199,0.8461538461538461,0.4079971438771867,1.7306921,0.52524704
Prkch,4.1098704,4.9248843,3.95881331643665e-05,0.03476961458447199,0.6923076923076923,0.04651910032131382,0.79548997,0.03923547
Amotl1,4.0859685,4.761984,4.389331982219825e-05,0.03476961458447199,0.6923076923076923,0.06897536594073544,0.8139622,0.04528011
Rora,4.0760407,2.0207229,4.580895799537274e-05,0.03476961458447199,0.8461538461538461,0.8007854337736523,2.8783522,1.6363498
Cntn4,4.075012,2.5507295,4.60119417915557e-05,0.03476961458447199,0.8461538461538461,0.650232059978579,2.7293131,1.2367436
Plcb4,4.0637984,3.2537847,4.828049623397304e-05,0.03476961458447199,0.7692307692307693,0.33048911103177436,1.5078123,0.31385583
Ptpn3,4.063404,3.317862,4.8362175929792546e-05,0.03476961458447199,0.7692307692307693,0.4550517672259907,1.7334964,0.38346133
Inpp5a,4.0595293,2.9163096,4.9171766066614645e-05,0.03476961458447199,0.7692307692307693,0.36722599071760087,1.1485007,0.25096118
Slc17a6,3.9903958,4.184949,6.596313126806351e-05,0.04431073342932166,0.6923076923076923,0.1038200642627633,0.8109296,0.066466324
Xkr4,3.9534457,1.0510545,7.703373235565479e-05,0.0475712185155291,0.8461538461538461,0.8606569082470547,2.9269676,2.254259
Nell1,3.9510624,2.6682882,7.780501923048804e-05,0.0475712185155291,0.8461538461538461,0.5034987504462692,2.1389134,0.7785486
Spock3,3.949485,2.4672873,7.831952054074805e-05,0.0475712185155291,0.8461538461538461,0.5709746519100322,2.1079957,0.83626205
Gulp1,3.937071,4.0536976,8.248215338493202e-05,0.0475712185155291,0.6923076923076923,0.07468761156729739,0.83789074,0.076009735
Tox,3.9349623,2.8327746,8.320979792444613e-05,0.0475712185155291,0.8461538461538461,0.4129596572652624,1.888422,0.580695
Adarb1,3.9262004,2.8557441,8.629823437161781e-05,0.048309032449278554,0.7692307692307693,0.5240271331667262,1.6532185,0.45963335
