names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_IC Tfap2d Maf Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Elavl3,-3.806076,-2.3869998,0.00014118895392187838,0.04991772620895884,0.23529411764705882,0.7357240094576198,0.29440606,1.0262651
Slc44a1,-3.8104088,-2.653864,0.00013873713951675708,0.04970489251753683,0.17647058823529413,0.7104320412696138,0.21571185,0.9223233
Nfib,-3.8125453,-2.6237803,0.000137543074141323,0.04970489251753683,0.23529411764705882,0.8187647775309881,0.55040044,1.7090632
Ano3,-3.8174798,-2.9720137,0.00013482185485884178,0.04962552383639834,0.11764705882352941,0.668016049294261,0.22162107,1.0806665
Dtna,-3.8428898,-2.386049,0.00012159413116856578,0.04537825422915781,0.23529411764705882,0.7540660600415562,0.35032076,1.1609428
Dis3l2,-3.843642,-2.9026465,0.00012122185150772991,0.04537825422915781,0.11764705882352941,0.672601561940245,0.14138405,0.75877666
Gm3764,-3.8539624,-29.45159,0.0001162214772683998,0.04461244420288433,0.0,0.5398366411119868,0.0,0.5505437
Brwd1,-3.8564146,-2.3686724,0.00011506228045466782,0.04461244420288433,0.17647058823529413,0.6982159489861718,0.22347844,0.8300028
Dcaf8,-3.8588216,-29.123901,0.00011393503040511029,0.04461244420288433,0.0,0.540517303145375,0.0,0.46059543
Trpm7,-3.869413,-2.4042199,0.00010909773892903297,0.043753078283927105,0.23529411764705882,0.7174177831912302,0.23251924,0.86949515
Cdh2,-3.8721812,-2.4147959,0.00010786576433457126,0.043753078283927105,0.23529411764705882,0.7654940173389697,0.39269042,1.2710716
Cul1,-3.8736553,-3.2260778,0.00010721497314130568,0.043753078283927105,0.11764705882352941,0.6417568245324926,0.09456379,0.6565042
Abcc5,-3.88199,-2.9392025,0.0001036051329190807,0.04349796752399529,0.11764705882352941,0.6811993981514652,0.1434178,0.7806021
Tmod2,-3.8840811,-2.8270948,0.00010271758565208977,0.04349796752399529,0.11764705882352941,0.6637171311886508,0.14132833,0.731049
Tra2b,-3.8902042,-4.635161,0.00010015988486637915,0.04340800171547755,0.058823529411764705,0.5776671204413556,0.027216991,0.5221347
Snca,-3.9051132,-2.6597133,9.418128197043483e-05,0.041486082730255475,0.11764705882352941,0.6849967758114208,0.21899177,0.9349354
Gabra4,-3.90567,-3.7846868,9.396472696655531e-05,0.041486082730255475,0.058823529411764705,0.6135272623056531,0.07117422,0.701441
Gpr158,-3.917284,-2.4441116,8.955218232282108e-05,0.04078418879685089,0.29411764705882354,0.7531704521028875,0.43891454,1.3859471
Amph,-3.9186683,-2.480077,8.903958573811766e-05,0.04078418879685089,0.23529411764705882,0.74575481837071,0.3150849,1.1205122
Clasp1,-3.9317567,-3.0170717,8.432735132731129e-05,0.03975220930113779,0.11764705882352941,0.6694848463136778,0.1304468,0.7551698
Dlgap1,-3.9365861,-2.2089567,8.264899401817667e-05,0.03965675837979298,0.5882352941176471,0.9192878125671706,1.582691,2.938298
Agfg1,-3.9367816,-4.409265,8.258169285085457e-05,0.03965675837979298,0.058823529411764705,0.5883069427527405,0.034737505,0.5602319
Mmp16,-3.9373984,-2.5314243,8.236977444095902e-05,0.03965675837979298,0.29411764705882354,0.7890305939671849,0.5176847,1.5934297
Zbtb16,-3.9377747,-5.1385875,8.224080825993638e-05,0.03965675837979298,0.058823529411764705,0.5801389983520814,0.027216991,0.6790092
St3gal3,-3.9439878,-29.2551,8.01377106294789e-05,0.03965675837979298,0.0,0.5524468008884431,0.0,0.49513045
Usp25,-3.9454472,-4.8697653,7.965118864876774e-05,0.03965675837979298,0.058823529411764705,0.5830765923909149,0.027216991,0.59150046
Crebbp,-3.948426,-2.2249918,7.866673554374926e-05,0.03965675837979298,0.23529411764705882,0.770043705667407,0.34352055,1.0703264
Kdm4c,-3.9520066,-2.963505,7.74986256140745e-05,0.03965675837979298,0.11764705882352941,0.6866088701010246,0.14452016,0.7942644
Ano4,-3.955241,-3.5878868,7.645751654088637e-05,0.03965675837979298,0.11764705882352941,0.6426524324711614,0.12760471,0.9694744
Reps2,-3.9557226,-2.9058874,7.630369609323492e-05,0.03965675837979298,0.17647058823529413,0.6871820591817726,0.17751224,0.89845675
Dscaml1,-3.965366,-2.7972288,7.328343323898297e-05,0.03965675837979298,0.17647058823529413,0.7387690764490936,0.30267918,1.2404174
Acyp2,-3.9735801,-4.2808065,7.080031517269433e-05,0.03965675837979298,0.058823529411764705,0.6008454538941033,0.04575294,0.64710605
Tcf4,-3.9737306,-1.8122183,7.075558784988723e-05,0.03965675837979298,0.7058823529411765,0.9340832557139787,1.6707549,2.7823899
Spock1,-3.9742422,-4.1331983,7.060371481088612e-05,0.03965675837979298,0.058823529411764705,0.6117002221107688,0.08524356,0.9405625
Smarca4,-3.974874,-4.7189956,7.041653269137152e-05,0.03965675837979298,0.058823529411764705,0.58809199684746,0.027216991,0.54618293
Ylpm1,-3.9777024,-2.4670699,6.958440892469845e-05,0.03965675837979298,0.23529411764705882,0.7450025077022283,0.2830581,1.0328511
Ftx,-3.9896626,-3.0610166,6.616734901244002e-05,0.03965675837979298,0.11764705882352941,0.6934513147524539,0.16537687,0.9166338
Nlk,-3.99902,-2.4763894,6.360525272328853e-05,0.03965675837979298,0.23529411764705882,0.7566454109049222,0.33337495,1.1637505
Ints6,-4.0048423,-3.397839,6.205884965788643e-05,0.03965675837979298,0.11764705882352941,0.6445511213011392,0.09456379,0.71558106
Plxna2,-4.0083327,-2.8585434,6.114894369721941e-05,0.03965675837979298,0.058823529411764705,0.6583076592390915,0.16200207,0.8221999
Dlg1,-4.013824,-2.4971485,5.974293549755238e-05,0.03965675837979298,0.23529411764705882,0.7752382317116859,0.35502562,1.2256199
Osbpl1a,-4.023016,-29.485044,5.7457598029146564e-05,0.03965675837979298,0.0,0.563516515010389,0.0,0.56042784
Luc7l3,-4.025273,-2.953282,5.690934448728922e-05,0.03965675837979298,0.17647058823529413,0.6805545604356237,0.13439873,0.7486426
Ttll5,-4.035202,-4.8985147,5.455536112003763e-05,0.03965675837979298,0.058823529411764705,0.5949702658164362,0.027216991,0.60044545
Ube2e2,-4.0536914,-2.7170208,5.041570345588888e-05,0.03965675837979298,0.29411764705882354,0.8385039764992477,0.5747809,1.8094634
Ehbp1,-4.0692325,-2.4829638,4.716830284445522e-05,0.03965675837979298,0.23529411764705882,0.7740918535501898,0.35220298,1.2120216
