names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OEC (for_DEGs),mean_expr_Rest (for_DEGs)
Eml2,-2.9753468,-0.9577394,0.002926574410525189,0.04999177012766168,0.125,0.441410856591502,0.18393235,0.33089224
Gramd1a,-2.9757185,-27.381657,0.0029230306445129518,0.049962998357546445,0.0,0.27184361934031376,0.0,0.16115254
Cops2,-2.9771268,-1.3422543,0.002909637147187317,0.0497657225620135,0.075,0.3705106671907944,0.105052724,0.24752562
Cerk,-2.9793663,-2.382832,0.0028884530937850496,0.04943486282165878,0.025,0.3037558517671443,0.045247607,0.21625082
Cand1,-2.9803345,-1.8595619,0.002879338587152505,0.04931027905467675,0.075,0.3616838794982668,0.0740102,0.24589822
Prelid3a,-2.980618,-1.9863812,0.0028766736573356813,0.04929605942130724,0.05,0.3350248365078798,0.055936597,0.20535469
Pkp2,-2.9811265,-2.6022298,0.0028719008001823203,0.04924567613331139,0.05,0.32916413536790196,0.04976458,0.26989526
Eml4,-2.9811852,-0.84015954,0.002871350551338151,0.04924567613331139,0.25,0.6342064825072365,0.43564788,0.6817887
Zkscan2,-2.982662,-1.8629409,0.0028575342726160106,0.04907605572407018,0.05,0.3374191473394561,0.062140632,0.20961756
Chchd6,-2.9826717,-0.9569723,0.0028574429767357517,0.04907605572407018,0.175,0.5146338848586642,0.25192356,0.44222158
Neto2,-2.9827304,-1.4320846,0.0028568952573744533,0.04907605572407018,0.15,0.44773612550477077,0.18892547,0.44540802
Epm2a,-2.9851754,-1.885044,0.0028341586404322014,0.04878529318924616,0.05,0.336990315548726,0.06460752,0.22035177
Gm50304,-2.9858892,-27.365126,0.002827550783804816,0.048702749718484234,0.0,0.2727727548868956,0.0,0.15945493
Bcl11b,-2.9867108,-1.1708362,0.0028199646317904102,0.04860323903541265,0.225,0.5487974841868277,0.334593,0.6390338
Ap1s1,-2.9890187,-27.591545,0.0027987505105055667,0.04826856624986173,0.0,0.27305864274738234,0.0,0.18419269
Frmpd3,-2.9928033,-3.3024118,0.0027642782045129047,0.04770465982996901,0.025,0.30271950827287997,0.02299916,0.20663269
Med15,-2.9936051,-1.1546092,0.002757023975506869,0.047610047700430314,0.125,0.44083908087052853,0.15570994,0.318521
Scn1b,-2.995835,-2.0076818,0.0027369449834902045,0.04732413880719549,0.075,0.36096915984704997,0.0773363,0.28015774
