names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OEC (for_DEGs),mean_expr_Rest (for_DEGs)
Adamts12,5.5265746,6.057229,3.265434413416401e-08,2.541135406084975e-06,0.525,0.033806239502555124,1.1239707,0.030715097
Gja1,5.5262127,3.832751,3.272172871251959e-08,2.541135406084975e-06,0.575,0.09009041203587893,0.9541613,0.10620081
Gulp1,5.5093136,4.6273894,3.6023539750653655e-08,2.765578608857325e-06,0.55,0.07429510774398743,1.0727402,0.07493894
Plcl1,5.4367104,1.7592424,5.427324022711437e-08,4.039673032971089e-06,0.875,0.6845584819354608,2.1903553,1.2074757
Cyp2j9,5.419958,5.157652,5.9613020299341e-08,4.388498234091213e-06,0.525,0.04710002501518779,0.9314059,0.04218676
Spon1,5.409533,1.9323176,6.318928360349974e-08,4.601344310097664e-06,0.75,0.49290640746167314,1.3390803,0.5525567
Fap,5.408555,5.4132586,6.353523697502528e-08,4.614031939240349e-06,0.525,0.0561054926205196,0.8919818,0.033232357
Sik2,5.395118,1.7389097,6.847852498253434e-08,4.9330240382860525e-06,0.75,0.5891791444805775,1.3073758,0.592138
Gpsm2,5.344714,4.2745414,9.055979067087346e-08,6.420426320122348e-06,0.55,0.117857270485652,0.89153564,0.07171197
0610040J01Rik,5.34313,3.3099227,9.135520171105952e-08,6.4597743946741294e-06,0.6,0.18639888503734411,1.0085868,0.16180235
Dock6,5.3362255,4.7304983,9.490129569003108e-08,6.675386950762134e-06,0.525,0.06210913769074081,0.731588,0.03981752
Gm11149,5.3267393,3.3415327,9.999141953974309e-08,6.976293092456956e-06,0.6,0.2508665975771004,0.9989058,0.15633334
Anks1b,5.316999,1.0621114,1.0549261485604935e-07,7.249581997908047e-06,0.975,0.9024765035914663,3.4750564,2.7719796
Ahcyl2,5.310916,1.4913304,1.0907549031858462e-07,7.457655025089997e-06,0.825,0.7457742200621806,2.0385365,1.2166154
Map4k4,5.2930293,1.765628,1.2030656722347083e-07,8.142663630465142e-06,0.75,0.6342064825072365,1.4551821,0.6761014
Col5a2,5.290555,4.9134545,1.2194562234695995e-07,8.232861488600034e-06,0.525,0.07583175499410356,0.9889785,0.054514136
Vtn,5.284707,5.7805243,1.2590609844479918e-07,8.478939511808907e-06,0.5,0.022620876961012042,0.8793465,0.025315773
Peli2,5.281988,2.911467,1.2778935887276838e-07,8.564214773727296e-06,0.625,0.2559768430833006,1.0016948,0.20619419
Mxi1,5.281959,2.762629,1.2780982970839768e-07,8.564214773727296e-06,0.65,0.3730479219526141,1.1623927,0.28052497
Vat1l,5.2814894,3.59843,1.2813779486325506e-07,8.564832208894685e-06,0.575,0.18436193403137618,0.9326518,0.11977517
Nf1,5.2801595,1.0708399,1.2907145699846964e-07,8.584529825616038e-06,0.9,0.7951613479612621,1.7993921,1.2243872
Apcdd1,5.2337556,4.551645,1.661000368205786e-07,1.0859143526445127e-05,0.525,0.08190687202944645,0.8291379,0.05360049
Nnat,5.181836,2.8424284,2.197123229894177e-07,1.3989739617833303e-05,0.65,0.3412071614909052,1.3594594,0.3389774
Grid2,5.174746,1.4124177,2.2822140048494818e-07,1.4462992997713578e-05,0.95,0.8114212200264447,2.6398406,1.7729157
Mast4,5.1522336,1.2770637,2.5740244391636634e-07,1.608465969309945e-05,0.9,0.7612836364935854,1.9731064,1.2684798
Kansl1l,5.1441946,2.0719109,2.686709514744978e-07,1.6672490683879344e-05,0.7,0.5495122038380446,1.3579917,0.5229425
Tasor,5.1118245,1.285698,3.190625045650495e-07,1.948456704014291e-05,0.8,0.6629382124861523,1.2915167,0.7334063
Agmo,5.108685,3.189367,3.2440854580007343e-07,1.976611706496139e-05,0.575,0.1435157059643355,1.0117956,0.17554887
Arl15,5.094544,1.2600728,3.4958190425177595e-07,2.1108462398303863e-05,0.9,0.760711860772612,2.0654416,1.3548584
Adgrl3,5.049362,1.1050435,4.4328713866360774e-07,2.6410477640556853e-05,1.0,0.8822856734445914,3.1061037,2.3903925
Bmp7,5.027006,5.736286,4.981958536949031e-07,2.9356409185925538e-05,0.475,0.021977629274916914,0.67120236,0.017785385
Sox2ot,4.994049,2.1690946,5.912629306046623e-07,3.446254868838888e-05,0.775,0.4654969088375085,1.8717339,0.7987783
Rps6ka5,4.993365,1.7578542,5.933634763714715e-07,3.447644405234179e-05,0.725,0.5311796447843333,1.2193267,0.5336737
Exoc4,4.9745197,0.92891765,6.540965927228445e-07,3.7523790863992845e-05,0.925,0.8405460458135297,2.1689,1.6233394
Spata13,4.9672923,4.0821066,6.789414944653706e-07,3.881522969422236e-05,0.525,0.12378944359075153,1.0000912,0.096642084
Met,4.879208,4.592196,1.0651260053122165e-06,5.823697148035474e-05,0.5,0.09859557588535897,0.90520155,0.059253704
Baz2b,4.878983,1.2363434,1.0663412716164693e-06,5.823697148035474e-05,0.825,0.7556373512489726,1.6509426,1.0252258
Rgl1,4.873888,1.6023769,1.0942298904431893e-06,5.939789324486565e-05,0.725,0.5781724618518386,1.2503428,0.59913796
Garem1,4.855082,1.4187092,1.2033691411459533e-06,6.479865495509371e-05,0.75,0.5995068434406604,1.2679031,0.67043734
Vwa8,4.833088,1.3626661,1.3443142644474151e-06,7.152816690238029e-05,0.725,0.5990065396848087,1.1320456,0.5974014
Son,4.7905664,1.1218401,1.6631116447194868e-06,8.762315665414237e-05,0.8,0.7834042096987457,1.6537836,1.0791628
Gpd2,4.7871337,2.1611683,1.6918005573303937e-06,8.861341320753932e-05,0.65,0.4518457634992674,1.0975938,0.36912325
Slc27a1,4.7860093,3.0277917,1.7013030718949938e-06,8.893776953661183e-05,0.575,0.26169460029303504,0.9401494,0.17506541
Diaph2,4.783281,1.0939021,1.7245706652807404e-06,8.980467786064631e-05,0.875,0.7709680877675732,1.8703918,1.2732426
Dock1,4.767682,2.2195065,1.8635735670951269e-06,9.648212282821977e-05,0.65,0.28470857306221636,1.024098,0.32438242
Galnt10,4.754871,3.0299203,1.9857308153792196e-06,0.00010171526032187386,0.55,0.20594646749812387,0.79136735,0.13776529
Nid2,4.7516437,5.8601246,2.017695450647438e-06,0.00010287566747418722,0.45,0.023371332594789695,0.6939136,0.017095225
Hs2st1,4.7172003,1.6906035,2.3911225401109404e-06,0.00011962379800773264,0.725,0.6354929778794268,1.4208206,0.67951757
Phka1,4.716858,2.788162,2.3951471279553466e-06,0.00011962379800773264,0.575,0.25136690133295214,0.94700193,0.20574784
Tle4,4.695157,1.6055179,2.664017493348113e-06,0.00013280547318416289,0.75,0.5819247400207269,1.3987099,0.69428384
Cyp2j6,4.681407,3.774265,2.849123880606267e-06,0.00014124715622119998,0.5,0.11474824000285888,0.7691787,0.08124162
Tspan15,4.6485286,4.1534276,3.343116441194101e-06,0.00016303001592538201,0.475,0.0758674909766644,0.7077097,0.05623205
Mkln1,4.62805,1.150671,3.691248844379315e-06,0.00017806796489851383,0.8,0.7190437051066719,1.4141464,0.87635595
Cpq,4.618251,3.6455986,3.869881424971687e-06,0.00018568520337319504,0.5,0.11499839188078476,0.8908526,0.10870896
Sfxn5,4.6155224,2.372162,3.921077005774861e-06,0.00018780630863666757,0.625,0.4185040917700032,1.13273,0.34104976
Sox10,4.6132536,3.5097106,3.9641419721964245e-06,0.0001891944845344901,0.5,0.1093878426187328,0.83149993,0.10782218
Fras1,4.6101046,2.135196,4.024665030112361e-06,0.00019072795301431944,0.65,0.4011006682628739,1.260145,0.4542526
Lhfpl2,4.578458,3.154203,4.684162673166118e-06,0.00021889295830951927,0.525,0.16449272772754886,0.8069968,0.13051797
Npy,4.5561996,3.431861,5.208740977062011e-06,0.00024041322514633306,0.5,0.12096630096844513,0.87090045,0.121079676
