"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
3.22783683346077e-25,0.737794864765252,1,1,8.67319757150909e-21,"Meg3","Up"
4.25859025992652e-23,0.78955558786083,0.997,0.975,1.14428320284226e-18,"Kcnq1ot1","Up"
7.09524400462379e-22,-1.86348831973724,0.799,0.963,1.90649206404241e-17,"Fth1","Down"
9.63876104608403e-21,-1.06652273968384,0.997,1,2.58993509308278e-16,"Calm2","Down"
8.72903802523701e-20,-1.15281420703052,0.983,0.975,2.34549251738119e-15,"Calm1","Down"
1.27744149066202e-19,-1.30180117834599,0.973,0.975,3.43248528540884e-15,"Nrgn","Down"
5.18869768604473e-16,-1.45637382040072,0.96,0.988,1.39420306824022e-11,"Tmsb4x","Down"
2.55510255798729e-15,-1.28653868848869,0.903,0.938,6.86556057331185e-11,"Atp6v0c","Down"
4.56291942905592e-15,0.915448457821262,0.993,0.887,1.22605645058733e-10,"A330076H08Rik","Up"
1.28875552350211e-14,0.416797952096012,1,1,3.46288609165018e-10,"Snhg14","Up"
1.98453288793589e-14,-0.753447819469243,0.983,1,5.33243986988373e-10,"Atp1b1","Down"
2.10034105266011e-14,-1.61097359241999,0.852,0.925,5.64361640849772e-10,"Actb","Down"
2.38265179349494e-14,-5.30794663280012,0.023,0.275,6.4021853691209e-10,"Ttr","Down"
3.46759005864867e-14,-2.32621831690714,0.302,0.688,9.31741448758897e-10,"Gm20642","Down"
2.00403944897167e-13,-0.493701671348155,1,1,5.38485399938688e-09,"Gpm6a","Down"
2.28699511923996e-13,-0.818818643313133,0.956,0.988,6.14515588539778e-09,"Snca","Down"
5.60751165943079e-13,-3.41966922280945,0.06,0.35,1.50673838288905e-08,"4930567K20Rik","Down"
5.63288180119206e-13,-0.773305269385264,0.993,0.975,1.51355533998031e-08,"Ube3a","Down"
5.72912985930879e-13,-0.616454802435847,0.993,0.988,1.53941719319627e-08,"Rtn1","Down"
8.23286098593912e-13,0.434428225344138,1,1,2.21216974692184e-08,"Kalrn","Up"
8.81808831849659e-13,-1.46305575273175,0.674,0.9,2.36942033118003e-08,"C1ql3","Down"
1.25595573121131e-12,-1.47957571827646,0.711,0.9,3.3747530497648e-08,"Rps29","Down"
2.65764442082571e-12,-1.70318165880149,0.779,0.925,7.14109055875867e-08,"Ppia","Down"
5.40675770225046e-12,0.524475993159359,1,0.988,1.4527957945947e-07,"Arpp21","Up"
1.45198110142231e-11,-1.51532551340935,0.658,0.85,3.90147321952175e-07,"Fau","Down"
3.03480664434419e-11,-1.55281348083826,0.688,0.887,8.15452545335285e-07,"Ubb","Down"
3.75920940096651e-11,-0.542015973930067,0.997,1,1.0100995660397e-06,"Kcnj3","Down"
6.5742487105769e-11,2.40252128560257,0.517,0.112,1.76650062853201e-06,"Banf2","Up"
1.00313074721679e-10,-1.42300054958234,0.634,0.838,2.69541231777153e-06,"Rpl37","Down"
1.01562038494927e-10,0.447399586103637,0.997,0.975,2.72897197435869e-06,"Macf1","Up"
1.11278511066178e-10,-0.483106823378991,1,1,2.99005359234819e-06,"Lrp1b","Down"
1.18513481695068e-10,0.734073275718961,0.987,0.85,3.18445725314648e-06,"B830012L14Rik","Up"
1.31620227115507e-10,2.08434342526154,0.641,0.275,3.53663550259367e-06,"Cux2","Up"
1.8718966562611e-10,0.609750654413265,0.98,0.875,5.02978631537359e-06,"Cplane1","Up"
2.95206251314991e-10,1.09733478364339,0.839,0.462,7.9321919728338e-06,"Speg","Up"
2.96053794549581e-10,0.852308114951627,0.966,0.8,7.95496545954724e-06,"Lars2","Up"
4.28312281472264e-10,0.528114833656804,0.997,0.95,1.15087510031597e-05,"Mapt","Up"
4.92477601090596e-10,0.605438695274676,0.997,0.9,1.32328731413043e-05,"Grin1","Up"
6.69897933841346e-10,-0.253662361185743,1,1,1.8000157482317e-05,"Nrg3","Down"
8.1239202478382e-10,-1.75420079594954,0.47,0.688,2.18289737059412e-05,"Nrg3os","Down"
8.89363523675179e-10,0.484318501879071,1,0.95,2.38971978811521e-05,"Ptprn2","Up"
9.59422186423004e-10,0.664003845159515,0.973,0.825,2.57796741491861e-05,"Ksr2","Up"
1.04810884834254e-09,-1.5008385729387,0.604,0.8,2.8162684754964e-05,"Adarb2","Down"
1.1154648508831e-09,0.554918023389823,0.99,0.863,2.99725405432289e-05,"Fus","Up"
1.21378876090165e-09,0.716914623315712,0.983,0.812,3.26145040054274e-05,"Mical3","Up"
1.38492407609781e-09,-0.668234954081553,0.99,0.988,3.72129099247483e-05,"Ncam2","Down"
1.3863850238771e-09,2.36188746547921,0.477,0.1,3.72521655915776e-05,"Lhx9","Up"
