"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
4.74811875620128e-05,-0.45701976462089,0.088,0.178,1,"Cep95","Down"
4.75606195179019e-05,-0.543500900075308,0.156,0.267,1,"Pcsk1n","Down"
4.91176951573001e-05,-0.73454277893646,0.06,0.136,1,"Rnpep","Down"
5.09434663265717e-05,-1.15310604293909,0.038,0.102,1,"Ndufc1","Down"
5.12508130473513e-05,-0.542390042608724,0.094,0.185,1,"Scg3","Down"
5.20608692514116e-05,-0.629885573484514,0.082,0.169,1,"Sqstm1","Down"
5.22640139976555e-05,-0.437516535768507,0.18,0.307,1,"Tmbim1","Down"
5.24661287003878e-05,-0.922128961191713,0.056,0.129,1,"Pgam1","Down"
5.37285179480922e-05,-0.83063983638256,0.066,0.144,1,"Ndufb5","Down"
5.40226605179989e-05,-0.332656626469316,0.625,0.764,1,"Zfp638","Down"
5.44969390435428e-05,-0.613636028220621,0.126,0.227,1,"Sf3b2","Down"
5.52428781730333e-05,-0.967747885945552,0.054,0.126,1,"Zfp518a","Down"
5.58263560958059e-05,-0.815125773034366,0.042,0.108,1,"Prkar1b","Down"
5.61107553779237e-05,-0.3463197865119,0.2,0.329,1,"Endod1","Down"
5.69218858318047e-05,-0.887762437757993,0.05,0.12,1,"Psmd12","Down"
5.73466433482221e-05,-0.892386552380173,0.038,0.102,1,"Nnat","Down"
5.74529460543245e-05,-0.786760174040562,0.082,0.166,1,"Pag1","Down"
5.78776717183806e-05,-0.6821814935885,0.066,0.145,1,"Gabarapl1","Down"
5.82226737338638e-05,-0.361143915066041,0.176,0.295,1,"Golgb1","Down"
5.82694456274704e-05,-0.336803540525577,0.291,0.444,1,"Gm19500","Down"
5.83441546034152e-05,-0.440959533291826,0.092,0.182,1,"Trerf1","Down"
6.07082368839537e-05,-0.302681061756042,0.176,0.296,1,"Sarnp","Down"
6.22894440864499e-05,-0.582007434001878,0.106,0.199,1,"Stmn2","Down"
6.23469981654641e-05,-0.807225166272196,0.04,0.105,1,"Dtymk","Down"
6.24387199720518e-05,-0.587139523329204,0.07,0.15,1,"Spon1","Down"
6.34891144864011e-05,-0.420556934858495,0.146,0.258,1,"Arl6ip1","Down"
6.42041683866387e-05,-0.61108945235725,0.072,0.153,1,"Gabra5","Down"
6.4927699002182e-05,-0.258209455131324,0.22,0.364,1,"Dbndd2","Down"
6.65256790668186e-05,-0.834353538777955,0.04,0.105,1,"Rnf187","Down"
6.74725417651843e-05,-0.273347732308218,0.12,0.224,1,"Tmem59","Down"
6.75486553590562e-05,-0.832693283025605,0.046,0.114,1,"Tmed7","Down"
6.75594964720218e-05,1.04698298904779,0.152,0.08,1,"Gm28322","Up"
6.87345872350226e-05,-0.436755772721227,0.335,0.477,1,"Slk","Down"
6.95438822257327e-05,-1.14895276547536,0.04,0.104,1,"Cpne6","Down"
6.96154637169393e-05,-0.393079403695449,0.076,0.159,1,"Ctsd","Down"
7.0878937724827e-05,-0.41996728984058,0.068,0.147,1,"Uqcrh","Down"
7.10807644711859e-05,-0.342705313611382,0.148,0.259,1,"Hnrnpd","Down"
7.13433115110514e-05,-0.401289294241325,0.184,0.307,1,"Snca","Down"
7.218802942575e-05,-0.265854637969148,0.228,0.366,1,"Adap1","Down"
7.2967279107308e-05,-0.908546683679261,0.05,0.119,1,"Pdap1","Down"
7.34929810704487e-05,0.390809506217084,0.605,0.591,1,"Kcnq5","Up"
7.36858190922435e-05,-0.260677807102795,0.687,0.813,1,"Nbas","Down"
7.37163782942247e-05,-0.637410378747907,0.112,0.204,1,"Hspa9","Down"
7.38120492210667e-05,-0.524394061401308,0.112,0.209,1,"Srsf6","Down"
7.5095331183521e-05,-0.261848000646386,0.573,0.721,1,"Myo9a","Down"
7.6802602998982e-05,-0.428835212339818,0.271,0.407,1,"Creb1","Down"
7.69471698910933e-05,-0.275006494090718,0.172,0.292,1,"Ppp1cc","Down"
7.70857117684355e-05,-0.504987416208579,0.212,0.338,1,"Garem1","Down"
7.7338579016792e-05,-0.291684409498296,0.343,0.502,1,"Map2k5","Down"
7.94359934342183e-05,-0.664080422573789,0.058,0.132,1,"Ndufb9","Down"
8.1187667959467e-05,0.765975271677766,0.315,0.239,1,"Meis2","Up"
8.13815296414368e-05,-0.589980777948024,0.064,0.141,1,"BC031181","Down"
8.15605342833438e-05,-0.645439831149471,0.058,0.132,1,"Prxl2a","Down"
8.27917622977845e-05,-0.324248333362132,0.246,0.384,1,"Dusp11","Down"
8.66728154856696e-05,-0.429849669499375,0.088,0.173,1,"Luzp1","Down"
8.67422604890753e-05,-0.436566984959001,0.084,0.169,1,"Rpl26","Down"
8.85964786102281e-05,-0.492348540844291,0.096,0.185,1,"Slc33a1","Down"
8.90364145987094e-05,-0.438977087572026,0.088,0.175,1,"Akap8","Down"
8.97224654344863e-05,-0.306584333785289,0.547,0.719,1,"Atrx","Down"
8.98208427531025e-05,-0.499244478676337,0.114,0.212,1,"Siah1a","Down"
9.07443186139819e-05,-0.450780985954121,0.152,0.259,1,"Zfp326","Down"
9.14703940178712e-05,-0.594600365656752,0.08,0.161,1,"Mapk6","Down"
