names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_HPF CR Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Nedd8,-2.7329998,-0.70951045,0.006276037746995482,0.04999618566906866,0.0821917808219178,0.2848732859501759,0.14095803,0.22117235
Rps2,-2.733334,-0.52929014,0.006269670708077485,0.04996027637189858,0.0958904109589041,0.3025701773278771,0.19594513,0.27185714
Rnf216,-2.7337847,-0.3656003,0.00626109824703244,0.04990676650779047,0.2876712328767123,0.5962739608012061,0.46857715,0.57104397
Snx16,-2.7352962,-0.35629657,0.006232416045339736,0.04969288401729338,0.0821917808219178,0.28824754110129946,0.13620785,0.17125833
Rexo1,-2.7354634,-1.9766998,0.006229251730174719,0.04968239655381262,0.0273972602739726,0.21756766458467944,0.03299758,0.12402335
Riok1,-2.7358341,-0.2738715,0.006222240364163991,0.049641210981320204,0.1232876712328767,0.3463995979610884,0.18780123,0.22296855
Ctnnd1,-2.7363646,-0.27606598,0.006212216850640498,0.04957596280864573,0.2328767123287671,0.5061023763371384,0.3642963,0.42669657
G2e3,-2.7363718,-0.44202253,0.006212079643233505,0.04957596280864573,0.136986301369863,0.3614760571469596,0.18327893,0.2415829
Ankrd52,-2.7365608,-1.0307766,0.006208513208212415,0.04957585435502751,0.0410958904109589,0.23512097063680093,0.06576797,0.13005362
Epdr1,-2.7367787,-0.43349272,0.006204400381728552,0.049557740266660585,0.0958904109589041,0.3065546701127145,0.15035363,0.19812241
Got2,-2.7367861,-0.2961139,0.006204263329770191,0.049557740266660585,0.136986301369863,0.3617273314667241,0.20783594,0.24970259
Lrrtm2,-2.7373602,-0.7567715,0.006193444834748722,0.04949966172209939,0.0821917808219178,0.2872783401536363,0.11734446,0.19093387
Marchf2,-2.7374692,-0.59329224,0.006191392609908877,0.049497982573118576,0.1232876712328767,0.34273817215880537,0.1555624,0.22628564
C2cd2l,-2.738334,-1.5812682,0.006175133310887312,0.04938268811414942,0.0410958904109589,0.23451073300308709,0.04942633,0.1411659
Phc2,-2.73861,-0.49166712,0.0061699493708722635,0.04935592128470906,0.2876712328767123,0.593725321272166,0.43885818,0.57360566
Ssu72,-2.7388208,-0.2966768,0.006165995842946152,0.049338984008327307,0.1506849315068493,0.38258310000717927,0.22925957,0.27497476
Lgi2,-2.739039,-26.850256,0.006161908387177515,0.04932096465995228,0.0,0.18533275899203103,0.0,0.114208005
Smurf2,-2.739315,-0.41783416,0.0061567344460099595,0.04930892833510808,0.3013698630136986,0.6256012635508651,0.5155521,0.6424653
Adra1a,-2.7395694,-3.4362223,0.0061519724353252874,0.049285479826234484,0.0136986301369863,0.20062459616627182,0.016328419,0.1639856
Otud7b,-2.7405286,-0.36884978,0.0061340426815817365,0.04915649473728042,0.2465753424657534,0.5221121401392778,0.3926137,0.48299807
