names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_IC Six3 En2 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Sfxn5,-2.9989755,-28.607086,0.0027088905010779715,0.049923105462253155,0.0,0.4200759475531991,0.0,0.34279183
Znrf3,-3.00045,-1.8794236,0.0026958110453152795,0.04971615839919118,0.058823529411764705,0.5085620118936734,0.15330406,0.4759741
Map3k4,-3.0010216,-28.399027,0.0026907549651063413,0.04965699581896112,0.0,0.4203625420935731,0.0,0.30303717
Fam149b,-3.0012774,-28.361868,0.002688495841242673,0.0496494042984128,0.0,0.4203983664111199,0.0,0.29636684
Ube2d1,-3.0012774,-28.458836,0.002688495841242673,0.0496494042984128,0.0,0.4203983664111199,0.0,0.31404132
Ppwd1,-3.0020447,-28.348217,0.0026817288654119678,0.04959260468934589,0.0,0.4205058393637601,0.0,0.29394928
Rab11fip3,-3.0022552,-1.0739243,0.002679873989049745,0.04959243394336546,0.11764705882352941,0.609658236010604,0.33368656,0.6064235
Tdrd3,-3.0040305,-1.8800632,0.0026642865568381998,0.04933795987749306,0.058823529411764705,0.5087411334814071,0.13535628,0.42757007
Satb2,-3.0048578,-29.251612,0.0026570495786115023,0.04923787736364901,0.0,0.42089990685677436,0.0,0.4941869
Gopc,-3.0048578,-28.417702,0.0026570495786115023,0.04923787736364901,0.0,0.42089990685677436,0.0,0.30643705
Plekhm2,-3.0051136,-28.40333,0.0026548163321189915,0.04923787736364901,0.0,0.42093573117432115,0.0,0.30381677
Rnf138,-3.0051136,-28.381779,0.0026548163321189915,0.04923787736364901,0.0,0.42093573117432115,0.0,0.29992464
Thoc1,-3.0053244,-1.6121417,0.0026529784762963043,0.04923787736364901,0.058823529411764705,0.509493444149889,0.15330406,0.4097829
Nsmaf,-3.006904,-28.402483,0.0026392315820363095,0.04907692222097968,0.0,0.42118650139714836,0.0,0.3036637
Frmd4a,-3.0072048,-2.2168667,0.002636620520040061,0.04906232228080085,0.35294117647058826,0.8567027298129971,0.9921904,2.1848912
Dop1b,-3.0080323,-1.8040248,0.0026294522703178016,0.048962843037726494,0.058823529411764705,0.5093501468797019,0.1414015,0.425514
Ppp2r2a,-3.0084383,-1.3348058,0.0026259398348136794,0.04893134768477363,0.11764705882352941,0.6065415203840366,0.28234386,0.6004292
Ppp2r3a,-3.0087392,-1.5355495,0.0026233407966153575,0.04891684053091926,0.11764705882352941,0.6044995342838719,0.27675778,0.6545784
Myrip,-3.0091755,-1.7376292,0.0026195763681501863,0.04888056736958021,0.058823529411764705,0.510209930500824,0.16281845,0.46353325
Dgkz,-3.0096269,-1.6623095,0.0026156873290745382,0.04884191697861907,0.058823529411764705,0.5102815791359174,0.16985548,0.46120918
Stim1,-3.0098977,-1.710279,0.0026133564399792187,0.04883232791532796,0.058823529411764705,0.5098516873253565,0.15330406,0.43317324
Zer1,-3.0112517,-28.373297,0.0026017304531652263,0.0486489194687193,0.0,0.42179551479544314,0.0,0.2984039
Kctd1,-3.0114021,-1.9059565,0.002600441600061668,0.0486489194687193,0.058823529411764705,0.5102457548183708,0.15096632,0.47666657
Pdzd8,-3.0115075,-28.43249,0.002599539750251241,0.0486489194687193,0.0,0.4218313391129899,0.0,0.3091531
Atf7ip,-3.012756,-1.4498725,0.002588868163935519,0.04850968449438452,0.11764705882352941,0.6046786558716056,0.25571412,0.5855694
Fyco1,-3.0127864,-28.419392,0.002588611512230209,0.04850968449438452,0.0,0.4220104607007237,0.0,0.30674577
Rad23b,-3.0131323,-1.8068558,0.0025856616892953005,0.04850968449438452,0.058823529411764705,0.5098516873253565,0.13535628,0.41020733
Pitpnc1,-3.0135987,-2.2924252,0.0025816907040871837,0.04847661021580896,0.058823529411764705,0.5079888228129255,0.15962754,0.6140251
Gphn,-3.013689,-2.3650186,0.0025809227707114493,0.04847661021580896,0.29411764705882354,0.8814215089202551,0.7787091,1.956132
Raver2,-3.015088,-28.913137,0.002569046482161119,0.04830670327198689,0.0,0.4223328795586444,0.0,0.40912637
