names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OB Eomes Ms4a15 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Lsamp,-3.8994415,-1.7819437,9.641483302634973e-05,0.04982051083496186,0.8235294117647058,0.9730242888872968,2.8789248,4.073411
Kcnq3,-3.908107,-2.1397843,9.302209193067925e-05,0.04900987470935983,0.5294117647058824,0.8129612380884144,0.72585833,1.7404711
Nr3c1,-3.9175699,-3.5573227,8.944609211561328e-05,0.04806832990293058,0.058823529411764705,0.6257075302715484,0.08034116,0.6855323
Il1rap,-3.9201274,-3.2105482,8.850213317016907e-05,0.04806832990293058,0.058823529411764705,0.6413627570394784,0.15044685,0.91745347
Pde4b,-3.9222035,-2.8495407,8.774278940908361e-05,0.04806832990293058,0.29411764705882354,0.7639535716844594,0.46207786,1.6550999
Prickle1,-3.9407985,-2.5252833,8.121083374475569e-05,0.0464284064408848,0.23529411764705882,0.7426381027441428,0.37006673,1.2748308
Dcaf6,-3.9465907,-2.5353708,7.927194848322995e-05,0.046305157733573674,0.23529411764705882,0.7194955936089418,0.24436134,0.957323
Chl1,-3.9505022,-2.512088,7.798741625397835e-05,0.046305157733573674,0.29411764705882354,0.7478684531059683,0.33435136,1.1832142
Trpm7,-3.955181,-2.7138476,7.647676469988462e-05,0.046305157733573674,0.11764705882352941,0.7174894318263237,0.19162972,0.86952007
Prkn,-3.9652455,-1.9372202,7.332042091182672e-05,0.04581673743955312,0.47058823529411764,0.8333452747725156,0.75261146,1.6675074
Lingo2,-4.003037,-2.2447708,6.253450579976475e-05,0.04000719454380188,0.6470588235294118,0.8832127247975926,1.3120925,2.6292188
Kctd16,-4.0032325,-2.3163042,6.248281017541433e-05,0.04000719454380188,0.5294117647058824,0.804685820735115,0.8087775,1.9742898
Bicral,-4.0194354,-3.6873446,5.8337771267219084e-05,0.03918839784875442,0.058823529411764705,0.6369205416636813,0.07130321,0.66891
Gas7,-4.0265365,-4.5597816,5.660449068475494e-05,0.03899904268459911,0.058823529411764705,0.6024933725012539,0.03848538,0.655113
Slit3,-4.0273037,-2.8801339,5.642015624438098e-05,0.03899904268459911,0.35294117647058826,0.7269828759762127,0.45186144,1.6497214
Arhgef28,-4.03785,-29.661636,5.394338937099032e-05,0.03899904268459911,0.0,0.5655943254281006,0.0,0.6147879
Diaph2,-4.044274,-2.4949307,5.248558234081599e-05,0.03899904268459911,0.29411764705882354,0.7730887726588809,0.37748224,1.276808
Dapk1,-4.0503364,-3.656534,5.114402182163601e-05,0.03899904268459911,0.058823529411764705,0.6481335530558143,0.09389749,0.80712616
Rbfox1,-4.064042,-1.8555849,4.8230145542873256e-05,0.03811600031579425,0.7647058823529411,0.940782403095221,2.2177691,3.4219236
Grm5,-4.07021,-1.5704075,4.697074321747349e-05,0.03811600031579425,0.8235294117647058,0.9192161639320771,1.8884872,2.8712544
Gtdc1,-4.0713086,-2.5575771,4.6749804002045336e-05,0.03811600031579425,0.29411764705882354,0.7301712402378735,0.2880075,1.0868598
Prkg1,-4.0781536,-2.4677064,4.5394773156518245e-05,0.03811600031579425,0.47058823529411764,0.8107043060829692,0.7231051,1.9268849
Csmd1,-4.0929575,-1.4087255,4.2590623613272746e-05,0.03811600031579425,0.8235294117647058,0.9437916457691481,2.6539516,3.5855443
Uggt2,-4.1384363,-4.7252254,3.4968076256309896e-05,0.03239973134507058,0.058823529411764705,0.609944830550978,0.034146212,0.6516912
Gria3,-4.144424,-2.944002,3.406688101327069e-05,0.03239973134507058,0.29411764705882354,0.8051515368632227,0.5089424,1.8092965
Ano4,-4.1933937,-4.4340963,2.7481211995561537e-05,0.02734889504891624,0.11764705882352941,0.6426524324711614,0.07298187,0.9695077
1700025G04Rik,-4.196312,-4.665695,2.7129632090830622e-05,0.02734889504891624,0.058823529411764705,0.6205130042272695,0.03632046,0.6620729
Ust,-4.225062,-30.005795,2.38875096404113e-05,0.025674295361514065,0.0,0.5918177258723222,0.0,0.73143727
Galnt18,-4.2296205,-3.9420753,2.340860146158385e-05,0.025674295361514065,0.11764705882352941,0.6535430250053736,0.10038906,0.9643634
Sez6l,-4.234931,-4.0477924,2.2862187322933246e-05,0.025674295361514065,0.11764705882352941,0.6462348642258365,0.070466675,0.7918583
Dync1i2,-4.2625675,-2.747906,2.0209139296138977e-05,0.024682707858511562,0.23529411764705882,0.7354374149172458,0.23461396,1.021092
Phf14,-4.263651,-2.4512439,2.0111372479039882e-05,0.024682707858511562,0.29411764705882354,0.7945117145518378,0.37038004,1.2388381
Slc16a7,-4.2707515,-4.710694,1.948152348648181e-05,0.024682707858511562,0.058823529411764705,0.6310095292684674,0.03848538,0.70675534
Gab2,-4.2800493,-29.991245,1.8685208780552767e-05,0.024682707858511562,0.0,0.5995199541448736,0.0,0.726215
Rbfox3,-4.302661,-3.3371506,1.6875911603810153e-05,0.024682707858511562,0.11764705882352941,0.7204986745002507,0.19562148,1.1580074
Miat,-4.307926,-29.85752,1.6479225572743968e-05,0.024682707858511562,0.0,0.6034248047574694,0.0,0.6794369
Marchf1,-4.326566,-3.1014166,1.5145174691158676e-05,0.024682707858511562,0.29411764705882354,0.8373217740202049,0.58181286,2.0507886
Pkp4,-4.3698187,-2.745046,1.2434963432668547e-05,0.02227516449572026,0.29411764705882354,0.753528695278355,0.2741244,1.1360152
Kcnt2,-4.4443336,-4.1412253,8.816468938237755e-06,0.01692132288360346,0.11764705882352941,0.6877910725800673,0.11448737,1.1443387
