names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_HY GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Ahctf1,-3.09417,-3.0435166,0.001973642666841803,0.0499828260678975,0.05,0.4633789236867478,0.049109273,0.34713796
Grk3,-3.0970182,-3.225828,0.0019547788631948163,0.04955180005098558,0.05,0.45959361496982465,0.049109273,0.38588586
Abcd3,-3.0971704,-28.335028,0.001953776243318065,0.04955180005098558,0.0,0.39999285790808126,0.0,0.29162762
Eml2,-3.0973914,-3.962895,0.001952318729906876,0.04955180005098558,0.05,0.44123843873870655,0.024841424,0.33090085
Rnf165,-3.0978615,-1.8135486,0.0019492248277911222,0.049551249879609696,0.1,0.5259436488947613,0.15605268,0.46602806
Evi5,-3.0980275,-1.589765,0.0019481339375230315,0.049551249879609696,0.15,0.6108988322679713,0.26346534,0.6456946
Ldb2,-3.098608,-2.3237956,0.0019443202342217735,0.04952026985169578,0.15,0.555547619897868,0.23452258,0.84296376
D130040H23Rik,-3.0989952,-3.0793386,0.0019417815747467897,0.049502534073478405,0.05,0.4629861086312181,0.049109273,0.35448465
Rbm39,-3.1000183,-1.7613415,0.0019350869034685948,0.04937871329173898,0.3,0.8576223976002572,0.72995096,1.5356406
Phf3,-3.100281,-1.3170884,0.001933371424042898,0.04937871329173898,0.15,0.6314323465342999,0.30599254,0.6375981
Ift74,-3.1027005,-28.295273,0.0019176364912536375,0.049026539029481675,0.0,0.4007070670999536,0.0,0.2847294
Exoc1,-3.102977,-28.252573,0.0019158457210060303,0.049026539029481675,0.0,0.4007427775595472,0.0,0.2774767
Mink1,-3.1034331,-1.5975329,0.001912894307225358,0.048998541501568516,0.05,0.4743777452415813,0.14219087,0.38007858
Sltm,-3.1037235,-1.4014866,0.001911018309418824,0.048997196540156294,0.2,0.7158875834731993,0.423102,0.8718693
Usp16,-3.1038065,-28.246637,0.001910482620463742,0.048997196540156294,0.0,0.40084990893832806,0.0,0.2764813
Sgcd,-3.1039171,-1.8795408,0.001909768583037487,0.048997196540156294,0.3,0.7048173409991787,0.5971878,1.3878499
Sdk1,-3.1051476,-3.0881314,0.0019018414296602727,0.048901893985618686,0.05,0.46362889690390313,0.089629665,0.586345
Rpgr,-3.1081614,-3.9382296,0.0018825518559197618,0.048452268552264366,0.05,0.44188122701139165,0.024841424,0.32611415
Uggt1,-3.1091845,-2.5119603,0.0018760449828782546,0.04833109174490767,0.05,0.4721636967467771,0.0734003,0.36076027
Lrfn5,-3.110014,-1.9186016,0.0018707843131325842,0.048241818132315296,0.45,0.8578723708174124,1.2018858,2.281878
Fgfr2,-3.110899,-1.1111535,0.0018651878710067148,0.04814370614212337,0.2,0.6404313823518909,0.38541305,0.70100045
Lemd3,-3.112392,-3.0600035,0.0018557787387677117,0.04794689876027732,0.05,0.4656643931007392,0.049109273,0.350503
Sergef,-3.1125026,-2.7765007,0.0018550835036731622,0.04794689876027732,0.1,0.4957683105381566,0.07395069,0.4225895
Eftud2,-3.1132078,-28.260338,0.0018506570021542261,0.04790669908273994,0.0,0.40206406456451094,0.0,0.27878314
Ddx6,-3.1150742,-1.3449736,0.0018389865924646517,0.04765050119529913,0.15,0.6069706817126737,0.27240095,0.5852221
Cdr1os,-3.115655,-1.7716949,0.001835369613282881,0.047602684854161206,0.3,0.7696318251615898,0.73881775,1.5546988
Mmd,-3.1160696,-3.4440331,0.0018327900600637068,0.04758170909556696,0.05,0.45762953969217585,0.041362073,0.37815696
Parp8,-3.1181157,-1.9978414,0.001820112951960306,0.04729829305529345,0.15,0.591258079491483,0.21678865,0.67644906
Tada2a,-3.1194983,-3.298042,0.001811593008719863,0.047122462869605725,0.05,0.4609149019747884,0.041362073,0.34738344
Epha3,-3.120328,-1.9314947,0.0018064986515298803,0.047035483300976635,0.15,0.5934364175266935,0.30997816,0.8696902
Kif2a,-3.1209915,-1.6282372,0.00180243264902131,0.04697513606130223,0.15,0.600257115309074,0.229453,0.58628154
Hcfc2,-3.1215029,-28.280888,0.001799304181239374,0.046939129465924254,0.0,0.4031353783523194,0.0,0.28226772
Greb1l,-3.1233556,-3.6076508,0.00178801577548228,0.04668997462313787,0.05,0.45302289040459953,0.041362073,0.41527414
Zhx3,-3.124102,-1.646451,0.0017834851471333775,0.04661697072322359,0.05,0.4772702924686641,0.14272748,0.39223662
Abhd18,-3.1256506,-1.6770194,0.0017741219110370546,0.0464173863189539,0.1,0.5130878834410599,0.15603036,0.43176013
Reep3,-3.1259272,-28.468044,0.0017724546674335161,0.0464173863189539,0.0,0.4037067457058172,0.0,0.31576592
Nt5dc3,-3.1267567,-28.428297,0.0017674615748610827,0.046333358552699794,0.0,0.4038138770845981,0.0,0.3083802
Cog3,-3.1278627,-28.232254,0.0017608242323246973,0.04620444054937951,0.0,0.4039567189229725,0.0,0.27408254
Camsap2,-3.1290379,-1.3585405,0.001753797170345831,0.046065034181028815,0.15,0.5875084812341534,0.2556308,0.55784667
Hdac8,-3.1290932,-1.4202175,0.0017534671211696328,0.046065034181028815,0.2,0.6613220012141556,0.36567244,0.780022
Zdhhc2,-3.1301162,-1.7938408,0.0017473715029564945,0.0459861628642909,0.05,0.4780559225797236,0.14219087,0.42513922
Gucy1b1,-3.130752,-3.215409,0.0017435921613146246,0.045931687622082315,0.05,0.4653429989643967,0.049109273,0.38357756
Zcchc14,-3.130766,-3.936512,0.0017435100852497788,0.045931687622082315,0.05,0.44570224618790844,0.024841424,0.32578355
