names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_ABC (for_DEGs),mean_expr_Rest (for_DEGs)
Zfp664,-2.8700888,-0.97739553,0.004103563735046387,0.04987008483070847,0.16379310344827586,0.3262629881762809,0.10676741,0.20036374
Slc43a2,-2.870365,-0.73489773,0.004099983250944261,0.04984911762573407,0.22413793103448276,0.38824793980652095,0.17259608,0.27271557
Cers5,-2.8717449,-0.41435903,0.004082123321711565,0.0496761239307071,0.2672413793103448,0.4443568613400215,0.26012632,0.33356744
Bcat1,-2.8729525,-2.0203445,0.004066553837472383,0.049509878392787914,0.06896551724137931,0.22045861698316016,0.033155087,0.12818088
Mfn2,-2.8756893,-1.0310626,0.004031462365646996,0.04910489291248177,0.1206896551724138,0.2777499104263705,0.08597064,0.16843937
Rftn1,-2.8772936,-1.5665245,0.004011022049970448,0.048900255209939174,0.14655172413793102,0.292690791830885,0.080059625,0.22064385
Syt11,-2.8793118,-0.6067635,0.003985440472177559,0.04863250930400137,0.5862068965517241,0.7930849158007882,0.83168226,1.0903796
Lamb1,-2.879743,-1.4283799,0.003979993568743437,0.04858810867430085,0.08620689655172414,0.24342529559297743,0.057904426,0.14880534
Epb41l1,-2.8808815,-0.5193556,0.003965646205623053,0.04845698660531671,0.41379310344827586,0.608240773916159,0.47216788,0.6232371
Efcab6,-2.8828423,-1.3661194,0.003941046909384505,0.04820024144522606,0.09482758620689655,0.24890720171981368,0.06297846,0.15491974
Cbl,-2.884435,-0.5373598,0.003921166583532586,0.04800079548953102,0.3448275862068966,0.5449659620207811,0.35569924,0.48240754
Slc26a4,-2.8902597,-1.4840063,0.0038492366337764482,0.04716324138147431,0.12931034482758622,0.27610175564313866,0.071833566,0.18923813
Ddx10,-2.8903172,-0.49641973,0.003848532579862961,0.04716324138147431,0.3448275862068966,0.5515585811537084,0.37414742,0.49476478
Ankrd13b,-2.8927436,-1.2664232,0.0038189279368116016,0.04683459318216693,0.11206896551724138,0.26907918308849876,0.06572581,0.15136829
Orc4,-2.892893,-0.46894538,0.0038171107391805677,0.04683368290492323,0.3793103448275862,0.592511644571838,0.4318971,0.558276
Gpr26,-2.8959925,-1.79574,0.0037796153775015843,0.04639482192483671,0.09482758620689655,0.24675743461125044,0.04270931,0.14106199
Tlcd3a,-2.896136,-1.3894261,0.003777884410974424,0.04639476879473619,0.12931034482758622,0.27968470082407737,0.06383173,0.15928768
Pcnx,-2.8969872,-0.5472811,0.0037676518379558886,0.04629026286505474,0.4396551724137931,0.6460050161232533,0.5286519,0.7021223
Fbxl16,-2.8970447,-0.8628161,0.0037669613572096357,0.04629026286505474,0.19827586206896552,0.3536725188104622,0.14208694,0.24502692
Irak1bp1,-2.8971424,-0.78840536,0.0037657878038789487,0.04629026286505474,0.12931034482758622,0.29337155141526333,0.10672587,0.17775209
Tbc1d1,-2.8980165,-0.6077332,0.0037553096148499744,0.04620200061859835,0.2413793103448276,0.4027946972411322,0.21948555,0.31773394
Oscp1,-2.8985224,-1.439173,0.0037492554136082817,0.04616979512541454,0.12931034482758622,0.27832318165532066,0.062673576,0.16159794
Nipa1,-2.898764,-0.4240309,0.0037463690371145617,0.046155403955647996,0.3103448275862069,0.5073092081691151,0.32543054,0.4161028
Nopchap1,-2.8993044,-0.55172485,0.003739916368984492,0.04609704258468501,0.25,0.43238982443568613,0.23329002,0.3258056
Cnot2,-2.900972,-0.61125726,0.003720072809254767,0.04587349994707461,0.49137931034482757,0.6970978144034397,0.60534817,0.8201268
Etv1,-2.9021275,-0.72235143,0.003706375379788005,0.04572557688471244,0.29310344827586204,0.46517377284127553,0.33599576,0.50612384
Kifbp,-2.9021564,-0.75227755,0.00370603523293154,0.04572557688471244,0.22413793103448276,0.3921533500537442,0.17711373,0.2824621
Faxc,-2.9052727,-0.7050601,0.003669331146294789,0.04532349001794308,0.22413793103448276,0.3766033679684701,0.15675573,0.24425025
Cpeb3,-2.9076245,-0.5908377,0.0036418529400694343,0.04503294454655577,0.5517241379310345,0.7464349695449659,0.83783525,1.0902624
Tmem191,-2.9107754,-1.1248895,0.0036053294996277654,0.0446018433034061,0.14655172413793102,0.3018989609458975,0.08852912,0.18388094
Fam171a2,-2.9116323,-1.5574065,0.0035954566275967874,0.04450019326740013,0.10344827586206896,0.25578645646721604,0.052152887,0.14632466
Calb1,-2.9139898,-1.0700747,0.0035684164655716286,0.044206247316694175,0.1810344827586207,0.3390899319240416,0.15836743,0.30768615
Psen1,-2.914191,-0.63791704,0.003566116750883522,0.04419813519199273,0.25,0.4241848799713364,0.20946538,0.30939084
Adarb2,-2.91426,-0.7789611,0.003565328587702333,0.04419813519199273,0.4224137931034483,0.5821569329989251,0.76522535,1.0893623
Supt5,-2.917267,-0.55210125,0.003531131382158603,0.04380494009169052,0.21551724137931033,0.39050519527051236,0.19415414,0.27321735
Map3k10,-2.918607,-0.7462853,0.0035159926130078406,0.04365744986669163,0.1724137931034483,0.33683267646005016,0.13264436,0.21344745
Ppil4,-2.9215453,-0.7923536,0.003482997860371305,0.04328452942565178,0.1896551724137931,0.3505195270512361,0.13970909,0.23085716
Mapk1,-2.9218843,-0.55328584,0.0034792064914315845,0.04326065637425575,0.5172413793103449,0.7099605876030096,0.6794645,0.8868813
Ubxn11,-2.9221718,-2.8256516,0.0034759964075410537,0.04324075160677227,0.04310344827586207,0.1974919383733429,0.014933651,0.10135028
Exoc6b,-2.9248571,-0.45678207,0.0034461441258729444,0.04292419127900006,0.7241379310344828,0.8184521676818345,1.2515872,1.4873909
Etv5,-2.924926,-0.82348734,0.003445380128211713,0.04292419127900006,0.20689655172413793,0.3675743461125045,0.18080235,0.30063197
Ppp1r1a,-2.9257138,-1.0479532,0.0034366687423521775,0.04285071420278562,0.13793103448275862,0.3016481547832318,0.11144158,0.21812774
Ago1,-2.9259727,-0.85795444,0.0034338117156077794,0.042834967872971697,0.19827586206896552,0.35030455034037977,0.13076678,0.22570448
Naf1,-2.9268925,-1.1962955,0.003423670899484865,0.04274815848938583,0.11206896551724138,0.26262988176280905,0.06882368,0.15122956
Pak6,-2.9270766,-1.605461,0.0034216460106852842,0.04274273747425085,0.10344827586206896,0.258831959871014,0.0511119,0.14805222
Scn3b,-2.928997,-0.7650094,0.0034005762138174757,0.04253886539351749,0.25862068965517243,0.42837692583303477,0.20730016,0.3303503
Serpini1,-2.9298596,-0.67915255,0.003391152222840535,0.04244073601663957,0.35344827586206895,0.528126119670369,0.3929987,0.57145727
Ncapd3,-2.9324586,-0.5492778,0.003362898198475482,0.04214602359749823,0.19827586206896552,0.3874596918667144,0.18260734,0.25709906
Erbb4,-2.933873,-0.900814,0.0033476112457835223,0.041974015013627276,0.603448275862069,0.7198495163024006,1.1112236,1.5697287
Slc16a10,-2.934333,-1.4476112,0.003342653531966144,0.04193141942293664,0.11206896551724138,0.2720530275886779,0.07345396,0.18887672
Rasa1,-2.9361155,-0.5749917,0.0033235054824695734,0.04173018332427918,0.4482758620689655,0.6767108563238983,0.6018743,0.8019025
Slc4a7,-2.9363973,-0.5335935,0.0033204880151183843,0.04171178726799018,0.3879310344827586,0.5850949480472949,0.44870344,0.59867495
Mink1,-2.9381223,-0.51893455,0.003302068065206406,0.0415386558577229,0.29310344827586204,0.4747760659261913,0.27983654,0.38028383
