names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Mossy cells (for_DEGs),mean_expr_Rest (for_DEGs)
Kat2b,-3.0769036,-3.8198037,0.0020916292885237576,0.04878652689464702,0.0425531914893617,0.2970084706386933,0.018233703,0.23098947
Cntnap2,-3.0818927,-0.38912314,0.0020568888247201487,0.04810148191490896,1.0,0.9139711926802244,2.5330782,2.783844
Tox,-3.0842295,-2.6581733,0.0020408006927177314,0.04780846958441625,0.2127659574468085,0.4134529468529969,0.11786828,0.58201784
Mbp,-3.1062434,-2.074655,0.0018948064673350116,0.04513603703660617,0.425531914893617,0.5681046499160084,0.24779072,0.7813875
Calb1,-3.1134973,-2.8499615,0.0018488425571226905,0.044119360133114294,0.0851063829787234,0.33886128882376065,0.048728526,0.30750212
Prkar2b,-3.12362,-2.1293662,0.0017864100283129165,0.04301150310104665,0.14893617021276595,0.38818399513921154,0.07375575,0.28885505
Mir100hg,-3.1331294,-0.7706097,0.0017295324126714148,0.04186714948511794,0.9361702127659575,0.7283677043496909,0.9008578,1.2509525
Phlpp2,-3.1547914,-1.720562,0.0016061293331411195,0.039412507015070215,0.2127659574468085,0.4435469459237285,0.11136162,0.32802537
F730043M19Rik,-3.1557837,-3.4364548,0.0016006748058074235,0.03935053250873328,0.06382978723404255,0.3181314557346581,0.024233272,0.23551394
Ildr2,-3.160394,-1.3129972,0.0015755589399702823,0.03891109257077342,0.3829787234042553,0.5435862611244148,0.25249407,0.5386256
Ntm,-3.17095,-0.6451894,0.0015194134493802217,0.03766295146203556,0.9361702127659575,0.814110582937203,1.6132255,1.9858723
Adarb2,-3.200858,-2.4181662,0.0013701897277485046,0.034667606388514426,0.5106382978723404,0.5816147825154581,0.31407905,1.0893207
Grk3,-3.2083285,-1.8202678,0.001335089394226285,0.03403591273516156,0.2553191489361702,0.4595946960220165,0.12523344,0.38604167
Lzts1,-3.2176843,-2.1729848,0.0012922995334063803,0.03319702529888092,0.14893617021276595,0.395689624361128,0.07400095,0.29741117
Ankrd45,-3.2201564,-3.5294359,0.0012812067882374727,0.03303841305176669,0.0425531914893617,0.3095535937667536,0.018253326,0.19285366
Ephb1,-3.2269862,-2.4636996,0.001251015281055295,0.032353013091391505,0.2127659574468085,0.42514028378426677,0.10160393,0.46369693
Cdk19,-3.2302792,-2.00562,0.0012366939200691898,0.032075256401794525,0.2553191489361702,0.47521355302190926,0.14673512,0.4914326
Chd7,-3.235097,-3.8952305,0.0012160141931344386,0.031722622688856665,0.06382978723404255,0.3245291111190536,0.026672611,0.3380483
Foxo1,-3.236342,-3.2855647,0.0012107221789694664,0.03161526234101999,0.0851063829787234,0.34046963794274276,0.036237936,0.30736697
Mapk4,-3.2667375,-1.7433412,0.0010879452258430403,0.028801072136357134,0.2765957446808511,0.4866507023124486,0.17134248,0.48596984
Plxdc2,-3.2688127,-1.3810261,0.0010799982671635055,0.028647140610743728,0.6808510638297872,0.6874441545444798,0.59683126,1.1398257
Fbn1,-3.2690833,-3.5376868,0.0010789656750092287,0.028647140610743728,0.0425531914893617,0.31409271239143643,0.021256061,0.22273698
Pcdh19,-3.2762468,-1.6587188,0.0010519660983754936,0.02810402675756085,0.3191489361702128,0.5112048321955752,0.19866516,0.52703536
Ankrd6,-3.295491,-3.3371253,0.0009824989501215028,0.0265858477238316,0.06382978723404255,0.3315343650595089,0.026947536,0.24375492
Pik3r1,-3.3063536,-1.863409,0.0009451877081761321,0.02575780296013455,0.2978723404255319,0.5055577397333715,0.16422814,0.5004358
Zfhx4,-3.3108194,-4.124841,0.0009302322115345385,0.025453502570196587,0.0425531914893617,0.31380678365917297,0.018506398,0.28207064
Prex1,-3.3125877,-27.812328,0.0009243712676249844,0.025318915352786266,0.0,0.27920940705529146,0.0,0.21163125
Htr2c,-3.3157094,-3.661992,0.0009141083468382474,0.025063358448513987,0.0851063829787234,0.34533042639122197,0.039561138,0.41264382
Ptprz1,-3.3186505,-1.8665624,0.0009045353677351445,0.024874893479590814,0.40425531914893614,0.5667822295292898,0.30611894,0.8355235
Tmem164,-3.333871,-3.6010609,0.0008564641305178017,0.023798543109631157,0.06382978723404255,0.33328567854462277,0.027011521,0.28686357
Pbx3,-3.3378766,-3.4541519,0.000844212127322541,0.02356703417791947,0.06382978723404255,0.33750312734550914,0.037955526,0.35345688
Pakap,-3.3640678,-0.99884313,0.0007680267275236052,0.021930795078171382,0.6808510638297872,0.6636048464920119,0.517969,0.85702795
Tasor,-3.364212,-1.1095064,0.0007676251060231455,0.021930795078171382,0.6808510638297872,0.6630329890274849,0.40729836,0.73467344
Cdh6,-3.3672886,-28.073051,0.0007591117724522186,0.021745557916621656,0.0,0.2838200078630401,0.0,0.24871618
Gm26691,-3.3683894,-2.4538999,0.0007560873000318293,0.021682033886718518,0.14893617021276595,0.3994066978805533,0.07317687,0.34781286
Plp1,-3.3874981,-1.7759727,0.000705331859934339,0.02051111155458408,0.6595744680851063,0.718360198720469,0.5247446,1.2128683
Grik1,-3.3979187,-2.4881713,0.0006790059689660669,0.01978838436672258,0.2978723404255319,0.49958897744737124,0.18433492,0.7587969
St6gal2,-3.4202304,-2.3072217,0.0006256813539290866,0.018597409269993977,0.1276595744680851,0.39819150076843346,0.06992244,0.306346
Phlpp1,-3.443381,-1.0412573,0.000574489311808045,0.017247517104225885,0.7872340425531915,0.7466314021230208,0.70156574,1.1290817
Pcdh10,-3.4435525,-1.9789277,0.0005741252412463995,0.017247517104225885,0.2978723404255319,0.5007684334679581,0.1556515,0.5091695
Sgk3,-3.449056,-3.0186105,0.0005625501969375197,0.017041402245446622,0.0851063829787234,0.36252189141856395,0.03897094,0.27918348
Ttc28,-3.4775386,-2.1864288,0.0005060400612190393,0.015486670210655567,0.2127659574468085,0.46559919939954963,0.12586585,0.47656307
Atxn1,-3.481725,-0.34675732,0.0004981951979591852,0.01527992301814069,0.9361702127659575,0.7884484792165553,1.3485203,1.5318034
Ghr,-3.487499,-2.5642498,0.00048756064618986664,0.014972290929281961,0.1276595744680851,0.3986918760498946,0.07120092,0.36218944
Brinp3,-3.5007434,-1.7824343,0.0004639621876736843,0.014429497693933294,0.5319148936170213,0.6301869259087173,0.4563737,1.0951118
Tmtc1,-3.5050108,-1.872521,0.00045658852504745106,0.014315675225233386,0.3191489361702128,0.5108116801887129,0.1775791,0.537402
Sh3kbp1,-3.507041,-1.5627794,0.00045311948315355615,0.014240140950100648,0.425531914893617,0.5746452696665356,0.26471236,0.63937455
Pitpnc1,-3.5098016,-2.1450772,0.0004484410478655967,0.01414273586402416,0.2978723404255319,0.5068444190285571,0.1751986,0.6135415
Prickle1,-3.5150526,-0.69949096,0.0004396670162805287,0.013931430103134204,0.8085106382978723,0.7407341220200865,0.9489473,1.27275
St18,-3.5266368,-3.7708805,0.0004208735276969182,0.01349507361481646,0.14893617021276595,0.401765609921727,0.0632863,0.6375354
Arhgef3,-3.5349643,-2.1441941,0.0004078302751828897,0.01313956773880605,0.2127659574468085,0.4569855963401122,0.10094468,0.38493672
Rcan2,-3.5354335,-3.2319596,0.0004071067982948147,0.013132004405980398,0.0851063829787234,0.36698952786018085,0.04188764,0.3378374
Wls,-3.5407295,-3.3601265,0.0003990225848278839,0.012901251197969164,0.0425531914893617,0.3426141034347189,0.034173474,0.30525252
Cadm1,-3.5512943,-0.25072697,0.0003833415470204816,0.012440081362850651,1.0,0.8576074913327854,1.8793576,2.0284884
Ptprm,-3.560912,-3.6486979,0.0003695691823148998,0.012095400644094223,0.10638297872340426,0.38060688373422924,0.054822464,0.53461045
Ppp1r9a,-3.5845137,-0.5940653,0.00033770694166891814,0.011268027264069612,0.9361702127659575,0.801851388541406,1.0111313,1.2918893
Negr1,-3.5850098,-0.27559257,0.0003370655019238119,0.011264863229717445,1.0,0.9013545873690982,2.377506,2.5522587
Ptchd4,-3.5968468,-2.5454862,0.00032209803057739857,0.010823719922247387,0.2553191489361702,0.4688516387290468,0.12998405,0.5935373
Tox3,-3.5988317,-5.294492,0.00031964998286367166,0.01077665626041011,0.02127659574468085,0.3200257335859037,0.008547523,0.2903523
Cnih3,-3.6072764,-2.7213376,0.00030942803738035293,0.010511164809620837,0.10638297872340426,0.39136495228564283,0.052901726,0.3062135
Pcsk5,-3.6103349,-2.5224853,0.00030580196224752636,0.010414320311268738,0.23404255319148937,0.4622395367954537,0.12556186,0.5702402
Nhsl2,-3.6440234,-1.8642203,0.00026840905790498164,0.009318025046391289,0.2127659574468085,0.49079666893026913,0.14543201,0.45102212
Adamts20,-3.6613908,-5.2348876,0.0002508497051295923,0.008845579497155046,0.02127659574468085,0.3249222631259159,0.0063906973,0.21626544
