names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OB Dopa-Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Slc22a23,-3.8040726,-2.1553955,0.0001423364339927482,0.0394286596019087,0.12,0.5763993406435892,0.16845348,0.5973828
Ppp2r2a,-3.816716,-2.3494172,0.00013523966606538893,0.03825147186502106,0.16,0.6066437325306385,0.14975426,0.6006391
Runx2,-3.8172991,-3.2424915,0.00013492051826557414,0.03825147186502106,0.08,0.5165555794452806,0.07714666,0.56476694
Rbfox3,-3.8394966,-1.8592352,0.00012328686415844078,0.03562062408534735,0.32,0.7204902171576005,0.47117177,1.1580364
Csnk1g3,-3.8423998,-2.152014,0.00012183708818604903,0.03558437564738193,0.2,0.633017988962947,0.18748981,0.6505164
Apba2,-3.8494227,-1.7298172,0.00011839654182011793,0.03495950635941284,0.28,0.7197018562316347,0.42824462,1.0199518
Pde1a,-3.859138,-1.9445401,0.00011378771351601212,0.033971954024169394,0.52,0.7634200530351896,0.72650796,1.6312579
Flrt2,-3.859597,-2.192624,0.00011357417023314112,0.033971954024169394,0.12,0.6044219881029169,0.23401542,0.79086834
Adcy2,-3.872811,-1.8777088,0.00010758717699102025,0.03285076642896266,0.36,0.6999928330824913,0.46031052,1.1468401
5730522E02Rik,-3.8780472,-2.1392865,0.0001052982792379038,0.03252143405887903,0.4,0.7494087293055257,0.63609815,1.5926703
Kcnj6,-3.8816206,-2.135305,0.00010376265482057611,0.032419796918940466,0.2,0.633017988962947,0.25813133,0.83024013
Gm57223,-3.8817446,-28.712353,0.00010370971610285709,0.032419796918940466,0.0,0.4484340285243317,0.0,0.36452165
Sidt1,-3.883271,-2.2348683,0.00010306065138297133,0.032419796918940466,0.12,0.5888339425213216,0.18319067,0.66595584
Prickle1,-3.884276,-1.591707,0.00010263531428775962,0.032419796918940466,0.48,0.7425643230846413,0.6181024,1.2748681
St6galnac5,-3.8955793,-1.851616,9.796430758672151e-05,0.0321012310348196,0.4,0.7213144126711102,0.5822327,1.3483983
Fam135b,-3.9203947,-2.1480796,8.840407232087973e-05,0.029326141027926397,0.2,0.7013545474091594,0.4131034,1.1839241
Tafa2,-3.921226,-2.1759984,8.809959508043195e-05,0.029326141027926397,0.44,0.7291980219307675,0.6066143,1.5622983
Pcnx2,-3.9303207,-3.1003296,8.483259613749465e-05,0.028853820990056723,0.04,0.5131871282161542,0.06950509,0.48075202
Wwc1,-3.9397507,-28.780792,8.156634201081822e-05,0.028098559100393404,0.0,0.4551350963950405,0.0,0.3792519
Syt16,-3.9444532,-1.9086906,7.998228279133513e-05,0.02791070050133993,0.32,0.6704292983587758,0.33937794,0.9231356
Man1a,-3.9535356,-3.120531,7.700480316105178e-05,0.027225250801808702,0.12,0.5586970543969039,0.13712698,0.82340455
Slit2,-3.9685488,-3.0397637,7.231162228084973e-05,0.025906843875819093,0.16,0.5741775962158675,0.15300518,0.8584997
Samd5,-3.9694297,-5.02216,7.204481618875523e-05,0.025906843875819093,0.04,0.4847703002938436,0.023492994,0.5723627
Cdk13,-3.9782765,-1.9342263,6.94166143035223e-05,0.025551019538844442,0.28,0.7170500967533864,0.3200609,0.8926543
Epha4,-3.9927936,-2.0891545,6.529942859358528e-05,0.02436938397652273,0.28,0.7012828782340715,0.4065012,1.1423448
Gfod1,-3.9947538,-2.8259213,6.476147986688032e-05,0.02436938397652273,0.08,0.5591270694474306,0.09522786,0.5355713
Hecw1,-3.9988732,-1.9451,6.364474304971322e-05,0.02436938397652273,0.4,0.7149000215007525,0.45587844,1.1706141
Scai,-4.0162315,-1.7766225,5.913613481595031e-05,0.023028810760936012,0.32,0.7187701569554934,0.41402507,1.0142529
Atp8a1,-4.0295577,-1.4376422,5.588194901877773e-05,0.022081587796096435,0.6,0.8165985809503332,0.752975,1.396935
2610035D17Rik,-4.0386276,-3.938258,5.37648654111594e-05,0.021562118411908256,0.04,0.5120762560022935,0.03893289,0.4753646
Epha6,-4.042871,-1.7146518,5.280068811806549e-05,0.021496280147460904,0.76,0.8860101770228624,1.5324711,2.558235
Ncald,-4.043702,-2.1736722,5.261372901113886e-05,0.021496280147460904,0.28,0.7023579158603884,0.3428259,1.0455436
Shisa6,-4.0441985,-2.7631967,5.250241086707962e-05,0.021496280147460904,0.2,0.6182183043073174,0.24132627,1.048354
Shc3,-4.0449057,-28.885937,5.2344168073747505e-05,0.021496280147460904,0.0,0.4672830215724217,0.0,0.40283504
Cdh9,-4.046047,-3.6492083,5.208971174041815e-05,0.021496280147460904,0.08,0.5364437755321436,0.09300801,0.79881877
Xkr6,-4.0503774,-2.5400357,5.113505481503453e-05,0.021496280147460904,0.12,0.5859313409302659,0.15326107,0.67462903
Ptprs,-4.0556755,-1.7416195,4.998958548686701e-05,0.021496280147460904,0.4,0.7346448792374399,0.41847706,1.0071338
Camk4,-4.074858,-2.4408379,4.6042442780107295e-05,0.02096882097460141,0.2,0.6270694474306601,0.23210435,0.8831406
Ptprk,-4.0873275,-2.3701365,4.36370582472679e-05,0.020215995777656696,0.24,0.6795671181824697,0.3475249,1.1468959
Hecw2,-4.0901566,-2.040107,4.3108197709061573e-05,0.020215995777656696,0.32,0.728337991829714,0.44561878,1.1966839
Slc17a7,-4.1009264,-1.942697,4.114992580882726e-05,0.019744616187199793,0.28,0.7150433598509282,0.35811192,0.97660595
Unc13b,-4.1124907,-3.5532315,3.914136441685745e-05,0.019122335670562905,0.08,0.5380204973840751,0.059269425,0.54045916
Mbnl2,-4.115307,-1.9079373,3.866644081097923e-05,0.019122335670562905,0.36,0.8105425356554146,0.57014006,1.3568699
Grm3,-4.1156917,-3.1995385,3.8602009479365014e-05,0.019122335670562905,0.12,0.5780477316706085,0.1518081,0.91869754
Slc44a5,-4.1206794,-2.735007,3.77756561561374e-05,0.019122335670562905,0.16,0.609976349172221,0.17319384,0.8148933
Dnajc13,-4.1230865,-2.7183862,3.738290271731994e-05,0.019122335670562905,0.12,0.6008026947609832,0.11336404,0.5822312
Prkd1,-4.1887856,-5.6043944,2.804515380854162e-05,0.015071465656710267,0.04,0.5075969325593063,0.017500442,0.61998814
Il1rap,-4.197322,-2.5379505,2.700900076088995e-05,0.01481085409071659,0.16,0.641439117035763,0.23019525,0.9176019
Kcnip4,-4.206044,-1.4680827,2.5987917604304406e-05,0.01454781970890957,0.88,0.9529133519673189,2.7248237,3.6996644
Tafa5,-4.2171617,-2.9429939,2.4739656794091134e-05,0.014143714426749549,0.16,0.5948183186411524,0.10645339,0.6226142
Psd3,-4.247387,-1.9101453,2.1627835008479107e-05,0.012633476666909426,0.36,0.7818748656202967,0.4937942,1.2237334
Nkain2,-4.2998714,-1.3990052,1.7089729189269657e-05,0.010204467184792794,0.84,0.9303017272271196,2.3163571,3.2228904
Nwd2,-4.316659,-4.5316367,1.584086266628403e-05,0.009673726814614815,0.04,0.5343653694545976,0.039843246,0.66276133
Grik4,-4.332181,-3.6699102,1.476395136334086e-05,0.009225752863557417,0.08,0.5693040923098975,0.087065354,0.76910025
Tafa1,-4.3654585,-2.3828514,1.2685645810184213e-05,0.008115792926658328,0.52,0.7916577080197806,0.7596455,1.936275
Dock4,-4.381477,-2.0673106,1.1787765193204085e-05,0.0077252987985705806,0.56,0.8606392890417831,0.9314621,2.0077784
Reps2,-4.389492,-2.537077,1.1361572419493773e-05,0.0076321362727949415,0.16,0.6873432236794954,0.22385773,0.8986219
Slit3,-4.4246554,-2.5191708,9.659632815314766e-06,0.006655239326859173,0.36,0.7270837812656776,0.55034906,1.6499766
Sh3rf3,-4.44818,-3.0133672,8.660077532072618e-06,0.00612358640228398,0.16,0.6186841539453881,0.12918325,0.74832404
Dlg2,-4.512874,-1.0504484,6.3954990204492056e-06,0.004644515099445139,0.92,0.9554934422704795,3.0186005,3.7211175
Acap2,-4.539774,-2.1052568,5.6314566137078335e-06,0.004203256644731375,0.32,0.7562173009388662,0.37326962,1.080746
Marchf1,-4.546263,-2.1062038,5.4606747435277e-06,0.004192238010245409,0.6,0.8372034687880743,0.9452675,2.050884
Mical2,-4.5495634,-2.4209354,5.375727775524269e-06,0.004192238010245409,0.32,0.6919300508851143,0.28550166,1.018669
Dock9,-4.5709047,-2.5283883,4.856227610575917e-06,0.003954146542308331,0.2,0.7145416756253136,0.27873552,1.0489236
Lsamp,-4.5889707,-1.5184374,4.454374942356073e-06,0.0037402829594096153,0.88,0.9730165555794453,3.0523293,4.0735974
Ptprd,-4.598723,-1.530183,4.250887769025433e-06,0.0036845598178617224,0.92,0.9654912921952268,2.6480975,3.661357
Lrfn2,-4.6049514,-4.9452615,4.125619202750564e-06,0.0036845598178617224,0.04,0.5571203325449724,0.023492994,0.54948264
Khdrbs2,-4.6308093,-2.6325722,3.6423947879912936e-06,0.003495398141190216,0.24,0.7139683222246112,0.34962133,1.2796651
Ptk2b,-4.631814,-3.7047396,3.62475413253577e-06,0.003495398141190216,0.08,0.6043144843402852,0.08267475,0.75320363
Nrf1,-4.6476836,-3.6094887,3.356832543479285e-06,0.0034691573247418606,0.12,0.6104780333978356,0.06765222,0.6175165
Tenm4,-4.648664,-2.5690901,3.34092220184759e-06,0.0034691573247418606,0.36,0.7487995413172794,0.4987515,1.5764084
Il1rapl1,-4.682785,-1.7564082,2.830033638285013e-06,0.003168458494196596,0.76,0.9251773812083423,1.7702559,2.860002
Nedd4l,-4.6842737,-2.334142,2.8095413250131115e-06,0.003168458494196596,0.28,0.7503762631692109,0.36890823,1.1785762
Srcin1,-4.732205,-3.9177299,2.2209419072789697e-06,0.0027125776840266325,0.08,0.6052103490288827,0.054282513,0.61142385
Pcdh9,-4.77351,-1.4081225,1.810425903747243e-06,0.002316483049223258,0.88,0.9716190066652333,2.8986552,3.839754
Usp25,-4.773907,-4.745692,1.8068583869272345e-06,0.002316483049223258,0.04,0.5832437468644736,0.029635862,0.59166014
Tenm2,-4.808028,-1.7794794,1.5242630986884653e-06,0.0021556289190399506,0.88,0.9402279079767792,2.2202532,3.3736186
Cdk17,-4.8085246,-2.9165134,1.520484325952705e-06,0.0021556289190399506,0.2,0.6780262309180821,0.1564791,0.8236948
A230006K03Rik,-4.8109193,-3.486329,1.5023779580587526e-06,0.0021556289190399506,0.16,0.6667025012542106,0.18700328,1.195287
A830018L16Rik,-4.8156466,-3.0918,1.4672409672697872e-06,0.0021556289190399506,0.24,0.689923313982656,0.23763065,1.1899478
Ralyl,-4.8300023,-2.0074766,1.3653157096192408e-06,0.0021556289190399506,0.6,0.8562316347738838,1.1374013,2.2532554
Mir99ahg,-4.9101434,-2.3880153,9.100981303569415e-07,0.0017467383401922154,0.48,0.8755106428725006,0.872706,2.1154683
Miat,-4.9220796,-4.581316,8.562936944491325e-07,0.0017467383401922154,0.04,0.6035619580018634,0.039843246,0.679596
Arpp21,-5.0032754,-2.4321098,5.636429834633904e-07,0.001262090580471775,0.48,0.7996488210420698,0.7214224,1.9030546
Adgrl3,-5.0236363,-1.6635064,5.070215573240303e-07,0.001238515385936063,0.68,0.8836092596574213,1.4219351,2.3945477
Cdh11,-5.0247283,-2.830308,5.041455199013196e-07,0.001238515385936063,0.2,0.7286246685300652,0.2834804,1.2032696
Csmd1,-5.034394,-1.3338106,4.79362893540785e-07,0.001238515385936063,0.88,0.943775532143625,2.7025251,3.5857675
Ntrk3,-5.0554996,-2.5462348,4.2926586128497317e-07,0.001238515385936063,0.4,0.7786855873288898,0.5395744,1.644413
Ntrk2,-5.0870647,-2.366184,3.636479826062443e-07,0.001238515385936063,0.36,0.7815523543324017,0.4509016,1.370515
Kalrn,-5.0904145,-2.144564,3.5728130284567573e-07,0.001238515385936063,0.6,0.8472371533003655,1.0946025,2.281363
Epha5,-5.400148,-2.6038558,6.658603026936013e-08,0.0003578333266675413,0.48,0.8536157098831793,0.72409654,2.0097253
Gm26871,-5.552328,-3.3344045,2.8188997461580593e-08,0.00025247945393089017,0.36,0.8002221744427722,0.45327798,1.9146323
Phactr1,-5.7905927,-2.809724,7.013841665281067e-09,0.00018846192554610228,0.56,0.8902386583530424,0.8847872,2.3955023
