names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OB Dopa-Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Mast4,-3.692813,-1.7006301,0.00022178722008260693,0.04845059027333048,0.44,0.7631692109223823,0.5821803,1.2719033
Gpm6b,-3.695704,-1.5849174,0.0002192784435240283,0.048295178504021645,0.4,0.83311832580807,0.7813285,1.5157913
Tanc1,-3.6974037,-2.6547942,0.00021781578997758346,0.048295178504021645,0.12,0.5459399412312764,0.14146261,0.67139214
9930021J03Rik,-3.7044885,-1.7869118,0.00021181770948472002,0.047429515448786895,0.24,0.6865190281659858,0.3064897,0.80540854
Grik2,-3.7062504,-1.2445668,0.000210350338853113,0.047429515448786895,0.76,0.9170429298358775,1.8993869,2.6715796
Rbfox1,-3.708,-1.0611306,0.0002089027520272905,0.047429515448786895,0.88,0.9407295922023937,2.721153,3.4218178
Ptpn3,-3.722914,-4.733183,0.00019693667673381624,0.04561800434342795,0.04,0.45674765283451585,0.017500442,0.38495725
Foxp1,-3.7255692,-1.6168087,0.00019487500524355814,0.0455329686164731,0.44,0.7959220239375044,0.7135547,1.4335107
Ythdf3,-3.72779,-2.0015643,0.00019316611764510122,0.04552959281687605,0.24,0.6556654482906902,0.22024098,0.6864132
Grid1,-3.728572,-1.6181687,0.00019256802336087934,0.04552959281687605,0.52,0.7844907905110012,0.7806672,1.532866
Nfib,-3.740297,-1.6396546,0.00018380287430781403,0.04409627886295502,0.52,0.8186769870278793,0.89685094,1.7090851
Cep112,-3.7503722,-3.8660462,0.00017657232821983743,0.04274322936276605,0.08,0.49021715760051604,0.047136303,0.5328399
Agtpbp1,-3.7505956,-1.8792423,0.00017641511743340666,0.04274322936276605,0.28,0.6849423063140543,0.2908646,0.8073277
Fzd3,-3.7632637,-3.3703687,0.00016771018054196734,0.041342867441859284,0.04,0.487422059772092,0.04707122,0.40441424
Jph1,-3.7675195,-2.5601888,0.00016487762844801077,0.04102094329998193,0.16,0.5757184834802551,0.14703253,0.65967894
Cadm1,-3.7740831,-1.9187562,0.00016059714735360654,0.040329395788704744,0.52,0.8595642514154662,1.0129958,2.0322468
Nsf,-3.7745423,-1.5053759,0.00016030170324057353,0.040329395788704744,0.44,0.7907260087436394,0.6985182,1.3531406
Gas7,-3.7793193,-1.9874195,0.00015725768731797635,0.04024299103080023,0.12,0.6025944241381782,0.20975626,0.65513635
Gria3,-3.7798653,-1.8333364,0.00015691328477633802,0.04024299103080023,0.48,0.8051315129362862,0.8890918,1.8093288
Dscaml1,-3.7876077,-1.8286985,0.0001521048200281585,0.039680160331617656,0.32,0.738801691392532,0.52577734,1.2404861
Pgbd5,-3.7883148,-2.3653944,0.0001516725689881308,0.039680160331617656,0.08,0.5340070235791586,0.11689203,0.49405745
Tspan5,-3.7921984,-1.7857409,0.00014931951585194102,0.039680160331617656,0.36,0.7387300222174443,0.47962233,1.1385065
Hdac4,-3.795747,-2.537495,0.0001471995307636068,0.03955251391618114,0.12,0.5593062423851501,0.11420688,0.53204405
Sorbs1,-3.7985015,-1.6919717,0.0001455735194481739,0.03951071179366093,0.4,0.7509137819823694,0.5572934,1.2267458
Pcdh19,-3.7991219,-3.3285863,0.0001452096416898009,0.03951071179366093,0.08,0.5124346018777324,0.06687406,0.5275686
