names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Sst Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Slc2a9,-2.6294372,-1.6980394,0.00855262963253011,0.04969921241913583,0.031161473087818695,0.08914600550964187,0.01455563,0.046475608
Egfr,-2.6297352,-1.7594215,0.008545140685959905,0.0496664352653564,0.06515580736543909,0.12025711662075299,0.042284578,0.13647777
Wscd2,-2.629955,-0.32220414,0.008539616891457541,0.0496450683412947,0.45042492917847027,0.47085399449035814,0.32767886,0.39525977
Lpl,-2.6356378,-1.277684,0.00839793320457122,0.04890603927326154,0.056657223796033995,0.11426997245179063,0.028354622,0.06740587
mt-Co3,-2.6378338,-0.43045154,0.008343746785263933,0.04864319290953393,0.5934844192634561,0.6084481175390266,0.6350344,0.7864056
Extl3,-2.6380844,-0.51377803,0.008337583972977748,0.04861781279381772,0.3597733711048159,0.4034527089072544,0.22799067,0.3116069
Matn4,-2.6430485,-1.4341856,0.008216327078957886,0.047962787010992484,0.059490084985835696,0.11654729109274564,0.03463641,0.090971254
Lct,-2.643864,-2.0264423,0.008196557936679309,0.04789941534549218,0.031161473087818695,0.08874196510560146,0.013624347,0.054379515
Ldha,-2.6481993,-0.7458107,0.008092179234185756,0.047320316871071,0.16288951841359772,0.22042240587695133,0.09481065,0.15423979
Ptms,-2.6496933,-0.5372406,0.008056486763799626,0.04716291924690543,0.4631728045325779,0.4935904499540863,0.3432575,0.4664418
G630016G05Rik,-2.6498587,-1.9568849,0.008052542166675437,0.047150099807925255,0.036827195467422094,0.09392102846648301,0.012782795,0.04873706
Hycc1,-2.6525843,-0.48405683,0.00798781735263561,0.046801712225320286,0.3101983002832861,0.3588613406795225,0.20366943,0.27455872
Vrk1,-2.653459,-0.51866215,0.007967145987461585,0.04671115266923255,0.23371104815864022,0.28910927456382,0.13188563,0.18396084
Cdc14a,-2.6544566,-1.7043264,0.007943627945399854,0.04660442661061123,0.07507082152974505,0.1301010101010101,0.034368116,0.10790728
Pxdn,-2.6548748,-0.35194096,0.00793378226431968,0.046566345443920874,0.3526912181303116,0.3965840220385675,0.22826861,0.283121
Slitrk2,-2.655681,-0.8315277,0.007914844836546564,0.046475498417396455,0.12464589235127478,0.1811202938475666,0.0677364,0.11753212
Rskr,-2.668174,-0.8996108,0.007626474207491557,0.04493706851576068,0.05807365439093484,0.11779614325068871,0.03324741,0.061158836
Megf10,-2.6697698,-1.7285136,0.007590330020891866,0.04473616311940435,0.0821529745042493,0.13649219467401286,0.045013014,0.14199848
Glt8d2,-2.672571,-1.2916977,0.007527248178855375,0.04442283298173598,0.05240793201133145,0.11044995408631772,0.02361574,0.05685587
Atad2,-2.6747055,-0.9605973,0.007479494244657752,0.04416040658183999,0.08640226628895184,0.14479338842975206,0.0421019,0.08036679
Arhgap20,-2.6777241,-0.30396596,0.007412425598121204,0.043793288439207725,0.5141643059490085,0.5319375573921028,0.4204633,0.4978918
Tbata,-2.6795938,-1.7808237,0.007371152948518885,0.04360697484075351,0.032577903682719546,0.09138659320477502,0.012709503,0.043012924
Hpcal4,-2.679979,-0.60749024,0.007362673627174199,0.04357600007977329,0.23796033994334279,0.2911662075298439,0.13773477,0.2029349
Gm47728,-2.681797,-0.99792707,0.007322787864334934,0.04336859376563361,0.053824362606232294,0.1133149678604224,0.027026454,0.053266965
Dclk3,-2.6821232,-0.9204318,0.007315650762380654,0.043335876539940074,0.06373937677053824,0.12352617079889808,0.033779405,0.0629991
Tgfa,-2.6864538,-1.2051611,0.007221492776526487,0.042815867366563704,0.10764872521246459,0.16297520661157025,0.05511887,0.12279401
Adam11,-2.6865768,-0.44390318,0.0072188361166623,0.04280956222792231,0.24079320113314448,0.2975941230486685,0.13911667,0.18484613
Gm41505,-2.6901486,-0.9395896,0.007142021763127903,0.04239145676502027,0.0764872521246459,0.13575757575757577,0.03683334,0.06949138
A330093E20Rik,-2.6946115,-0.79553616,0.007047073561698869,0.04189266960240014,0.08923512747875353,0.14909090909090908,0.051278375,0.08739396
Dynll1,-2.7036273,-0.45590302,0.00685871632995674,0.040908703171129324,0.43201133144475923,0.4812121212121212,0.3796689,0.49067953
Fkbp1a,-2.7049747,-0.42306408,0.006830958362552333,0.04077029124872972,0.5084985835694051,0.5336271808999081,0.39369,0.49886012
Frem1,-2.7058163,-2.4958057,0.006813673059372938,0.04068519891230019,0.021246458923512748,0.08055096418732782,0.012452123,0.06828882
Ap1s3,-2.7091942,-1.3868939,0.006744683930278205,0.04030908745697851,0.042492917847025496,0.10200183654729109,0.019289216,0.04967914
