names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CA1 (for_DEGs),mean_expr_Rest (for_DEGs)
Gm48678,8.63341,0.4827157,5.954942192632882e-18,7.253367938170696e-17,0.3783783783783784,0.27763456581124235,0.24879235,0.18410978
Capn15,8.630808,0.3730865,6.091993063212522e-18,7.416939447599478e-17,0.485995085995086,0.38944249932669,0.33061397,0.26431513
Ppp1r12b,8.629707,0.34676173,6.1509238103851396e-18,7.485295415989524e-17,0.8805896805896806,0.6772344273017583,0.9828304,0.83931464
Ric3,8.628049,0.3859165,6.240764518832543e-18,7.59118798646584e-17,0.44963144963144963,0.35423800546342965,0.29382572,0.2322107
Jak2,8.620053,0.2928225,6.692282989786087e-18,8.136725969934486e-17,0.518918918918919,0.4135662344657766,0.3764003,0.3170536
Aff4,8.605509,0.29015645,7.597884393946904e-18,9.221099984884973e-17,0.8874692874692874,0.7017813858643377,0.9821584,0.861167
Uxs1,8.601348,0.27614304,7.878524589634673e-18,9.557379490902197e-17,0.6049140049140049,0.48647608787657265,0.45461306,0.38885844
Usp31,8.601058,0.27024364,7.89847474327127e-18,9.577257055582086e-17,0.539066339066339,0.4316109422492401,0.3806165,0.32502437
Dync2h1,8.600575,0.2990643,7.931737534631413e-18,9.608917383027325e-17,0.8142506142506143,0.6308722250009619,0.8078236,0.69828737
Supt20,8.598594,0.28283715,8.06987655783489e-18,9.767458698604661e-17,0.5508599508599509,0.4471547843484283,0.39869663,0.3383774
Cfap54,8.593719,0.57607913,8.419908219777946e-18,1.01819502189664e-16,0.4063882063882064,0.3121080373975607,0.29862148,0.20980105
Mpped2,8.589031,0.29712763,8.770572215541225e-18,1.0596460226240679e-16,0.7582309582309582,0.584394598130122,0.77910054,0.67292976
Slc25a36,8.586195,0.25411937,8.989739797662131e-18,1.0836891357702175e-16,0.7248157248157249,0.5822784810126582,0.63875663,0.55945796
