names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CA1 (for_DEGs),mean_expr_Rest (for_DEGs)
Calm3,3.2641485,-0.2845499,0.0010979363055378573,0.005406184447462384,0.5174447174447174,0.45635027509522524,0.38914204,0.45706704
Tmcc3,3.2296705,-0.28421178,0.0012393290478400782,0.006067924838823415,0.568058968058968,0.47935823939055827,0.47130552,0.5499604
Enc1,3.150027,-0.26930878,0.0016325529955736658,0.00786846618673801,0.5105651105651106,0.44361509753376166,0.35758188,0.41745204
Dnaja1,2.8588707,-0.2559776,0.00425152085310244,0.019408488841804718,0.5572481572481572,0.5005963602785579,0.4045061,0.46709597
Ndufa5,2.728105,-0.3214035,0.006369930696849964,0.028183770430488808,0.30319410319410317,0.2635912431226194,0.19131146,0.23384592
Arrb1,-2.5222185,-0.38438237,0.011661725797408352,0.04951810559044918,0.2786240786240786,0.3133392328113578,0.1628246,0.2076779
Fads6,-2.5258234,-0.9947983,0.011542752180985865,0.04905943547976751,0.05601965601965602,0.08964641606710015,0.026304957,0.051753458
Dbi,-2.5278008,-0.97820365,0.011477948936817672,0.048807166946081795,0.20147420147420148,0.22742487784233004,0.12596953,0.23465224
Runx1,-2.528135,-1.6849182,0.011467024960724083,0.04876843315838179,0.04914004914004914,0.08168212073410026,0.03374284,0.10466788
1700019D03Rik,-2.5344784,-0.42397305,0.011261489748482253,0.047947429811712586,0.11007371007371007,0.1458966565349544,0.058192704,0.077320926
Gm15614,-2.5378242,-0.7203906,0.011154398914224454,0.04752159486684812,0.05110565110565111,0.08549113154553499,0.027369902,0.044703927
Sh2d4b,-2.5393422,-0.6363613,0.011106115424635781,0.047330899517837186,0.050614250614250615,0.08533723211881036,0.027559696,0.04251779
Id4,-2.5397406,-2.2175493,0.011093475760316851,0.04728453262685815,0.018673218673218674,0.052210380516332575,0.00927188,0.04241207
Slc7a5,-2.5401473,-0.87707394,0.011080578440022137,0.04724454818841556,0.04864864864864865,0.08302874071794082,0.02531868,0.046019804
Gm973,-2.5409894,-2.4475613,0.011053924204235607,0.04715334868515808,0.019164619164619166,0.05263360393982532,0.009344533,0.04994448
Dab2,-2.5456967,-1.7238758,0.010905986045972755,0.04654444807104319,0.025552825552825554,0.059251279288984646,0.016641982,0.053950317
Arhgef4,-2.5509121,-0.4727324,0.010744144116355525,0.04589018477292528,0.33366093366093363,0.3585856642684006,0.20198022,0.27049127
Rassf8,-2.5530586,-0.5760959,0.010678149442268369,0.045644587259584965,0.16412776412776411,0.19741448963102612,0.09364242,0.13658169
Pllp,-2.5582383,-1.3944669,0.010520395685164944,0.04499172880158874,0.06683046683046683,0.0994190296641145,0.035418916,0.09055538
Rgs22,-2.5598104,-1.2784251,0.01047293111115625,0.04481655680802943,0.027518427518427518,0.061713670116578814,0.012709436,0.030554939
Plxna3,-2.5598857,-0.6836749,0.010470659325392744,0.04481468876605656,0.04914004914004914,0.08414451156169443,0.025652928,0.04088994
Ppia,-2.5635972,-0.63765097,0.010359368035557573,0.04436662720998278,0.5434889434889435,0.5315686199068909,0.45624033,0.6415635
Insig1,-2.57111,-0.803832,0.010137314852642302,0.04347105810572912,0.07714987714987714,0.11211573236889692,0.04095776,0.070445284
Smc1a,-2.5714996,-0.6002161,0.010125910339841128,0.043429083931609117,0.25061425061425063,0.2841368165903582,0.14829853,0.2169948
Stk32b,-2.5722964,-2.3172376,0.010102637374395545,0.04335002654902719,0.012285012285012284,0.04640067715747759,0.005877207,0.028953671
P2ry12,-2.5747817,-0.8755176,0.010030339804311507,0.04304667473915512,0.21277641277641277,0.24293024508483707,0.1377641,0.23979545
Akap12,-2.5751202,-0.94320065,0.010020526197790798,0.04301142794483047,0.060933660933660934,0.09537916971259282,0.031605516,0.05991028
Nedd1,-2.5753505,-1.2274119,0.010013851240326471,0.04298964416481423,0.04373464373464373,0.07791158477934669,0.021840028,0.05040805
Smyd2,-2.5784845,-0.35216537,0.009923472357593607,0.042615263264909733,0.2058968058968059,0.24446923935208342,0.112714335,0.14175898
Tmem44,-2.5808604,-0.5106421,0.00985544496637665,0.042336659671709125,0.2633906633906634,0.28709938055480744,0.16802052,0.23163627
Lamp1,-2.5825377,-0.6382207,0.009807668983042403,0.04215838515027186,0.33513513513513515,0.3590088876918934,0.20504177,0.30321217
Prrc1,-2.585892,-0.37925547,0.009712735740440341,0.04177036001050448,0.1705159705159705,0.20914932091877958,0.09375737,0.120310605
Gm54109,-2.5912566,-1.4042178,0.009562616622685854,0.04115110644643961,0.06683046683046683,0.09934207995075219,0.038800046,0.0995847
Mapre2,-2.5917003,-0.26503557,0.009550289424957784,0.04110464149425207,0.6117936117936118,0.5751221576699627,0.47870192,0.5526179
Gm3134,-2.5944803,-1.9727595,0.009473408158269216,0.04079988415013525,0.03587223587223587,0.06960101573621638,0.017205847,0.065900475
B130024G19Rik,-2.6005318,-0.32022843,0.009307938101556008,0.04013226841925705,0.18181818181818182,0.2178446385287215,0.13375787,0.16439888
Cited2,-2.6048038,-0.9735963,0.009192686604046738,0.03966080427918045,0.052088452088452086,0.08718402523950598,0.0288692,0.05592424
Nfe2l2,-2.606703,-2.2298398,0.009141861158168665,0.039466871677376614,0.02506142506142506,0.059251279288984646,0.011913215,0.054693587
Bsg,-2.6077473,-0.66609895,0.009114023684047845,0.03935934046775403,0.4058968058968059,0.4206071332384287,0.27251536,0.40351644
Osbpl5,-2.608386,-0.59636045,0.009097032365020444,0.03929227771228088,0.0683046683046683,0.104382286175984,0.033864804,0.050766185
Ccp110,-2.6106877,-0.6705681,0.009036037395757148,0.03905393675792095,0.22457002457002456,0.2573583163402716,0.1387302,0.21258208
Prxl2c,-2.6144605,-0.51667416,0.008936852428659716,0.03864390485324856,0.14742014742014742,0.18302489323227272,0.07503911,0.10569737
Gm31218,-2.6186213,-3.075271,0.008828585905726565,0.03820209087461289,0.004914004914004914,0.039744526951637105,0.0029196637,0.024345491
