names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_DG-PIR Ex IMN (for_DEGs),mean_expr_Rest (for_DEGs)
Trpv2,-2.640536,-1.8900205,0.008277499003966704,0.049735330553798154,0.0189873417721519,0.1422964749936989,0.020123977,0.07263989
Chd1l,-2.6406796,-1.4818119,0.008273994864270174,0.04972539521425623,0.02531645569620253,0.1501818312749793,0.028924996,0.07878091
Sephs1,-2.6411,-0.5067915,0.008263731755200053,0.04969706183129486,0.056962025316455694,0.18719619774601232,0.07150278,0.1001328
Otub1,-2.6426337,-0.7082357,0.00822639805058262,0.04950578177360695,0.056962025316455694,0.18636805530551254,0.07731829,0.12339843
Decr2,-2.6429157,-0.25400236,0.00821954991698873,0.04947565104603206,0.06962025316455696,0.2025348359917906,0.088024534,0.10411564
Cpsf4,-2.6435885,-0.8703013,0.008203231113337262,0.04940148110971657,0.02531645569620253,0.1506859179778922,0.041269835,0.074199334
Dand5,-2.644004,-2.2369018,0.008193166342747743,0.04936107166583674,0.012658227848101266,0.13595938501422244,0.015692255,0.07190588
Kcns3,-2.6451468,-3.2300222,0.00816554518387244,0.04922777632727225,0.006329113924050633,0.12890217117344183,0.008278972,0.075109884
Soat1,-2.6457653,-0.4814673,0.008150633446570486,0.04920411608837317,0.08227848101265822,0.2175854246930472,0.10075747,0.13802563
Rabac1,-2.6464927,-0.3253717,0.008133128432721579,0.049132466327331016,0.13291139240506328,0.276275519389335,0.18977006,0.23257047
Ubr3,-2.6468241,-0.5192918,0.00812516112709736,0.04911655331498448,0.5759493670886076,0.7940805818600799,0.98045677,1.2200404
Ccdc173,-2.6483083,-0.6365225,0.008089572233353647,0.04891242257205502,0.0379746835443038,0.16573650667914883,0.056877334,0.087079346
Eif5a,-2.6483924,-0.821904,0.008087559713611909,0.0489112602981661,0.06329113924050633,0.19223706477514133,0.08854289,0.1515695
Elovl7,-2.648694,-1.1079518,0.008080342008321703,0.04887861093282399,0.06962025316455696,0.19727793180427033,0.084891565,0.17476432
Hsf5,-2.6490505,-1.3024089,0.008071830170123806,0.048838116791539446,0.0189873417721519,0.14341266697872035,0.029757038,0.07185159
Zfp281,-2.6500943,-0.82129747,0.008046931967819639,0.04872823204516969,0.056962025316455694,0.18629604291938212,0.06249592,0.10791544
Tpst2,-2.6519544,-0.8194856,0.00800273399704865,0.048485560879525866,0.06329113924050633,0.19374932488388003,0.06604359,0.11376331
Rb1,-2.652182,-0.28200042,0.007997341749036442,0.048463818853542895,0.379746835443038,0.6087927123465237,0.54141355,0.6278243
Tmem9b,-2.6524243,-0.66856164,0.007991601411486624,0.048439957123087206,0.06962025316455696,0.20199474309581247,0.08144373,0.12651923
Bmp2k,-2.6539483,-0.5533501,0.007955603697307795,0.04827621304125123,0.12658227848101267,0.26435746948475136,0.17063153,0.24140117
Prr7,-2.654339,-0.27051255,0.007946393948311415,0.04823121874658408,0.06962025316455696,0.20329096604615993,0.10136577,0.121051475
Dph7,-2.6548831,-0.578093,0.007933586150777277,0.048164360567416506,0.05063291139240506,0.18129118208331832,0.06328225,0.093058325
Cox11,-2.6553383,-0.2720222,0.007922888375749218,0.0481345720408288,0.08227848101265822,0.21891765383645986,0.10221894,0.12218083
Tmem229b,-2.657535,-0.34165436,0.007871441399490885,0.04784112879536758,0.08227848101265822,0.21898966622259028,0.095635645,0.11971415
Dimt1,-2.6581733,-0.31276634,0.007856550173748533,0.047778256575278455,0.0759493670886076,0.21247254527778778,0.092635885,0.11382844
Zfp935,-2.6594596,-0.5863259,0.00782661351680478,0.04763331941031583,0.06329113924050633,0.1960177150469881,0.070052415,0.103413425
Golga2,-2.6600533,-0.28379017,0.007812831097811227,0.04757098835218393,0.0949367088607595,0.23447232924062938,0.11060433,0.13311116
Usf2,-2.6604886,-0.3744623,0.007802737814419602,0.04752030033396526,0.10759493670886076,0.2480106578331473,0.12202555,0.15550275
Gas2l1,-2.662131,-0.80225104,0.007764763705240209,0.04731047636276744,0.0379746835443038,0.16634861196125733,0.051486753,0.088134505
Iscu,-2.6629474,-0.87635213,0.007745952701782523,0.04721727520347014,0.03164556962025317,0.15846325567997696,0.0570295,0.10231588
Fibcd1,-2.6629672,-3.5646799,0.007745497184877561,0.04721727520347014,0.006329113924050633,0.12962229503474598,0.0072307633,0.08237959
Polr2g,-2.664491,-1.6552699,0.007710494385414636,0.04704005919212041,0.02531645569620253,0.1506859179778922,0.030845253,0.09410129
Ndufa13,-2.6652627,-0.65252334,0.007692819834520705,0.04694664296015701,0.14556962025316456,0.28711338350196236,0.19117816,0.28605318
Gramd2,-2.6664648,-2.3803856,0.007665360648377238,0.04678969573418818,0.012658227848101266,0.13696755842004824,0.012414374,0.06301387
Klf10,-2.6666727,-1.4266214,0.007660623530454874,0.04677140519502896,0.02531645569620253,0.15133402945306593,0.03143228,0.0823513
Eif1a,-2.6681075,-1.8106465,0.007627986404712658,0.04660390966226219,0.02531645569620253,0.15050588701256618,0.024164775,0.08231929
Tmem222,-2.6682065,-0.79743993,0.007625740169544849,0.04660078197763705,0.05063291139240506,0.18082310157347065,0.06244638,0.106154054
Sycp2,-2.6692355,-2.9224558,0.007602414448805582,0.0464688071518212,0.012658227848101266,0.13642746552407015,0.010070565,0.073932596
Abtb3,-2.6703832,-1.7137616,0.007576472773759746,0.046320778937639216,0.03164556962025317,0.15752709466028156,0.045773186,0.1429154
Acbd4,-2.6705217,-2.2173147,0.0075733472550389485,0.046312207724828525,0.012658227848101266,0.1372196017715047,0.015217336,0.06887829
Fam53c,-2.670982,-0.77784956,0.0075629743621827,0.04626066730696062,0.056962025316455694,0.1875922658697296,0.058862638,0.09889791
Pink1,-2.6711302,-0.8519644,0.007559630985970993,0.04625991450536109,0.05063291139240506,0.17945486623699275,0.066906445,0.11768958
Shld1,-2.67115,-0.35055462,0.007559185302613031,0.04625991450536109,0.0949367088607595,0.23429229827530335,0.10867471,0.13660516
1700019D03Rik,-2.6728716,-1.9955231,0.007520500914012213,0.0460729273961487,0.0189873417721519,0.14438483419148093,0.019701948,0.076352224
4930453N24Rik,-2.6735742,-0.74001074,0.007504766966964656,0.04599751104067982,0.06329113924050633,0.19529759118568393,0.06582939,0.10764022
Tmem201,-2.6737177,-0.41433614,0.007501557328153721,0.045988328863219366,0.08227848101265822,0.2179814928167645,0.09204442,0.12087919
Plag1,-2.6737275,-1.2785516,0.007501336019133145,0.045988328863219366,0.02531645569620253,0.15201814712130488,0.03237566,0.076800935
