names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OB-in Frmd7 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Hectd1,-2.7424817,-0.41921672,0.006097686754325098,0.049952696063632736,0.35064935064935066,0.6190852301285273,0.48325542,0.6047868
Bcl7a,-2.743359,-0.32588845,0.0060814143878102364,0.04983458511755445,0.14285714285714285,0.34903425001795074,0.19128603,0.23446459
Vstm2b,-2.744286,-1.937167,0.006064265918491549,0.04972438975583397,0.03896103896103896,0.22614346233934085,0.037589047,0.13687791
Twf2,-2.744378,-2.7179844,0.006062566540011524,0.04972438975583397,0.025974025974025976,0.209808286063043,0.019091563,0.11939987
Rabep1,-2.7443993,-0.46592146,0.006062174436671414,0.04972438975583397,0.4805194805194805,0.7369498097221225,0.77120245,0.9576073
Grhl1,-2.744449,-3.098065,0.0060612596177145595,0.04972438975583397,0.025974025974025976,0.20772599985639406,0.014257275,0.115963735
Anxa11,-2.7445197,-3.2111425,0.006059952949212661,0.04972438975583397,0.012987012987012988,0.19580670639764486,0.013151119,0.11564276
Abhd2,-2.744555,-0.5266501,0.006059299710121515,0.04972438975583397,0.22077922077922077,0.4346951963811302,0.23850064,0.32787275
Mical3,-2.7448523,-0.54853034,0.006053815005560368,0.04972438975583397,0.42857142857142855,0.6806562791699576,0.64174694,0.8398596
Dnttip1,-2.7449229,-1.2984455,0.006052509782874433,0.04972438975583397,0.09090909090909091,0.28534501328354994,0.07090934,0.16614452
Ergic2,-2.7451282,-0.3119114,0.006048726070524625,0.049718344911286835,0.22077922077922077,0.45225102319236016,0.2757116,0.3322417
Rnmt,-2.7456236,-0.5619936,0.006039601749517983,0.04965853702862552,0.1038961038961039,0.3028290371221369,0.13173881,0.18886633
Tpd52l1,-2.7461047,-0.4938107,0.006030749998340558,0.04960093432978598,0.05194805194805195,0.24168880591656494,0.11006394,0.15172364
Smoc2,-2.7468054,-1.7494246,0.006017883783786506,0.04951026860696369,0.025974025974025976,0.21095713362533208,0.04922201,0.15669394
Scarb2,-2.747138,-0.43598992,0.006011784242429866,0.04947523509773063,0.16883116883116883,0.38091476987147266,0.22353311,0.29182494
Nprl3,-2.7479377,-1.2525703,0.005997142175835228,0.0493698560859965,0.09090909090909091,0.2839807568033317,0.07279536,0.1654424
