names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CNU-MGE GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Pam,7.8098416,2.3817556,5.725994628767514e-15,1.5385747567498312e-10,0.9166666666666666,0.7288741201272019,2.5951116,1.21755
Nxph1,7.600789,4.1711216,2.943308194473307e-14,3.954334559274888e-10,0.8888888888888888,0.42148140207953694,3.0119894,0.7289364
Sox6,7.095892,4.0954943,1.2851972920367634e-12,9.934671932898017e-09,0.8055555555555556,0.3083217207989424,2.4201365,0.46965486
Chrm2,6.9504385,4.4398947,3.641520740404875e-12,1.9569532458935797e-08,0.75,0.1735448601136242,1.5209119,0.15253204
Dpp6,6.7605176,1.4084467,1.3749982352542043e-11,6.157700430213411e-08,0.9166666666666666,0.8206667381284167,2.7032306,1.8320781
Kcnip1,6.621599,3.1103587,3.5533362791266616e-11,1.1934768227516675e-07,0.7777777777777778,0.2307142601922321,1.1830325,0.23284744
Adra1a,6.39558,3.4432406,1.5993917252832779e-10,4.775072850929075e-07,0.7222222222222222,0.19891378139850646,1.0695643,0.16209681
Rbms3,6.231861,2.7232575,4.6092619888537274e-10,1.2385086964049964e-06,0.8055555555555556,0.5103798192017722,1.9845055,0.6679863
Nkain3,6.0708222,2.0023725,1.2725698669501118e-09,2.8494960270791252e-06,0.8888888888888888,0.6687747882945654,2.3343139,1.2019999
Grik1,6.0474854,2.6659038,1.4712401762973838e-09,3.0409402720854385e-06,0.8611111111111112,0.49880301568585417,2.100558,0.7560841
Alk,5.9881434,3.717878,2.122499588800032e-09,4.073683139361204e-06,0.6944444444444444,0.23975417157966197,1.6054863,0.264283
Rian,5.7893057,1.2323684,7.067791364785509e-09,1.117126788069333e-05,0.8611111111111112,0.7604959445456819,2.2983174,1.5712061
Grip1,5.6147017,1.8587637,1.96901369391681e-08,2.805872029926399e-05,0.8611111111111112,0.7795762318219173,2.7779694,1.6408367
Kcnmb2,5.6079917,2.476177,2.0468802159821815e-08,2.805872029926399e-05,0.75,0.2565476828527531,1.1532445,0.32909876
Elavl2,5.6045074,2.128067,2.0884793672693703e-08,2.805872029926399e-05,0.8055555555555556,0.5413584878693679,1.7060876,0.7085901
Kcnc2,5.586809,2.3220656,2.3127983610994757e-08,2.9592805696544245e-05,0.8055555555555556,0.6023868224532819,2.3191128,1.0413885
Meg3,5.5701413,1.3247722,2.54532838191588e-08,3.10877152827635e-05,0.9722222222222222,0.9132097045056633,4.1408257,3.2462127
Sox2ot,5.487823,3.3847647,4.069171011733871e-08,4.753853264577788e-05,0.75,0.46557330189016327,2.621316,0.7979676
Maf,5.4695473,2.4398289,4.511861616139884e-08,5.051405067736612e-05,0.7222222222222222,0.22767713581305607,0.9592739,0.2598191
Adamts6,5.405907,2.6136067,6.44812297807906e-08,6.930442576839373e-05,0.6944444444444444,0.28216672026297923,1.0051798,0.24924545
Gad2,5.383209,2.6288095,7.316938605132428e-08,7.561774627688781e-05,0.6944444444444444,0.22303212205666917,0.96576554,0.23350301
Robo1,5.3301754,1.4814444,9.81178378389152e-08,9.76454186196908e-05,0.8333333333333334,0.7920105763390145,2.6708767,1.7609215
Npy,5.3107967,4.591583,1.0914688366540847e-07,0.00010474202728891162,0.5833333333333334,0.12091328116625576,1.4079298,0.12049605
Usp29,5.3029323,1.891452,1.1395731948404549e-07,0.00010558735084607938,0.8055555555555556,0.5581162682674099,1.4513373,0.6318374
Sst,5.271555,3.2619467,1.3527263364657594e-07,0.00012115918886944986,0.6666666666666666,0.25358202022367526,1.3944193,0.2747016
Crhbp,5.1602826,4.931802,2.4657761201767784e-07,0.0002137271108037098,0.5277777777777778,0.03991138742987816,0.67258614,0.030945377
Tox3,5.1223598,2.231853,3.017351287972503e-07,0.0002501714901455555,0.7222222222222222,0.31904098331368136,0.94564354,0.28906727
Nhs,5.118948,2.2973158,3.0724447989591854e-07,0.0002501714901455555,0.6944444444444444,0.26916068174509594,0.8979205,0.25920865
Utrn,5.1130004,2.0971966,3.170814525189941e-07,0.0002505876067407462,0.75,0.37460249401507845,1.1777596,0.42210764
Pclo,5.0783043,0.9782923,3.808181420470974e-07,0.0002923595279087288,0.9166666666666666,0.8315289241433522,2.3066695,1.7207936
Gad1,4.981112,2.754666,6.321988472359906e-07,0.0004470311322429228,0.6388888888888888,0.26473005323900384,1.0623059,0.24724494
Snhg14,4.957538,0.7980224,7.139200565940844e-07,0.0004918726133508474,0.8333333333333334,0.8156644156215386,2.4883556,1.9947488
Ptprm,4.8703136,2.0940197,1.1142128378448204e-06,0.0006594956197179989,0.75,0.379712009147104,1.3873112,0.5327651
Tacr1,4.8659844,5.3853235,1.1388856174726218e-06,0.0006594956197179989,0.5,0.046914638939507626,0.81131405,0.029488143
Nos1,4.862964,4.3603697,1.156408222658271e-06,0.0006594956197179989,0.5833333333333334,0.22135277092936007,1.4174647,0.14169194
Gria4,4.8592844,1.4925357,1.1781090341073296e-06,0.0006594956197179989,0.9166666666666666,0.7910458427126881,2.5974352,1.6895689
Astn2,4.8516254,1.7200444,1.2245366932289396e-06,0.0006714959376951348,0.8611111111111112,0.6336513381212706,1.9516252,1.0414813
Spock3,4.838514,1.74537,1.3081348446598804e-06,0.0006964629414624064,0.8055555555555556,0.570800728909851,1.6828142,0.8357638
St8sia4,4.8163834,2.381574,1.4618370874491344e-06,0.0007411238215048725,0.6666666666666666,0.28027298388537536,0.8280358,0.22100066
Ndst4,4.726829,2.3268063,2.2805322042536287e-06,0.001075050882952544,0.6944444444444444,0.37460249401507845,1.341413,0.4465952
9330158H04Rik,4.701441,5.3247695,2.5833213329932564e-06,0.0011967904175435998,0.4722222222222222,0.025154536034587487,0.48930585,0.015625821
